accomplish,"vt.完成,达到,实现"
badge,"n.徽章,证章"
sergeant,"n.警官,军士"
sheriff,"n.郡治安官,州长"
lieutenant,"n.陆军中尉,海军上尉,副职官员"
admiral,"n.海军上将,舰队司令,旗舰"
colonel,"n.陆军上校,团长"
superintendent,"n.主管,负责人,指挥者,管理者"
councilor,"n.议员,评议员"
councillor,"n.议员,评议员"
constituency,"n.(选区的)选民,(一批)顾客,支持者,赞助者"
plenary,"adj.(指权力)无限的、绝对的,(指会议)全体出席的,充分的,完全的"
attorney,"n.<美>律师,(业务或法律事务上的)代理人"
solicitor,"n.律师,法律顾问"
acting,"adj.代理的,起作用的,演戏的"
advisory,"adj.顾问的,咨询的,劝告的"
code,"n.代码,代号,密码,编码v.编码"
pact,"n.合同,公约,协定"
inviolable,"adj.神圣的,不可亵渎的,不可侵犯的"
session,"n.会议,开庭"
auditorium,"n.听众席,观众席,<美>会堂,礼堂"
tribunal,"n.法官席,审判员席,(特等)法庭"
chargeable,"adj.可以控诉的,可记在某项帐目上的,可充电的"
imprison,"vt.监禁,关押v.监禁"
imprisonment,n.关押
detention,"n.拘留,禁闭,阻止,滞留,留堂"
crosscheck,"n.多方面求证,反复查对"
bulletin,"n.公告,报告"
clearance,n.清除
ideology,n.意识形态
ideological,adj.意识形态的
materialism,n.唯物主义
feudal,"adj.世仇的,封建制度的,封地的,领地的"
feudalism, 灭亡
residual,"adj.剩余的,残留的"
despot,"n.专制君主,暴君n.[史] 拜占庭皇帝及其家属的名誉称号(后来其家臣也使用)"
imperial,adj.皇帝的
imperialism,"n.帝国主义,帝制"
imperialist,n.帝国主义者adj.帝国主义的
bourgeois,"n.中产阶级,商人,资产阶级adj.中产阶级的,平庸的n.九点活字"
bourgeoisie,n.资产阶级
proletarian,"adj.无产阶级的n.无产者,工人"
politburo,
underclass,"n.一、二年级学生,下层阶级"
republican,"adj.共和国的,共和政体的,共和主义的,有关共和的n.共和党人"
commonwealth,"n.国民整体,共和国,联邦"
Tory,
Marxism,
fascist,"n.法西斯主义者,法西斯党员adj.法西斯主义的,法西斯党的"
fascism,"n.法西斯主义,极端的国家主义"
Nazi,
genocide,n.有计划的灭种和屠杀
fanatic,"n.狂热者,盲信者,入迷者adj.狂热的,盲信的"
fanatical,"adj.狂热的,盲信的"
cosmopolitan,"n.四海为家的人,世界主义者adj.世界性的,全球(各地)的"
gash,"n.砍得很深的伤口,很深的裂缝v.(使)负深伤,划开,砍入很深"
hospitalize,vt.就医
firecracker,"n.爆竹,鞭炮"
arrow,"n.箭,箭头记号"
shotgun,"n.散弹猎枪,鸟枪"
cannon,"n.大炮,加农炮v.炮轰"
calibre,n.口径
caliber,"n.口径,才干,器量"
firearm,"n.火器,枪炮"
pistol,n.手枪
dagger,"n.短剑,匕首vt.用剑(或匕首)刺"
bullet,n.子弹
warhead,n.弹头
missile,"n.导弹,发射物"
gunpowder,"n.黑色火药,有烟火药"
torpedo,"n.鱼雷,油井爆破筒v.用鱼雷进攻,破坏"
minefield,
ammunition,"n.军火,弹药"
grenade,n.手榴弹
artillery,"n.炮的总称,炮兵的总称"
regiment,"n.团,大群v.把...编组,把...编成团,管辖"
legion,"n.古罗马军团(约有3000至6000步兵,辅以数百名骑兵),<书>众多,大批"
brigade,"n.旅,队"
maritime,"adj.海上的,海事的,海运的,海员的"
submarine,"n.潜水艇,潜艇adj.水下的,海底的"
warship,"n.军舰,战船"
fleet,"n.舰队(尤指有固定活动地区的舰队),港湾,小河adj.快速的,敏捷的,浅的adv.浅vt.消磨vi.疾驰,飞逝,掠过"
flagship,n.旗舰
flagstaff,n.旗杆
headquarters,"n.司令部,指挥部,总部"
cavalry,n.骑兵
rifle,"n.来复枪,步枪,来复线,膛线vt.用步枪射击,抢夺vi.掠夺"
rifleman,"n.步枪射手,步枪兵"
militia,n.民兵
guerrilla,"n.[古]游击战,游击队"
warrior,"n.战士,勇士,武士,战斗,尚武,鼓吹战争的人adj.战斗的,尚武的"
serviceman,"n.军人,修护人员"
foe,"n.反对者,敌人,危害物"
garrison,"n.卫戍部队,驻军,卫戍地,要塞v.守卫,驻防"
checkpoint,"n.检查站,车站的行李房"
password,"n.密码,口令"
crusade,"n.十字军东侵,宗教战争,改革运动vi.加入十字军,投身正义运动"
soldierly,adj.英勇的
morale,"n.士气,民心"
barracks,"n.兵营,许多人居住的简陋房舍"
fort,"n.堡垒,边界上的贸易站"
fortress,"n.堡垒,要塞"
stronghold,"n.要塞,据点"
squad,n.班
squadron,"n.一群,空军中队,骑兵中队v.把...编成中队"
spearhead,n.先头部队v.充当先锋
bugle,"n.喇叭,军号"
warfare,"n.战争,作战,冲突,竞争"
warlike,"adj.战争的,好战的,尚武的,有战争危险的"
runaway,"n.逃跑,逃跑者,巨大的胜利,失控的车(或核子反应堆系统)adj.逃亡的,逃走的"
armament,"n.军备,武器"
armor,n.装甲
armour,"n.盔甲,装甲钢板,装甲部队"
duel,n.决斗v.决斗
counterattack,"n.反击,反攻v.反攻,反击"
reconnaissance,"n.侦察,搜索,勘测"
warlord,"n.军阀,军阀式首脑"
martyr,"n.烈士,殉教者v.杀害,折磨"
ultimatum,n.最后通谍
mastery,n.掌握
partition,"n.分割,划分,瓜分,分开,隔离物vt.区分,隔开,分割"
crib,"n.婴儿床,食槽,栅栏vi.抄袭vt.拘禁,关入栅栏"
blacken,"v.使变黑,诽谤 变黑"
hideous,"v.骇人听闻的,可怕的adj.丑恶的"
scapegoat,n.替罪羊
traitor,"n.叛逆者,叛国者"
treason,"n.叛逆,通敌,背信,叛国罪"
treasonable,"adj.背叛的,叛国的,不忠的"
guillotine,"n.断头台,(切纸的)闸刀v.处斩刑,切(纸)"
gallows,"n.绞架,绞刑"
rascal,"n.流氓,无赖,坏蛋,淘气鬼adj.不诚实的,卑鄙的,下贱的"
scoundrel,"n.无赖,恶棍adj.卑鄙的"
mob,"n.(集合词)暴徒,乌合之众,(盗贼等的)一群v.成群暴动,聚众滋扰"
villain,"n.坏人,恶根"
delinquency,"n.行为不良,错失"
delinquent,"n.失职者,违法者adj.失职的,有过失的,违法的,拖欠债务的"
tattoo,v.刺花样n.纹身
outlaw,"n.歹徒,逃犯,丧失公权者v.将...放逐,宣布...为不合法"
pickpocket,n.扒手
trafficker,"n.贸易商,商人,干非法勾当者,行为卑劣者"
escapee,"n.逃亡者,逃避者"
scotch,"n.苏格兰人,苏格兰语adj.苏格兰人的,苏格兰语的n.刻痕vt.镇压,粉碎,刻痕,使受伤"
strangle,v.扼死
holdup,"n.拦劫行人的强盗行为,劫盗,无理的讨价,停顿"
err,"vi.犯错,做错,犯罪,[废]走上歧途"
misbehavior,"n.不礼貌,品行不端"
misbehaviour,
casino,"n.娱乐场(供表演跳舞、赌博的地方),(=cassino)一种由二至四人玩的纸牌游戏"
rape,"n.掠夺,强奸,葡萄渣,油菜vt.掠夺,强奸"
underworld,n.黑社会
shoplift,
stealthy,"adj.鬼鬼祟祟的,秘密的,掩人耳目的"
liar,n.(惯于)说谎者
slay,"v.<书>杀,杀死,宰杀,杀害,宰杀,杀死"
bondage,"n.奴役,束缚"
complicity,"n.同谋,共犯"
solicit,v.恳求
prostitute,n.妓女
prostitution,"n.卖淫,堕落,滥用,糟蹋"
optimal,"adj.最佳的,最理想的"
homely,adj.家常的
homebound,"adj.回家的,回家乡的"
homecoming,"n.回老家,回国"
site,"n.地点,场所,遗址vt.定...的地点n.站点"
hereabout,"adv.附近,在这一带"
hereabouts,
borderline,n.边界线
skyline,"n.地平线,以天空为背景映出轮廓"
township,n.镇区
zone,"n.地域,地带,地区,环带,圈vt.环绕,使分成地带vi.分成区"
redevelopment,"n.恢复(促进)经济发展,重点恢复"
rehouse,"v.移往新居,供以新住宅"
nursery,n.托儿所
villa,"n.别墅,<英>城郊小屋"
bungalow,n.(带走廊的)平房
terrace,"n.梯田的一层,梯田,房屋之平顶,露台,阳台,倾斜的平地 adj.(女服)叠层式的vt.使成梯形地,使有平台屋顶"
mansion,"n.大厦,官邸,公寓(用复数,用于专有名词中)"
high-rise,
story,"n.故事,小说,传说,事迹,经历,假话,谎话"
storey,n.[建] 层
pillar,"n.[建] 柱子,栋梁,重要的支持者"
dome,n.圆屋顶
saloon,"n.大会客室,公共大厅,酒吧间"
chamber,"n.室,房间,议院,会所,(枪)膛"
plaza,"n.广场,露天汽车停车场,购物中心"
arena,"n.竞技场,舞台"
funfair,
gallery,"n.走廊、戏院、教堂等中最高的楼座,美术陈列室,画廊,图库"
backyard,"n.后院,后庭,<美>(住宅的)场院"
balcony,"n.阳台,包厢,(戏院)楼厅"
veranda,"n.阳台,走廊"
aisle,"n.走廊,过道"
corridor,n.走廊
parlor,"n.客厅,会客室,店营业室,业务室adj.客厅的"
parlour,n.营业室
foyer,"n.休息室,大厅"
porch,"n.门廊,走廊"
attic,"n.阁楼,顶楼,[解剖](耳的)鼓室上的隐窝adj.(古希腊)雅典(Athens)的"
hut,"n.小屋,棚屋"
landing,"n.登陆,着陆,码头,楼梯平台,降落"
banister,"n.栏杆的支柱,楼梯的扶栏"
cellar,"n.地窖,地下室,酒窖,藏酒量"
depot,"n.库房,仓库,火车站,公共汽车站,航空站,军械库,补给站,新兵训练营"
entrepot,"n.<法>仓库,贸易中心"
warehouse,"n.仓库,货栈,大商店vt.贮入仓库,<俚>[经]以他人名义购进(股票)"
underpass,"n.地下道,高架桥下通道"
labyrinth,"n.迷路,迷宫,难解的事物"
barn,"n.[农]谷仓,畜棚,畜舍,机器房"
motel,n.汽车旅馆
hostel,"n.宿舍,旅店,客栈"
bookstall,n.书报摊
booth,"n.货摊,售货亭,棚"
kiosk,n.亭子
venue,"n.犯罪地点,审判地,集合地点,会议地点,比赛地点,管辖地"
pagoda,n.宝塔
beacon,"n.烟火,灯塔v.照亮"
signpost,n.路标
lighthouse,n.灯塔
shaft,"n.轴,杆状物"
ramp,"n.斜坡,坡道,敲诈vi.狂跳乱撞,敲诈,蔓延vt.使有斜面,敲诈"
reservoir,"n.水库,蓄水池"
ditch,"n.沟,沟渠,壕沟"
dike,n.堤防vt.筑堤提防
dyke,"n.vt.(=dike)沟,渠,堤坝,<美俚>(女子)搞同性关系n.<俚>(尤指男性化的)女子同性恋者"
sewer,"n.下水道,缝具,缝纫者"
sewage,"n.下水道,污水v.用污水灌溉,装下水道于"
sewerage,"n.排水设备,污水"
stench,"n.恶臭,臭气v.(使)发恶臭"
smelly,"adj.发臭的,有臭味的"
stink,v.发出臭味
filth,"n.污秽,污物,不洁,猥亵"
filthy,"adj.不洁的,污秽的,丑恶的"
grime,"n.尘垢,污点,煤尘vt.使污秽,污浊"
smudge,"n.污迹,熏烟v.弄脏,用浓烟熏,染污"
blot,"n.污渍,污点v.弄污"
stigma,"n.污名,(植物)柱头,[动物] 气门,耻辱"
nausea,"n.反胃,晕船,恶心,作呕,极度的不快"
bleach,"v.漂白,变白"
detergent,"n.清洁剂,去垢剂"
toxic,"adj.有毒的,中毒的"
substandard,"adj.标准以下的,不合规格的"
tertiary,"adj.第三的,第三位的,第三世纪的n.[画]第三色,第三修道会会员,[地]第三纪"
grocer,"n.食品商,杂货店"
grocery,"n.<美>食品杂货店,(pl.)食品,杂货"
delicatessen,n.熟食店
bakery,n.面包店
cannery,n.罐头工厂
foodstuff,"n.食品,粮食"
brunch,n.早午餐
luncheon,"n.午宴,正式的午餐"
takeaway,
dietary,"adj.饭食的n.规定的食物,饮食之规定"
edible,adj.可食用的
helping,"n.帮助,协助,(食物)一份"
leftovers,
remainder,"n.残余,剩余物,其他的人,[数]余数v.廉价出售adj.剩余的,出售剩书的"
gourmet,n.能精选品评美食、美洒的人
chef,n.厨师
cuisine,"n.厨房烹调法,烹饪,烹调风格"
cookery,n.烹调术
dough,"n.生面团,<美俚> 钱,金钱"
yeast,"n.酵母,发酵粉"
enzyme,n.[生化]酶
starch,"n.淀粉,[喻] 拘谨,古板,生硬,淀粉,浆粉"
pastry,"n.面粉糕饼,馅饼皮"
donut,
bun,"n.小圆面包,曲卷(或结)壮的头发"
crumb,"n.碎屑,面包屑,少许vt.搓碎,弄碎"
crust,"n.外壳,硬壳,面包皮vt.盖以硬皮vi.结硬皮"
frosting,"n.霜状白糖,玻璃粉,无光泽面"
toffee,"n.太妃糖,胡说,中褐色"
syrup,"n.糖浆,果汁"
vegetarian,"n.素食者,食草动物adj.素食的"
greengrocer,"n.蔬菜水果商,菜贩"
raspberry,"n.悬钩子,<俚>(表示轻蔑、嘲笑等的)咂舌声"
berry,n.浆果
juicy,"adj.多汁的,潮湿的,有趣的,报酬多的"
plum,"n.[植] 李子,洋李"
olive,"n.橄榄树,橄榄叶,橄榄枝,橄榄色 Olive 奥利夫(女子名)"
apricot,"n.杏,杏树"
raisin,n.葡萄干
tangerine,n.橘子
grain,"n.谷物,谷类,谷粒,细粒,颗粒,粮食"
sesame,n.芝麻
barley,n.大麦
oats,
rye,"n.裸麦,黑麦,绅士,吉普赛绅士"
maize,"n.玉米,黄色adj.玉米色的,黄色的"
soybean,n.大豆
soyabean,
peanut,n.花生
sorghum,"n.[植]高粱属的植物,<美>高粱糖浆,甜得发腻的东西"
almond,"n.[植]杏树,杏仁,杏仁壮物"
cauliflower,n.[植]花椰菜
spinach,"n.菠菜,胡说八道"
eggplant,n.茄子
celery,"n.[植]旱芹,芹菜"
cucumber,n.[植]黄瓜
pumpkin,n.南瓜
melon,n.(各种的)瓜
beet,"n.甜菜,甜菜根vt.生火,修理,改过"
pod,"n.密集小群,扁豆层,豆荚,蚕茧vi.结荚,生荚"
turnip,"n.[植]芜箐,芜箐甘蓝"
lettuce,"n.[植]莴苣,生菜,苦菜类,<俚>纸币"
garlic,"n.[植]大蒜,(Akkuyn sadtium),蒜头"
chilli,n.红辣椒
ginger,"n.姜,生姜,有姜味,活泼,元气,精力,淡赤黄色(的)～"
mustard,"n.芥菜,芥末,芥末色,芥子气"
seasoning,"n.调味品,调料"
sauce,"n.沙司,酱油,调味料vt.调味,使增加趣味"
tasty,"adj.好吃的,可口的n.好吃的东西,吸引人的东西"
savor,"n.滋味,气味,食欲,特定的味道或气味,一种有特色的性质vi.有...的滋味,有...气味vt.加调味品于,使有风味,尝到或闻到,尽情享受"
savour,n.风味v.品尝
savoury,"adj.开胃的,香喷喷的,风味极佳的,可口的,味香的n.开胃的菜肴"
acid,"n.酸,<俚>迷幻药;adj.酸的,讽刺的,刻薄的;""atomicity,consistency,isolation,and durability"" 原子性,一致性,不相关性和持久性"
bland,"adj.温和的,柔和的,乏味的,冷漠的,刺激性少的"
dairy,"n.牛奶场,奶品场,售牛奶,奶油,鸡蛋等的商店,奶制品"
yogurt,"n.(=yoghurt) 酸奶酪,酵母乳"
yoghurt,n.酸乳酪
margarine,n.人造黄油
yolk,"n.蛋黄,[生物] 卵黄"
protein,n.[生化]蛋白质adj.蛋白质的
milky,"adj.牛奶的,乳状的,乳白色的"
creamy,"adj.含乳脂的,奶油色的,乳脂状的"
beverage,n.饮料
champagne,"n.香槟酒,香槟色"
cocktail,"n.鸡尾酒,(第一道用杯盛的)开味食品adj.鸡尾酒的"
ale,n.淡色啤酒(较一般啤酒含更多的酒精)
sherry,"n.雪利酒,葡萄酒"
gin,"n.陷阱,起重装,轧棉机,杜松子酒v.轧"
vintage,"n.制造年期,葡萄收获期adj.洒的,最佳的,过时的v.收葡萄"
mixer," 混频器;n.混合者,搅拌器,[电] 混频器"
cider,n.苹果酒
lemonade,n.柠檬水
jelly,"n.果子冻,一种果冻甜品"
marmalade,n.橘子或柠檬等水果制成的果酱
ketchup,n.调味蕃茄酱
pulp,"n.(水果的)果肉,纸浆vt.使化成纸浆,除去...果肉,vi.变成纸浆"
stew,"v.炖,焖,受闷热n.炖肉(或菜),闷热,拥挤,鱼塘,人工养蚝场"
overdo,"vt.做得过分,过度,夸张,做作,使过火vi.过火"
curry,"n.咖哩粉,咖哩饭菜vt.用咖哩粉调味,用马梳梳,制革"
mutton,"n.羊肉,<谑>绵羊,<俚>女性生殖器,性交"
turkey,"n.火鸡,无用的东西 Turkey 土耳其"
sausage,"n.香肠,腊肠"
prawn,"n.[动]对虾,明虾,大虾vi.捕虾"
shrimp,n.小虾v.捕虾
lobster,n.龙虾
clam,
oyster,"n.[动]牡蛎,蚝,沉默者"
shellfish,"n.贝,甲壳类动物"
sardine,n.[鱼]沙丁鱼
salmon,"n.[鱼]鲑鱼,大麻哈鱼,鲜肉色"
eel,"n.鳗鲡,美洲鳗,蛇形鱼类,油滑的人"
tuna,n.金枪鱼n.[动] 鲔鱼
trout,"n.[鱼]鲑,鲑鱼"
cod,n.鳕 cash on delivery [商]货到付款 COD(Cash on Delivery)
herring,"n.青鱼,鲱"
fin,"n.鳍,鱼翅,鳍状物,五元纸币vi.猛挥鳍,露鳍于水面的vt.装上翅,切除鳍"
spear,"n.矛,枪"
trawl,n.[渔] 拖网v.用拖网捕鱼
aquarium,"n.养鱼池,玻璃缸,水族馆"
aquatic,"adj.水的,水上的,水生的,水栖的"
freshwater,"n.淡水(不是海洋水的),湖水,内河"
alga,"n.藻类,海藻"
coral,"n.珊瑚,珊瑚虫"
gathering,"n.聚集,收款"
yardstick,"n.<美> 码尺,准绳"
scalar,"adj.梯状的,分等级的,数量的,标量的n.数量,标量"
karat,n.开
deadweight,"n.自重,重负"
gallon,n.加仑
decibel,n.分贝
ounce,"n.盎司,少量,[动]雪豹"
acre,"n.英亩,(pl.)地产,大片田地"
horsepower,n.马力
volt,"n.(马术中的)环骑,[击剑]闪避,[电工]伏特"
voltage,"n.[电工]电压,伏特数"
hectare,n.公顷(等于1万平方米)
fathom,"n.长度单位(6英尺)vt.测量深度,看穿,彻底了解vi.测深,进行探索"
watt,
quart,n.夸脱(容量单位)
tonnage,"n.登记吨位,排水量"
mileage,"n.英里数,英里里程"
bushel,n.蒲式耳(容量等于八加仑)v.修补
Fahrenheit,
Celsius,
centigrade,"adj.分为百度的,百分度的,摄氏温度的"
thermal,"adj.热的,热量的"
thermometer,"n.温度计,体温计"
thermostat,"n.自动调温器,温度调节装置"
barometre,
barometer,n.气压计
shilling,n.先令(1971年以前的英国货币单位)
ammeter,n.电表
ampere,n.安培
byte,"n.字节,8位元组"
kilobyte,
metallic,adj.金属(性)的
metric,"adj.米制的,公制的"
dime,n.<美> 一角硬币
axis,
geometry,n.几何学
algebra,n.代数学
calculus,"n.微积分学,结石"
denominator,"n.[数] 分母,命名者"
numeral,n.数字
numerical,"adj.数字的,用数表示的adj.数字的,用数字表示的"
innumerable,"adj.无数的,数不清的"
decimal,"adj.十进的,小数的,以十为基础的,十进制n.小数"
formula,"n.公式,规则,客套语"
oval,"adj.卵形的,椭圆的n.卵形,椭圆形"
ellipse,"n.[数]椭圆,椭圆形"
elliptical,"adj.椭圆的,省略的"
cylinder,"n.圆筒,圆柱体,汽缸,柱面"
conical,"adj.圆锥的,圆锥形的"
oblong,"n.长方形,椭园形adj.长方形的,椭园形的"
rectangle,"n.长方形,矩形"
rectangular,"adj.矩形的,成直角的"
pentagon,"n.五角形,五边形"
hexagon,"n.六角形,六边形"
cone,"n.[数、物]锥形物,圆锥体,(松树的)球果vt.使成锥形"
histogram,n.柱状图
linear,"adj.线的,直线的,线性的"
arc,"n.弧,弓形,拱;Advanced RISC Computer,高级精简指令集计算机"
radius,"n.半径,范围,辐射光线,有效航程,范围,界限"
diameter,n.直径
circumference,"n.圆周,周围"
angular,adj.有角的
perpendicular,"adj.垂直的,正交的n.垂线"
upright,"adj.垂直的,竖式的,正直的,诚实的,合乎正道的adv.笔直,竖立着n.垂直,竖立"
width,"n.宽度,宽广,广博,有一定宽度的东西(如一快布料等) /n.宽/高比"
breadth,"n.宽度,(布的)幅宽,(船)幅"
convex,"adj.表面弯曲如球的外侧,凸起的"
loop,"n.环,线(绳)圈,弯曲部分,回路,回线,(铁路)让车道,(飞机)翻圈飞行vt.使成环,以圈结,以环连结vi.打环,翻筋斗n.循环"
rim,"n.边,轮缘,蓝框vt.镶边,为...装边,沿...边缘滚动vi.形成边状"
chord,"n.弦,和音,情绪n.[解]腱"
melody,n.悦耳的音调
bass,"n.低音部,男低音,低音乐器adj.低音的"
cello,n.大提琴
orchestra,"n.管弦乐队,乐队演奏处"
fiddle,"n.小提琴,无意识而不停地拨弄vt.虚度时光,拉小提琴vi.拉小提琴,瞎搞"
accordion,n.手风琴adj.可折叠的
trombone,n.长号
lute,n.琵琶
symphony,"n.交响乐,交响曲"
brass,"n.黄铜,黄铜制品,厚脸皮"
flute,"n.长笛,笛状物,凹槽"
flutist,"n.横笛吹奏者,笛手"
flautist,"n.横笛吹奏者,笛手"
trio,n.三重唱
trinity,"n.三位一体,三人一个组,三个一组的(物)"
binary,"adj.二进位的,二元的"
binoculars,n.双眼望远镜
dual,"adj.双的,二重的,双重"
tournament,"n.比赛,锦标赛,联赛"
finalist,n.参加决赛的选手
victor,n.胜利者adj.胜利者的 Victor 维克托(男子名)
victorious,"adj.获胜的,胜利的"
runner-up,
touchdown,"n.[美橄]攻方持球,触地,触地得分,着地,降落"
ace,"n.(纸牌或骰子)幺点,王牌飞行员(击落敌机五架以上者);adj.一流的;[军]Allied Command Europe,欧洲盟军司令部"
snooker,"n.(=snooker pool)彩色台球,桌球vt.阻挠"
hockey,n.曲棍球
badminton,n.羽毛球
polo,"n.马球,水球"
rugby,n.橄榄球
wrestle,"n.摔跤,角力,扭斗vi.摔跤,格斗,斗争,斟酌vt.与(对手)摔跤,使劲搬动"
karate,n.[日] 空手道(日本的一种徒手自卫武术)
gymnastics,"n.体操,体育"
springboard,"n.跳板,出发点"
alley,"n.小路,巷,(花园里两边有树篱的)小径"
heavyweight,"n.特别重的人(或物),最重量级拳击手(或摔交手),聪明绝顶的人"
surf,"n.海浪,拍岸浪vi.作冲浪运动vt.在激浪上驾(船),在...冲浪"
Grand Prix,
kung fu,
antagonism,"n.对抗(状态),对抗性"
antagonist,"n.敌手,对手"
racecourse,"n.跑马场,赛马场"
pavilion,"n.大帐蓬,亭,阁vt.搭帐蓬,笼罩"
grandstand,n.正面看台
hide-and-seek,
crossword,n.纵横字谜
riddle,"n.谜,谜语,神秘人物v.解谜,出谜,迷惑"
tally,"n.符木(古时用,上有刻痕记载交货、欠款等的数量),记账,得分,标记牌,标签,符合,对应物,计数器vt.点数,计算,记录,加标签于,使符合vi.符合,吻合,记分"
pastime,"n.消遣,娱乐"
saunter,"n.vi.闲逛,漫步"
roam,"v.漫游,闲逛,徜徉n.漫步,漫游,徘徊"
waltz,"n.华尔兹舞,华尔兹舞曲adj.华尔兹舞的,华尔兹舞曲的vi.跳华尔兹舞,前进,旋转vt.迫使前进,与...跳华尔兹舞"
domino,"n.骨牌,多米诺骨牌,面具,带面罩及头巾的外衣"
sauna,"n.桑拿浴,蒸汽浴"
massage,n.按摩v.按摩
spa,"n.矿泉,温泉区,游乐胜地,矿泉疗养地"
sunbathe,"n.日光浴,太阳灯浴"
ultraviolet,"adj.紫外线的,紫外的n.紫外线辐射"
radar,"n.雷达,电波探测器"
radial,"adj.光线的,光线状的,放射状的,半径的n.光线,射线"
radiochemical,adj.[化] 放射化学的n.已含放射性同位素的化学物质
radium,n.[化]镭
calcium,n.[化]钙(元素符号Ca)
sodium,n.[化] 钠
platinum,"n.白金,铂"
copper,"n.铜,警察"
magnesium,n.[化]镁
nickel,"n.[化]镍,镍币,(美国和加拿大的)五分镍币vt.镀镍于"
aluminum,n.[化]铝
aluminium,n.[化]铝adj.铝的
zinc,n.锌vt.涂锌于
alloy,"n.合金vt.使成合金,减低成色"
hardware,"n.五金器具,(电脑的)硬件,(电子仪器的)部件"
ore,"n.矿石,含有金属的岩石"
silicon,"n.[化]硅,硅元素"
hardness,"n.硬,硬度,艰难,难度"
sulphur,n.硫磺
sulphate,n.[化]硫酸盐
lime,"n.酸橙,石灰,黏鸟胶"
limestone,n.石灰石
granite,n.花岗岩
ammonia,"n.[化]氨,氨水"
hydrogen,n.氢
nitrogen,n.[化]氮
oxide,n.[化]氧化物
ozone,"n.新鲜的空气,[化]臭氧"
magnet,"n.磁体,磁铁"
electromagnet,n.电磁石
electron,n.电子
insulation,n.绝缘
insulator,"n.绝缘体,绝热器"
speck,n.斑点
splinter,"n.裂片,尖片,小事,碎片v.裂成碎片,分裂"
asphalt,n.沥青
tar,"n.焦油,柏油;[计]一种压缩文件的扩展名"
tarmac,n.停机坪
clay,"n.粘土,泥土,肉体,人体,似黏土的东西,陶土制的烟斗"
layer,"n.层,阶层"
topsoil,"n.上层土,表层土"
chunk,"n.大块,矮胖的人或物"
tile,"n.瓦片,瓷砖"
porcelain,"n.瓷器,瓷adj.瓷制的,精美的,脆的"
stoneware,n.瓷器
pottery,"n.陶器,陶器场"
ceramic,adj.陶器的n.陶瓷制品
enamel,"n.珐琅,瓷釉,指甲油vt.涂以瓷釉,彩饰"
dummy,"n.哑巴,傀儡,假人,假货adj.虚拟的,假的,虚构的n.[计] 哑元"
puppet,"n.傀儡,木偶"
crayon,"n.有色粉笔,蜡笔,粉笔画"
charcoal,n.木炭
wax,"n.蜡,蜡状物,增加,月亮由亏转盈vi.变大,增大,月亮渐满vt.上蜡于"
combustion,n.燃烧
fluid,"n.流动性,流度adj.流动的,不固定的,可改变的,可另派用场的,流畅的"
gaseous,"adj.气体的,气态的"
gasoline,n.汽油
kerosene,"n.煤油,火油"
kerosine,
soot,"n.煤烟,烟灰v.用煤烟弄脏"
pit,"n.深坑,深渊,陷阱,(物体或人体表面上的)凹陷,(英国剧场的)正厅后排、正厅后排的观众vt.窖藏,使凹下,去...之核,使留疤痕,使竞争vi.起凹点,凹陷"
sediment,"n.沉淀物,沉积"
fossil,"n.化石,僵化的事物adj.化石的,陈腐的,守旧的"
cement,"n.水泥,接合剂vt.接合,用水泥涂,巩固vi.粘牢"
aperture,"n.孔,穴,缝隙,(照相机,望远镜等的)光圈,孔径"
groove,"n.(唱片等的) 凹槽,惯例,最佳状态vt.开槽于"
gutter,"n.水槽,檐槽,排水沟,槽,贫民区vt.开沟于vi.流n.装订线"
cellular,adj.细胞的;蜂窝技术
botany,n.植物学
respiration,"n.呼吸,呼吸作用"
planter,"n.种植者,耕作者,种植园主,殖民者"
thoroughbred,"adj.(指牲畜)纯种的、良种的,(指人)高尚的、受过良好教养的n.受过严格训练的人,受过良好教养的人,良种动物"
twig,"n.嫩枝,小枝,末梢v.注意,了解"
evergreen,"adj.常绿的n.常绿树,常绿植物"
greenery,"n.温室,草木"
vegetation,"n.[植]植被,(总称)植物、草木,(植物的)生长、呆板单调的生活"
blade,"n.刀刃,刀片"
reed,"n.芦苇,芦笛,簧片,管乐器"
fern,n.[植]蕨类植物
herb,"n.药草,香草"
vine,"n.葡萄树,蔓生植物(如甜瓜),攀缘植物(如豌豆,蛇麻草),藤,蔓"
grapevine,"n.葡萄藤,葡萄树,<美俗>(秘密情报或)谣言不胫而走"
vineyard,n.葡萄园
orchard,"n.果园,果园里的全部果树,<美俚>棒球场"
overgrown,"adj.簇叶从生的,长得太大,畸形发展的"
moss,"n.苔,藓"
lichen,"n.[植]青苔,地衣,苔藓"
straw,"n.稻草,麦杆"
hay,
fodder,"n.饲料,草料,(创作的)素材,弹药vt.喂"
bale,"n.大包,大捆,(指标准量货物,如稻草,麦杆)货物vt.打包,捆包,包装,灾难,痛苦,悲哀"
mow,"n.干草堆,谷堆v.刈,扫除,收割庄稼,扫倒"
fell," vbl.fall 的过去式vt.击倒,打倒(疾病等),致于...死地,砍伐n.一季所伐的木材,兽皮,羊毛adj.凶猛的,可怕的"
thorn,"n.[植]刺,棘,荆棘"
timber,"n.木材,木料"
shrub,"n.灌木,灌木丛"
bud,"n.芽,蓓蕾vi.发芽,萌芽"
petal,n.花瓣
foliage,"n.树叶,植物"
bouquet,n.花束
