progress,"n.前进,进步,发展vi.前进,进步,进行"
log,"n.航行日志,原木,园形木材,园木v.把...记入航行日志,伐木,把...锯成段"
dialog,"n.(=dialogue)会话,对话"
dialogue,n.对话
eloquent,"adj.雄辩的,有口才的,动人的,意味深长的"
analog,"n.类似物,相似体"
likeness,"n.相象,相似物"
catalog,"n.目录,目录册v.编目录"
slogan,"n.口号,标语"
banner,"n.旗帜,横幅,标语"
motto,"n.座右铭,格言,题词,笺言"
confess,"v.承认,坦白,忏悔"
claim,"n.(根据权利提出)要求,要求权,主张,要求而得到的东西vt.(根据权利)要求,认领,声称,主张,需要"
reclaim,"vt.要求归还,收回,开垦"
exclaim,"v.呼喊,惊叫,大声叫"
proclaim,"vt.宣布,声明,显示,显露"
clarify,"v.澄清,阐明"
declare,"vt.断言,宣称,宣布,宣告,声明,(向海关)中报进口应纳税之货物"
dense,"adj.密集的,浓厚的"
condense,"v.(使)浓缩,精简"
firm,"n.公司,(合伙)商号adj.结实的,坚硬的,坚定的,坚固的,牢固的,稳固的,严格的vt.使牢固,使坚定vi.变稳固,变坚实adv.稳固地,坚定地"
confirm,"vt.确定,批准,使巩固,使有效v.确认,(基督教中)给...行按手礼"
affirm,"v.断言,确认,肯定"
assure,"vt.断然地说,确告,保证,担保"
ensure,"vt.保证,担保,使安全,保证得到v.确保,确保,保证"
insure,vt.给...保险v.确保
precaution,"n.预防,警惕,防范"
warrant,"n.授权,正当理由,根据,证明,凭证,委任状,批准,许可证vt.保证,辩解,担保,批准,使有正当理由"
guarantee,"n.保证,保证书,担保,抵押品vt.保证,担保"
pledge,"n.保证,誓言,抵押,抵押品vt.保证,使发誓,抵押,典当,举杯祝...健康"
edge,"n.刀口,利刃,锋,优势,边缘,优势,尖锐vt.使锋利,挤进,镶边,开刃vi.缓缓移动,侧着移动"
hedge,"n.树篱,障碍物v.用树篱围住,避免作正面答复"
wedge,"n.楔vt.楔入,楔进"
rim,"n.边,轮缘,蓝框vt.镶边,为...装边,沿...边缘滚动vi.形成边状"
brim,"n.(杯,碗等)边,边缘,(河)边vt.注满,使满溢vi.满溢"
grim,adj.严酷的
pilgrim,"n.圣地朝拜者,朝圣"
trim,"adj.整齐的,整洁的vt.整理,修整,装饰"
mend,"n.改进,改良,补丁,修理部分,好转vt.修改,改进,加快,修理,修补vi.好转,改善,改正"
mighty,"n.有势力的人adj.有势力的,强大的,有力的adv.很,极,非常"
milky,"adj.牛奶的,乳状的,乳白色的"
mint,"n.薄荷,薄荷糖,造币厂,大量,来源v.铸造(硬币)"
mischief,"n.伤害,危害,故障,恶作剧,淘气,调皮的人,损害"
miser,"n.守财奴,吝啬鬼,(石油工程上用的)凿井机"
mistress,"n.主妇,女主人,女能人,情妇"
module,"n.模数,模块,登月舱,指令舱"
remark,"n.备注,评论,注意,注释vt.评论,注意,谈及vi.谈论"
remarkable,"adj.不平常的,非凡的,值得注意的,显著的"
prominent,"adj.卓越的,显著的,突出的"
reputation,"n.名誉,名声"
fame,"n.名声,名望,传说,<古>传闻vt.(常用被动语态)使闻名,使有名望,盛传"
faith,"n.信任,信念,宗教信仰,忠实,保证,诺言,约定"
margin,"n.页边的空白,(湖、池等的)边缘,极限,利润,差数,(时间、金额等的)富余vt.加边于,加旁注于"
marginal,"adj.记在页边的,边缘的,边际的"
band,"n.带子,镶边,波段,队,乐队v.联合,结合"
bandit,n.强盗
bend,"v.弯曲,专心于,屈服n.弯曲"
bind,"v.绑,镶边,装订,凝固,约束"
bond,"n.结合(物),粘结(剂),联结,公债,债券,合同v.结合"
bundle,"n.捆,束,包v.捆扎"
bound,"n.跃进,跳,范围,限度adj.正要启程的,开往...去的,被束缚的,装订的v.跳跃,限制"
boundary,"n.边界,分界线"
frontier,"n.国境,边疆,边境"
bounce,"v.(使)反跳,弹起,(指支票)被银行退票,弹跳n.(球)跳起,弹回"
abound,"vi.多,大量存在,富于,充满"
fluent,"adj.流利的,流畅的"
overflow,"n.溢出,超值,泛滥,充满,洋溢v.(使)泛滥,(使)溢出,(使)充溢"
splash,"n.溅,飞溅,斑点v.溅,泼,溅湿"
flood,"n.洪水,水灾,(因雨)涨潮,[诗]水vt.淹没,使泛滥,注满,充满vi.被水淹,溢出,涌进,喷出,涌出"
fluid,"n.流动性,流度adj.流动的,不固定的,可改变的,可另派用场的,流畅的"
flux,"n.涨潮,变迁,[物]流量,通量vi.熔化,流出vt.使熔融,用焊剂处理"
fluctuate,"vi.变动,波动,涨落,上下,动摇vt.使动摇,使波动,使起伏"
flutter,"n.摆动,鼓翼,烦扰vi.鼓翼,飘动,悸动,乱跳,烦扰vt.拍(翅),使焦急"
flush,"n.奔流,晕红,激动,萌芽,活力旺盛,发烧,一手同花的五张牌,惊鸟;adj.挥霍的,直接的,泛滥的;adv.齐平地,直接地;vi.(脸)发红,奔涌,充沛,惊飞;vt.淹没,冲洗,使脸红,使齐平,使惊飞,使激动"
blush,"v.脸红,羞愧,呈现红色,使成红色n.脸红,红色,红光"
flu,
vaccine,"adj.疫苗的,牛痘的n.疫苗"
quest,n.寻求
question,"n.问题,疑问,询问v.询问,审问,怀疑"
flourish,"vi.繁荣,茂盛,活跃,手舞足蹈,兴旺,处于旺盛时期vt.挥动,夸耀n.茂盛,兴旺,华饰,繁荣"
nourish,"vt.滋养,使健壮,怀有(希望,仇恨等)"
flag,"n.旗,标记v.标记"
flare,"n.闪光,闪耀vi.闪光,突然烧起来,闪耀vt.使闪耀,使张开"
flavor,"n.情味,风味,滋味,香料vt.加味于"
flaw,"n.缺点,裂纹,瑕疵,一阵狂风vt.使破裂,使有缺陷,使无效vi.生裂缝,变的有缺陷"
fling,"n.投,掷,猛冲,暴躁的行动,急冲,嘲弄,讥笑vt.猛投,抛,掷,使陷入,挥动,嘲笑,扫视vi.猛冲,直冲,急行"
flap,"n.拍打,拍打声,副翼v.拍打,鼓翼而飞,飘动,拉下(帽)的边,扔,掷"
flame,"n.火焰,光辉,光芒,热情,激情"
blame,"n.过失,责备vt.责备,谴责"
tame,"adj.(指动物)驯服的、柔顺的,(指人)没精打彩的、顺从的,被开垦的,沉闷的,乏味的,平淡的vt.驯养,驯服,制服,使变得平淡vi.变得驯服"
game,"n.比赛,游戏,竞赛,[复]运动会,玩耍,比分,比赛规则,策略vi.赌博adj.勇敢的,有胆量的,关于野味的,跛的"
flexible,"adj.柔韧性,易曲的,灵活的,柔软的,能变形的,可通融的"
reflect,"v.反射,反映,表现,反省,细想"
gesture,"n.姿态,手势,表示v.作手势,以手势表示"
ginger,"n.姜,生姜,有姜味,活泼,元气,精力,淡赤黄色(的)～"
gleam,"n.微弱的闪光,一丝光线,瞬息的一现vi.闪烁,隐约地闪现vt.使发微光,使闪烁"
globe,"n.球体,地球仪,地球,世界"
glory,"n.荣誉,光荣"
fury,"n.狂怒,狂暴,激烈,狂怒的人,<希神>复仇女神"
ivory,n.象牙
glossary,n.术语表
gnaw,"v.咬,啃,啮,使苦恼,消耗,折磨,侵蚀"
goddess,n.女神
goodness,"n.仁慈,善良"
gradient,"adj.倾斜的n.梯度,倾斜度,坡度"
gramophone,n.留声机
deflect,"v.(使)偏斜,(使)偏转"
graph,"n.图表,曲线图"
geography,"n.地理学,地理"
photography,"n.摄影,摄影术"
telegraph,"n.电报机,电报v.打电报,发电报,打电报说"
graphite,n.石墨
program,"n.节目,程序,纲要,计划vt.规划,拟...计划,安排...入节目vi.安排节目,编程序 (电脑)程序,(电视)节目"
gram,"n.克,[植]鹰嘴豆(用作饲料)"
diagram,n.图表
dial,"n.刻度盘,钟面,转盘,(自动电话)拨号盘v.拨"
diagnose,v.诊断
dairy,"n.牛奶场,奶品场,售牛奶,奶油,鸡蛋等的商店,奶制品"
scope,"n.(活动)范围,机会,余地"
telescope,n.望远镜v.压缩
microscope,n.显微镜
microprocessor,n.[计]微处理器
microwave,n.微波(波长为1毫米至30厘米的高频电磁波)
range,"n.山脉,行列,范围,射程vt.排列,归类于,使并列,放牧vi.平行,延伸,漫游"
arrange,"v.安排,排列,协商"
area,"n.范围,区域,面积,地区,空地"
field,"n.原野,旷野,领域,(一块)田地,牧场,域,战场,运动场vt.把(谷物等)暴晒于场上,使上场vi.担任场外队员adj.田间的,野生的,野外的,田赛的 扫描场"
realm,n.领域
sphere,"n.球,球体,范围,领域,方面,圈子,半球"
atmosphere,"n.大气,空气,气氛"
environment,"n.环境,外界"
continent,"n.大陆,陆地"
lord,"n.封建领主,地主,统治者,[宗]上帝vi.称王称霸,作威作福vt.使成贵族"
district,"n.区域,地方,管区,行政区,(美国各州的)众议院选区"
region,"n.区域,地方,(世界上某个特定的)地区,(艺术,科学等的)领域,(大气,海水等的)层"
religion,"n.宗教,信仰"
pray,"v.祈祷,恳求,请"
prairie,"n.大草原,牧场,<美方>林间小空地"
ranch,n.大农场v.经营牧场
prey,"n.被掠食者,牺牲者,掠食vi.捕食,掠夺,折磨"
locate,"vt.查找...的地点,使...坐落于,位于v.定位,位于"
situate,"vt.使位于,使处于"
locality,"n.位置,地点"
territory,"n.领土,版图,地域"
terrain,n.地形
terrace,"n.梯田的一层,梯田,房屋之平顶,露台,阳台,倾斜的平地 adj.(女服)叠层式的vt.使成梯形地,使有平台屋顶"
trench,"n.沟渠,堑壕,管沟,电缆沟,战壕v.掘沟,挖战壕"
basin,"n.盆,盆地,水池"
plain,"n.平原,草原adj.简单的,明白的,平常的,清晰的,普通的,朴素的adv.清楚地n.[计] 无格式"
complain,"v.抱怨,悲叹,控诉"
plateau,"n.高地,高原(上升后的)稳定水平(或时期、状态)"
crust,"n.外壳,硬壳,面包皮vt.盖以硬皮vi.结硬皮"
swamp,"n.沼泽,湿地,煤层聚水v.陷入沼泽,淹没,覆没"
marsh,"n.湿地,沼泽,沼泽地"
moor,"n.沼地,荒野v.停泊,固定,系住"
mop,"n.拖把(俗称地拖),洗碗v.用拖把拖洗,擦,抹,扫荡"
astronomy,n.天文学
astronaut,"n.太空人,宇航员"
disaster,"n.灾难,天灾,灾祸"
sun,"n.太阳,阳光,恒星vt.晒n.(Sun) 星期天(=Sunday) 美国Sun公司,主要生产SUN系列工作站和网络产品,是JAVA语言的创始者"
desolate,"adj.荒凉的,无人烟的"
moon,"n.月球,月亮,卫星"
mercury,"n.水银,汞,[罗神]墨丘利神(众神的信使)"
satellite,n.人造卫星
eclipse,"n.食,日蚀,月蚀,蒙蔽,衰落vt.引起日蚀,引起月蚀,超越,使黯然失色"
ellipse,"n.[数]椭圆,椭圆形"
theory,"n.理论,学说,...论,原理,意见,推测"
theorem,"n.[数]定理,法则"
theme,"n.(谈话,写作等的)题目,主题,学生的作文,作文题,[音乐] 主题,主题曲,主旋律"
thesis,"n.论题,论文"
synthesis,"n.综合,合成"
hypothesis,n.假设
thermal,"adj.热的,热量的"
gather,"n.集合,聚集vi.集合,聚集,渐增,蹙眉,化脓vt.使聚集,搜集,积聚,推断"
weather,"n.天气,气候,气象,处境adj.迎风的,露天的vt.使受风吹雨打,侵蚀,使风化,经受住vi.风化,受侵蚀,经受风雨"
philosophy,"n.哲学,哲学体系,达观,冷静"
prophet,"n.先知,预言者,提倡者"
sophomore,"n.大学二年级生,有二年经验的人"
sophisticated,"adj.诡辩的,久经世故的"
subtle,"adj.狡猾的,敏感的,微妙的,精细的,稀薄的"
assassinate,"vt.暗杀,行刺"
cunning,"adj.狡猾的,巧妙的,<美>漂亮的,可爱的n.狡猾,诡诈"
genius,"n.天才,天赋,天才人物"
smart,"n.刺痛,痛苦adj.巧妙的,聪明的,漂亮的,潇洒的,刺痛的,剧烈的,厉害的,敏捷的vi.刺痛,懊恼 轻快地,严厉地,灵巧地,精确的,时髦地,大大的"
ingenious,"adj.机灵的,有独创性的,精制的,具有创造才能"
generate,"vt.产生,发生"
regenerate,"vt.使新生,重建,改革,革新vi.新生,再生,起革新作用adj.新生的,更新的"
gentle,"adj.温和的,文雅的"
generous,"adj.慷慨的,大方的,有雅量的"
genuine,"adj.真实的,真正的,诚恳的"
homogeneous,"adj.同类的,相似的,均一的,均匀的"
general,"n.普通,将军,概要adj.一般的,普通的,综合的,概括的,全面的,大体的 n.常规"
overall,"adj.全部的,全面的"
fix,"vt.使固定,装置,修理,准备,安装,凝视,整理,牢记vi.固定,注视,决定,选定,确定n.困境,方位,贿赂"
flake,"n.薄片v.使成薄片,剥落,雪片般落下"
flank,"n.腰窝,侧面,军队侧翼,侧腹,胁,腰窝肉vt.在...的侧面,侧翼包围,守侧面vi.侧面与...相接"
flask,"n.瓶,长颈瓶,细颈瓶,烧瓶,小水瓶"
diligent,"adj.勤勉的,用功的,细心而继续不断的"
aerial,"adj.航空的,生活在空气中的,空气的,高耸的n.天线"
aerospace,n.航空宇宙
album,"n.集邮本,照相簿,签名纪念册"
align,"vi.排列vt.使结盟,使成一行"
amateur,"n.业余爱好者,业余艺术家"
ambient,adj.周围的n.周围环境
Arctic,
awake,"vi.醒,觉醒,领会,觉悟vt.唤醒adj.警觉的,醒的"
ballet,"n.芭蕾舞,芭蕾舞剧,芭蕾舞乐曲"
bank,"n.银行,堤,岸,沙洲,浅滩,一堆(土),(云)层,储藏所(库)vt.存(款)于银行,储蓄,(车或飞机)倾斜转弯"
bamboo,n.竹子
baron,n.男爵(英国世袭的最低级的贵族爵位)
beetle,"n.甲虫vi.悬垂,突出"
beside," prep.在旁边,和...比较"
bishop,n.主教
blacksmith,"n.锻工,铁匠"
bourgeois,"n.中产阶级,商人,资产阶级adj.中产阶级的,平庸的n.九点活字"
chest,"n.胸腔,胸膛,箱,柜"
chestnut,n.栗子
clown,"n.小丑,粗鲁愚蠢的人"
cluster,"n.串,丛;vi.丛生,成群"
coach,"n.四轮大马车,长途汽车,教练v.训练,指导"
coke,"n.可乐,焦炭v.(使)成焦炭"
couch,"n.(文学)床,睡椅 v.(用语言)表达"
craft,"n.工艺,手艺"
damn,v.谴责
deal,"n.交易,(政治上的)密约,待遇,份量,<口>买卖vi.处理,应付,做生意vt.分配,分给(out),发牌,给予"
decay,"vi.腐朽,腐烂,衰减,衰退n.腐朽,腐烂,衰减,衰退v.衰落"
decree,"n.法令,政令,教令,天命,判决v.颁布"
deem,"v.认为,相信"
fault,"n.过错,缺点,故障,毛病vt.挑剔vi.弄错"
default,"n.默认(值),缺省(值),食言,不履行责任,[律]缺席v.疏怠职责,缺席,拖欠,默认"
develop,"vt.发展,发达,发扬,进步,逐步展开(情节,音乐主题,方程式等)洗印,显影vi.发展,生长,发育,逐步显示出来"
devour,"vt.(尤指动物)吞吃,狼吞虎咽,挥霍,(火灾等)毁灭,破坏,吞没,贪看,贪听"
diesel,n.柴油机
diet,"n.通常所吃的食物,会议"
difficult,"adj.困难的,艰难的,(人)难相处的"
embroidery,"n.刺绣品,粉饰,刺绣,装饰"
even,"adj.平的,平滑的,偶数的,一致的,平静的,恰好的,平均的,连贯的adv.[加强语气]甚至(...也),连...都,即使,恰好,正当vt.使平坦,使相等vi.变平,相等n.偶数,偶校验"
fair,"adj.美丽的,女性的,(肤色)白皙的,(头发)金黄的,干净的,公平的,(天气)晴朗的adv.公平地,公正地,直接地,清楚地n.美好的事物,美人,展览会,市集vi.转晴"
fall,"n.秋天,落下,瀑布,降低,落差,采伐量,堕落,下降vi.倒下,落下,来临,失守,变成,垮台,下跌,阵亡vt.<美><英方>击倒,砍倒(树木)adj.秋天的"
fort,"n.堡垒,边界上的贸易站"
fowl,"n.家禽,禽,禽肉v.捕野禽"
fro,"adv.往,去,回,向后"
gangster,"n.<美俗>歹徒,士匪,强盗"
gear,"n.齿轮,传动装置v.调整,(使)适合,换档"
grassy,"adj.绿色的,象草的"
guitar,"n.吉他,六弦琴vi.弹吉他"
gust,"n.阵风,一阵狂风,(雨、冰雹、烟、火、声音等的)突然一阵,(感情的)迸发,汹涌"
gutter,"n.水槽,檐槽,排水沟,槽,贫民区vt.开沟于vi.流n.装订线"
handout,"n.分发的印刷品,新闻稿"
hide,"n.兽皮,皮革v.剥...的皮,痛打,隐藏,掩藏,隐瞒,掩饰"
hinge,"n.(门、盖等的)铰链,枢纽,关键vt.装铰链v.装以绞链,依...而转移"
hush,v.安静n.安静
ice,"n.冰冻食品vt.冰冻,覆以冰vi.结冰 [军] Intenal Combustion Engine,内燃机"
ideal,"n.理想adj.理想的,完美的,想象的,观念的,唯心论的"
idiot,"n.白痴,愚人,傻瓜"
pure,"adj.纯的,纯粹的,纯净的,无垢的,纯洁的,完美的,抽象的"
Islam,
jack,
jam,"n.果酱,拥挤,堵塞,困境vt.挤进,使塞满,混杂,压碎,使堵塞vi.堵塞,轧住,拥挤"
lathe,"n.车床,[纺]走梭板vt.用车床加工"
leopard,"n.豹,美洲豹.美洲虎"
panther,"n.豹,黑豹"
lily,"n.百合,百合花,洁白的东西,纯洁的人adj.洁白的,纯洁的 Lily 莉莉(女子名)"
loft,n.阁楼
magic,"n.魔法,巫术,戏法adj.魔术的,有魔力的,不可思议的"
momentary,"adj.瞬间的,刹那间的"
monk,"n.修道士,僧侣"
mosque,n.清真寺
motorway,n.汽车高速公路
nun,"n.修女,尼姑"
nut,"n.坚果,螺母,螺帽,难解的问题"
oath,"n.誓言,宣誓,诅咒"
olive,"n.橄榄树,橄榄叶,橄榄枝,橄榄色 Olive 奥利夫(女子名)"
opium,n.鸦片vt.用鸦片处理
oval,"adj.卵形的,椭圆的n.卵形,椭圆形"
overhear,"vt.无意中听到,偷听"
pluck,"n.勇气v.拔去(鸡、鸭等)毛,采集"
ponder,"v.沉思,考虑"
pop,"n.取出,砰然声,枪击,流行乐曲;adj.流行的,热门的,通俗的;vt.开枪打,抛出,取出,突然伸出,突然行动;adv.突然,砰地;vi.发出爆裂声,爆开,射击,突然出现,瞪大;n.<口>汽水;Post Office Protocol,电子邮件协议"
pope,
popular,"adj.通俗的,流行的,受欢迎的"
prism,"n.[物]棱镜,[数]棱柱"
punch,"n.冲压机,冲床,打孔机vt.冲孔,打孔"
puppy,"n.(常指未满一岁的)小狗,小动物,自负的青年"
quarterly,"n.季刊adj.一年四次的,每季的adv.每季地"
quench,"vt.结束,熄灭,淬火vi.熄灭,平息"
raisin,n.葡萄干
rap,"n.叩击,轻拍,轻敲,斥责vt.敲,拍,打,厉声说出,斥责,使着迷vi.敲击,交谈 [军] Rocket Assisted Projectile,火箭助推炮弹"
rapture,"n.全神贯注,兴高采烈,欢天喜地vt.使狂喜"
rascal,"n.流氓,无赖,坏蛋,淘气鬼adj.不诚实的,卑鄙的,下贱的"
pay,"n.薪水,工资v.支付,交纳,给予,有利,值得,合算"
residue,"n.残余,渣滓,滤渣,残数,剩余物"
ridicule,"n.嘲笑,奚落v.嘲笑,奚落"
rinse,"v.嗽口,(用清水)刷,冲洗掉,漂净n.嗽洗,漂洗,漂清,冲洗"
riot,"n.暴乱,骚动,(植物,疾病等)蔓延,放荡,暴动v.骚乱,放纵,挥霍,参加骚动"
rip,"v.撕,剥,劈,锯,裂开,撕裂n.裂口,裂缝  愿灵安眠 RIP(rest in peace)"
ripple,n.波纹v.起波纹
Rome,
row,"n.排,行v.划(船)"
royal,"adj.王室的,皇家的,第一流的,高贵的"
ruby,n.红宝石
scan,"v.细看,审视,浏览,扫描n.扫描"
scoff,"n.嘲笑,嘲弄的话,嘲弄的对象,愚弄,笑柄,食品v.轻蔑地说,嘲笑,嘲弄,贪吃,狼吞虎咽"
sneer,"v.冷笑,讥笑,嘲笑n.冷笑,嘲笑"
scorch,"v.烧焦,枯萎n.烧焦,焦痕,枯黄"
seaside,"n.海滨(胜地),滨海城镇,海边adj.海边的,海滨的"
serpent,"n.大毒蛇,阴险的人"
set,"v.放,置,移动到,使(人或事物处于某种状态),提出,树立,规定,调整;n.一套,一副,一批,接受机,装置,趋势,布景;adj.固定的,规定的,坚决的,固执的,事先做好的;Secure Electronics Transations Protocol,安全电子商务协议"
settle,"n.有背的长凳vt.安放,使定居,安排,解决,决定,整理,支付,使平静vi.安家,定居,停留,下陷,沉淀,决定,澄清"
shabby,"adj.破旧的,褴褛的,低劣的,卑鄙的,不公平的"
shaft,"n.轴,杆状物"
shatter,"n.粉碎,碎片,落花(叶,粒等)vt.打碎,使散开,粉碎,破坏vi.粉碎,损坏,落叶"
sheer,"adj.全然的,纯粹的,绝对的,彻底的,透明的,峻峭的vi.避开,躲避,偏航vt.使避开,使偏航adv.完全,全然,峻峭n.偏航"
shell,"n.贝壳,壳,外形,炮弹vt.去壳,脱落,炮轰vi.剥落,脱壳 [计] 设定命令行解释器的位置"
shipbuilder,"n.造船专家,造船工程师"
wreck,"n.失事船(或飞机),残骸,(船,飞机的)失事vt.破坏,拆毁"
short,"n.简略,短路,短裤adj.短的,矮的,不足的,不够的,(智力等)弱的,浅薄的,松脆的,简短adv.突然,缺乏,不足"
shoulder,"n.肩,肩部,侧翼vt.肩负,承当"
shovel,"n.铲,铁铲v.铲"
shower,"n.阵雨,淋浴,(一)阵,(一)大批vt.大量地给与"
showy,"adj.浮华的,(过分)艳丽的,炫耀的,卖弄的"
shrimp,n.小虾v.捕虾
shrine,"n.神龟,神殿,神祠,圣地"
shrub,"n.灌木,灌木丛"
shrug,n.耸肩v.耸肩
shutter,"n.关闭者,百叶窗,快门,<美俚>安眠药;vt.关上,装以遮门,以百叶窗遮闭"
shy,"adj.怕羞的,畏缩的,害羞的"
sideways,"adv.向一旁,向侧面地,斜地里adj.一旁的,向侧面的"
siege,"n.包围,围城,长期努力,不断袭击,围攻v.包围,围攻"
sift,v.详审
singular,"n.单数adj.单一的,非凡的,异常的,持异议的"
siren,"n.汽笛,警报器,空袭警报,妖妇v.(救火车等)响着警报器行驶"
slander,n.诽谤v.诽谤
slang,"n.俚语,行话v.用粗话骂,用俚语说"
slap,"vt.拍,掌击,拍击n.拍,掌击,拍击"
slit,"vt.切开,撕裂n.裂缝,狭长切口"
smuggle,"n.走私,偷带v.走私"
snail,"n.蜗牛,迟钝的人v.捉蜗牛,缓慢移动"
snap,"v.猛地吸住,突然折断,使劈啪地晌,猛咬n.猛咬,突然折断,劈啪声adj.突然的"
sniff,"v.用力吸,嗅,闻到,发觉,轻视,用力吸气n.吸,闻,吸气声,嗤之以鼻"
snob,"n.势利的人,假内行"
snore,"v.打鼾,打着鼾渡过(时间)n.打鼾,鼾声"
sofa,n.沙发
soft,"adj.软的,柔软的,温和的,温柔的,不含酒精的n.软件"
steal,"v.偷,窃取,偷窃,偷盗"
stereo,"n.立体声系统,立体声,[印]铅版,立体照片adj.立体的,立体感觉的"
storm,
stout,"adj.结实的,勇敢坚定的,激烈的,矮胖的,顽强的n.矮胖子,烈性啤酒"
sturdy,"adj.强健的,坚定的,毫不含糊的n.[兽医]家畜晕倒病"
system,"n.系统,体系,制度,体制,秩序,规律,方法"
solo,n.独奏曲adj.单独的
console,"vt.安慰,藉慰n.[计] 控制台"
sorrow,"n.悲哀,悲痛"
spite,"n.(in ～ of)不顾,不管,敌意v.困扰"
evil,"adj.邪恶的,带来麻烦的,不幸的,有害的,诽谤的n.邪恶,不幸,罪恶"
squash,"n.南瓜,易压烂的物品,拥挤的人群,壁球v.压扁,压制,镇压,挤进,挤压"
squat,"v.蹲坐,蹲伏n.蹲坐adj.蹲着的"
stairway,n.楼梯
stammer,"v.口吃,结巴着说出,结结巴巴地说n.口吃"
steak,"n.(供煎,烤等的)肉,鱼,肉片,鱼片,肉排,牛排"
tar,"n.焦油,柏油;[计]一种压缩文件的扩展名"
thief,"n.小偷,贼"
thereafter,"adv.其后,从那时以后"
thrill,v.发抖
tickle,"n.搔,胳肢,发痒vt.胳肢,逗笑,使高兴,使发痒vi.觉得痒,使人痒"
tile,"n.瓦片,瓷砖"
tilt,"v.(使)倾斜,(使)翘起,以言词或文字抨击"
timely,"adj.及时的,适时的"
tiresome,"adj.无聊的,烦人的"
torpedo,"n.鱼雷,油井爆破筒v.用鱼雷进攻,破坏"
tower,"n.塔,城堡"
tramp,"v.重步行走,踏,践,践踏"
trolley,"n.电车,(电车)滚轮,手推车,手摇车,台车vt.用手推车运vi.乘电车"
tutor,"n.家庭教师,(大学)指导教师,助教,监护人,辅导教师v.辅导"
underline,"vt.在...下面划线,作...的衬里,加下划线,强调n.下划线"
limit,"n.界限,限度,限制vt.限制,限定"
vector,"n.[数]向量,矢量,带菌者vt.无线电导引"
vine,"n.葡萄树,蔓生植物(如甜瓜),攀缘植物(如豌豆,蛇麻草),藤,蔓"
virgin,"n.处女,(晚近用法)处男adj.处女的,童贞的,纯洁的,洁白无瑕疵的,未被玷污的,原始的,处于原耒状态的,未采伐过的森林 美国著名游戏软件公司"
vow,"n.誓约v.宣誓,立誓,发誓"
vowel,n.元音adj.元音的
wag,"vt.摇摆,摇动,饶舌vi.爱说笑打趣的人,摆动,喋喋不休n.摇摆,小丑"
ward,"n.守卫,保卫,保护,牢房,病房,行政区,监护,锁孔vt.守护,保卫,防止,挡住,躲开,避免"
warfare,"n.战争,作战,冲突,竞争"
warn,"vt.警告,注意,通知vi.发出警告,发出预告"
wasp,
watertight,"adj.不漏水的,水密的"
watery,"adj.水的,似水的,潮湿的,平淡的,稀薄的,松软的,水淋淋的,有雨意的"
watt,
waver,"n.动摇,开始退让,踌躇,挥动者vi.摇摆,颤抖,摆动,摇曳,犹豫"
whilst," conj.时时,同时"
whisker,"n.腮须,胡须,扫拂者vt.使有须,使有须状物"
whisper,"n.耳语,私语,密谈,谣传,飒飒的声音vi.耳语,密谈,飒飒地响vt.低声说"
whitewash,"n.石灰水,白色涂料,白粉胶泥水,涂脂抹粉vt.用石灰水把...刷白"
wield,v.挥
willow,"n.柳树,柳木制品adj.柳木制的"
wind,"n.风v.绕,缠,上发条,旋紧"
wink,"n.眨眼,使眼色,瞬间,(星光等的)闪烁vi.眨眼,使眼色,闪烁,打信号,假装不见,终止,熄灭vt.眨(眼)"
yoke,"n.轭,轭状物,套,束缚,支配v.把...套上轭,结合,连接"
yolk,"n.蛋黄,[生物] 卵黄"
youngster,"n.年青人,少年"
finance,"n.财政,金融,财政学vt.供给...经费,负担经费vi.筹措资金"
found,"v.建立,创立,创办,使有根据,铸造,熔制"
fine,"adj.美好的,优良的,杰出的,精美的,杰出的,细,纤细,纯粹n.罚款,罚金,晴天,精细vt.罚款,精炼,澄清vi.变清,变细adv.<口>很好,妙,[常用于构成复合词]细微地,精巧地"
confine,"vt.限制,禁闭n.界限,边界"
define,"vt.定义,详细说明"
definite,"adj.明确的,一定的"
finite,"adj.有限的,[数]有穷的,限定的"
loan,"n.(借出的)贷款,借出v.借,借给"
money,"n.货币,钱,金钱"
cost,"n.成本,价钱,代价vt.价值为,(使)花费(金钱,时间,劳力等),使失去(生命,健康等),令人付出vi.花费"
expense,"n.费用,代价,损失,开支,费钱之物"
span,"n.跨度,跨距,范围v.横越"
compensate,"v.偿还,补偿,付报酬"
indispensable,"n.不可缺少之物adj.不可缺少的,绝对必要的"
pendulum,"n.钟摆,摇锤"
appendix,"n.附录,附属品,[解]阑尾"
suspend,"vt.吊,悬挂v.延缓"
depend,"vi.依靠,依赖"
independent,"n.中立派,无党派者adj.独立自主的,不受约束的"
license,"n.许可(证),执照vt.许可,特许v.许可"
factor,"n.因素,要素,因数,代理人"
surface,"n.表面,外表,水面adj.表面的,肤浅的"
confront,"vt.使面临,对抗"
facility,"n.容易,简易,灵巧,熟练,便利,敏捷,设备,工具"
facilitate,"vt.(不以人作主语的)使容易,使便利,推动,帮助,使容易,促进"
affect,"vt.影响,感动,侵袭,假装"
effect,"n.结果,效果,作用,影响,(在视听方面给人流下的)印象vt.招致,实现,达到(目的等)"
affection,"n.友爱,爱情,影响,疾病,倾向"
defect,"n.过失,缺点"
shortcoming,"n.缺点,短处"
infect,"vt.[医] 传染,感染"
