abroad,"adv. 在国外；到海外
adj. 往国外的
n. 海外；异国"
spot,"n. 污点, 地点, 斑点, 点, 娱乐场所, 处境, 少量
a. 当场的, 现场的, 现货买卖的, 现金交易的, 抽样的
vt. 点缀, 玷污, 认出, 准确定...的位, 用灯光照射
vi. 玷污, (从空中)侦察敌方目标"
sting,"n. 叮, 刺痛, 刺激, 讽刺
vt. 叮, 刺痛, 刺激, 使苦恼
vi. 叮, 刺痛"
suffer,"vt. 遭受, 经历, 忍受
vi. 受痛苦, 受损害"
sympathy,"n. 同情, 赞同, 怜悯, 慰问, 吊唁
[医] 交感[作用], 同感[作用], 感应, 同情"
thrill,"n. 震颤, 激动, 刺激性, 一阵激动
vi. 震颤, 颤抖, 激动
vt. 使激动, 使颤动"
tragic,"a. 悲惨的, 悲剧的"
up-to-date,无
volume,"n. 册, 卷, 体积, 容量, 大量, 许多, 份量, 音量
vi. 成团卷起
vt. 把...收集成卷
a. 大量的
[计] 卷"
wilful,"a. 任性的, 固执的, 故意的, 存心的
[法] 有意的, 故意的, 任性的"
willful,"a. 任性的, 故意的, 有意的"
adventure,"n. 冒险, 冒险经历
v. 冒险"
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
[计] 挂接服务器命令, 关联, 挂接, 附加"
bitter,"a. 苦的, 痛苦的, 怀恨的
adv. 刺骨
v. (使)变苦"
broadcast,[机] 撒施
cease,"n. 停止
v. 停止, 终了"
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
confess,"v. 承认, 坦白, 忏悔, 供认"
converse,"n. 相反的事物, 倒, 逆向
a. 相反的, 逆向的, 颠倒的
vi. 交谈, 谈话"
cultivate,"vt. 培养, 耕作"
delay,"n. 耽搁, 迟滞
v. 耽搁, 延迟
[计] 延迟, 延时"
dignity,"n. 尊严, 高贵
[法] 尊严, 高位, 高贵"
doubt,"n. 怀疑, 疑惑
v. 怀疑, 不信"
emotion,"n. 情绪, 激动, 强烈的情感
[医] 情绪, 情感"
establish,"vt. 建立, 确立, 制定
vi. 移植生长"
excuse,"vt. 原谅, 申辩, 做为...的托辞
n. 致歉, 理由, 饶恕, 借口"
fiber,"n. 纤维, 构造, 纤维制品
[化] 纤维"
forthright,"adv. 直率地, 直接地, 马上, 立即
a. 直接的, 直率的, 坦白的
n. 直路"
gay,"a. 欢快的, 艳丽的, 快乐的, 放荡的"
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
holy,"adj. 圣洁的，神圣的；至善的
n. 神圣的东西
（俚）太棒了
n. (Holy)人名；(英、德、匈)霍利"
income,"n. 收入, 收益, 流入
[经] 收益"
interest,"n. 兴趣, 嗜好, 利息, 利益, 爱好, 趣味, 势力
vt. 使感兴趣, 与...有关系"
kindle,"vt. 点燃, 使着火, 引起, 照亮
vi. 着火, 激动, 发亮"
legal,"a. 法律的, 法定的, 合法的
[经] 法定权利; 法律(上)的, 合法的"
lung,"n. 肺, 肺脏, 空地
[医] 肺"
medium,"n. 媒体, 方法, 媒介
a. 半生熟的, 中间的
[计] 媒体, 中"
moderate,"a. 适度的, 稳健的, 中等的, 节制的
vt. 节制, 减轻, 使缓和
vi. 变缓和, 主持会议"
neighborhood,n. 附近；街坊；接近
odor,[网络] 气味
pace,"n. 速度, 步调, 步法
vi. 踱步, 缓慢走
vt. 用步测, 踱步于"
pave,"vt. 铺设, 安排, 铺满, 为...铺路
[化] 铺设"
picturesque,"a. 生动的, 如画的, 独特的, 别致的, 栩栩如生的"
pour,"n. 流出, 倾泻, 骤雨
vt. 倒, 灌, 注, 倾泻, 诉说, 倾吐
vi. 倾泻, 蜂涌而来, 下大雨"
progress,"n. 进步, 发展, 前进
vi. 进步, 进行"
quote,"n. 引用
vt. 引述, 举证, 报(价)
vi. 引用"
relate,"vt. 讲, 叙述, 使互相关联
vi. 有关, 符合, 相处得好"
resolve,"vi. 决定, 分解, 决心
vt. 使分解, 解析, 解决, 消除, 决心
n. 决定之事, 决心, 坚决"
royal,"n. 王室, 皇族
a. 王室的, 皇家的, 盛大的, 庄严的"
scheme,"n. 方案, 计划, 组合, 系统, 图解, 诡计, 阴谋
v. 计划, 设计, 图谋, 策划
[计] Scheme 程序设计语言"
situate,"vt. 使位于, 使处于"
somewhat,[网络] 一些什么；稍微；有点
spray,"n. 水沫, 浪花, 水花, 喷雾, 喷雾器, 小树枝
vt. 喷雾, 扫射, 喷射
vi. 喷, 溅开"
stir,"n. 搅拌；轰动
vt. 搅拌；激起；惹起
vi. 搅动；传播；走动"
suitable,"a. 适当的, 相配的
[法] 合适的, 适宜的, 适当的"
tale,"n. 故事, 谎言, 谣言, 陈述, 叙述
[法] 虚语, 诽语, 谣言"
throat,"n. 咽喉, 喉咙, 嗓音
vt. 用喉音说, 开沟于"
tramp,"n. 坚实(或沉重)的脚步声, 流浪者
vi. 践踏, 重步行走, 步行, 流浪
vt. 走过, 踩"
urge,"n. 冲动, 推动力, 迫切的要求
vt. 驱策, 力劝, 竭力主张, 推动
vi. 强烈要求"
vow,"n. 誓约, 誓言, 许愿
vi. 起誓, 发誓, 郑重宣言
vt. 立誓, 起誓要, 郑重地宣布"
witch,"n. 巫婆, 女巫
vt. 施巫术, 迷惑"
advertise,"vt. 做广告, 通知, 公布
vi. 做广告"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀
n. (Attack)人名；(瑞典)阿塔克"
blacksmith, 铁匠
brook,"n. 小溪
vt. 容忍"
ceiling,"n. 天花板
[经] 顶点, 顶线, 上限"
comfort,"n. 舒适, 安慰, 安慰者
vt. 安慰"
confine,"vt. 限制, 使不外出, 禁闭
vi. 邻接, 交界
n. 边缘, 范围, 区域"
convert,"n. 皈依者, 改变宗教信仰者
vt. 使改变信仰, 转换, 兑换, 倒置
vi. 皈依
[计] 转换"
cunning,"a. 狡猾的, 巧妙的, 可爱的
[法] 狡猾的的, 狡诈的, 熟练的"
delegate,"n. 代表
vt. 委派...为代表"
dim,"a. 暗淡的, 模糊的
vt. 使暗淡
[计] 数据解释模块"
drag,"n. 拖, 拖累
v. 拖累, 拖拉, 沉重缓慢地走, 拖动
[计] 拖动"
emperor,"n. 皇帝, 君主"
estate,"n. 不动产, (人生的)阶段, 阶层, 财产
[经] 房地产, 遗产, 财产"
exclaim,"vi. 呼喊，惊叫；大声叫嚷
vt. 大声说出"
fierce,"a. 凶猛的, 猛烈的, 热烈的, 暴躁的"
fortunate,"a. 幸运的, 幸福的"
gaze,[网络] -凝视
habit,"n. 习惯, 嗜好, 习性
vt. 使穿衣"
hop,comb.form 表示“频繁变换”：carhop
independence,"n. 独立, 自立, 自主
[医] 自主性, 独立性"
international,[网络] 国际；交往；国际化
kite,"n. 风筝, 筝帆, 空头支票, 骗子
vi. 象风筝一样飞, 轻快地移动, 使用空头支票
vt. 使上升, 骗钱"
leisure,"n. 空闲, 闲暇, 悠闲
a. 空闲的, 有闲的"
machinery,"n. 机器, 机械装置, 机构
[化] 机械"
melt,"n. 熔化, 熔化物, 溶解
v. (使)熔化, (使)溶解, (使)消散, (使)变软"
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
[经] 适当的"
nervous,adj. 神经的；紧张不安的；强健有力的
offer,"n. 给予(物), 出价, 提议, 意图, 报价
vt. 提供, 出价, 奉献, 试图, 使出现, 演出
vi. 出现, 献祭, 提议, 求婚"
pack,comb.form 表示“(瓶、罐头等)一箱”
paw,"n. 爪
v. 以蹄扒地, 用爪子抓, 拼命抓, 向...乱抓, 笨拙地使用, 费力地前进"
pigeon,"n. 【鸟】鸽子；〈非正式〉易受骗的人；〈非正式〉责任
[网络] 贝亲；野鸽；白鸽"
poverty,"n. 贫穷, 贫困, 缺乏
[医] 贫乏, 缺乏"
project,"n. 计划, 设计, 事业
vt. 计划, 设计, 投掷, 发射, 使凸出, 放映
vi. 凸出"
reduce,"vt. 减少, 分解, 降低, 使衰退, 把...分解, 把...归纳
vi. 减少, 减肥, 缩小
[计] 缩小"
reply,"n. 答复, 回答, 答辩
vi. 答复, 回答, 回击, 反响, 答辩
vt. 回答
[计] 答复"
rifle,"n. 来复枪, 步枪
vt. 用步枪射击, 抢夺
vi. (抱有不良意图)迅速翻查"
salary,"n. 薪水
vt. 给...加薪"
section,"n. 区段, 部分, 区域, 节, 截面, 处, 科, 区, 扇区
vt. 把...分段, 把...切片
vi. 被切成片
[计] 扇区"
shoot,"n. 射击, 狩猎, 芽, 射伤, 发射, 发芽, 急流, 推力, 摄影, 急送, 滑运道, 浪费
vt. 射击, 射中, 损毁, 拍摄, 喷出, 投射, 挥出, 飞速行进, 挥霍, 给...注射
vi. 射出, 射击, 发出, 拍电影, 射门, 发芽"
slope,"n. 倾斜, 斜坡, 斜率, 扛枪姿势
vt. 使倾斜, 弄斜, 扛
vi. 倾斜, 走, 逃走"
spider,"n. 蜘蛛, 设圈套者
[化] 星形轮"
starve,"v. (使)饿死, (使)挨饿"
structure,"n. 结构；构造；体系；结构体
v. 使形成体系；系统安排；精心组织
[网络] 建筑物；组织结构；市场结构"
swallow,"n. 燕子, 吞咽, 喉
vt. 咽, 淹没, 吞没, 耗尽, 轻信, 忍受, 抑制
vi. 吞下, 咽下"
tender,"a. 嫩的, 柔软的, 脆弱的, 温柔的, 亲切的, 未成熟的, 微妙的, 棘手的, 审慎的
vt. 使变嫩, 提供, 偿还
vi. 变柔软, 投标
n. 照料, 看管人, 供应船, 小船, 提出, 偿付, 投标"
trust,"n. 信任, 信赖, 相信, 受托, 职责, 信心, 托拉斯
a. 信托的, 托拉斯的
vt. 信赖, 信任, 相信, 盼望, 赊卖给
vi. 相信, 信赖, 依靠
[计] 委托, 信任"
vest,"n. 背心, 汗背心
vt. 使穿衣服, 授予
vi. 穿衣服, 归属"
weed,"vt. 除草；铲除
n. 杂草，野草；菸草
vi. 除草
n. (Weed)人名；(英)威德"
yield,"n. 生产量, 投资收益
vt. 出产, 给予, 让出, 放弃, 使屈服
vi. 出产, 屈服, 投降, 倒塌"
affair,"n. 事件, 事务, 恋爱事件"
attempt,"n. 尝试, 企图
vt. 尝试, 企图"
blade,"n. 叶片, 刀锋, 刀口, 剑
[医] 页[片], 叶片, 刀片, 刀刃, 刀口"
broom,"n. 扫帚, 金雀花
vt. 扫除"
cell,"n. 细胞；电池；牢房；基层组织
[网络] 单元；单元格；信元"
command,[网络] 命令
confirm,"vt. 证实, 确定, 批准, 使巩固
[计] 确认"
convince,"vt. 说服, 使相信
[法] 使确信, 使信服, 使人认识错误"
cure,"n. 治疗, 治愈, 治疗法
vt. 治疗, 治愈, 改正, 腌制, 加工处理, 使硫化
vi. 受治疗, 被加工处理, 被硫化"
delicate,"a. 细致优雅的, 微妙的, 美味的
[医] 柔弱的"
dip,"v. 浸, 降下, 把(手、勺等)伸入, 舀取
n. 浸, 涉猎
[计] 双列直插式组件, 分布式输入输出系统, 双排直插封装"
drain,"n. 排水沟, 消耗, 排水
vt. 排出, 喝光, 耗尽
vi. 排水, 流干"
emphasis,"n. 强调, 加强, 重点, 强语气"
estimate,"n. 估计, 判断
vt. 估计, 评价, 判断
vi. 估计"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vi. 计算；出现；扮演角色
vt. 计算；认为；描绘；象征"
foul,"a. 污秽的, 邪恶的, 恶臭的, 肮脏的, 恶劣的, 淤塞的
vt. 弄脏, 妨害, 污蔑, 犯规, 淤塞
vi. 腐烂, 犯规, 缠结
adv. 违反规则地, 不正当地
n. 犯规, 缠绕"
gem,[计] GEM元文件
hail,"n. 冰雹, 致敬, 欢呼, 招呼
vt. 向...欢呼, 致敬, 招呼, 使象下雹样落下
vi. 招呼, 下雹
interj. 万岁, 欢迎"
horizon,"n. 地平线, 眼界, (天)视地平"
indicate,"vt. 显示, 象征, 指示, 指出
[医] 指示"
interrupt,"vt. 中止，中断，阻碍；遮断；打断(别人讲话等)；打扰；打破…的平衡(或连续性等)
vi. 打断；打扰
n. 中断；暂停；隔阂；距离；分隔；裂痕；【计算机】中断信号"
kneel,[地名] 尼湖 ( 加 )
lessen,"vt. 减少, 缩小, 减轻
vi. 变小"
magic,"n. 魔术, 魔法
a. 魔术的, 有魔力的, 不可思议的"
mend,"n. 改进, 修补, 好转
vt. 修改, 改进, 加快, 修理
vi. 好转, 改善"
moist,"a. 潮湿的, 多雨的, 感伤的, 含泪的
[医] 湿的"
nest,[网络] 巢
official,"n. 官员, 公务员, 职员
a. 公务的, 官方的, 正式的"
package,"n. 包裹, 套装软件, 包, 包装用物, 程序包
vt. 包装, 打包
a. 一揽子的
[计] 包, 软件包, 包装"
payroll,"工资清单,薪工清单;工资薪金总额"
pile,"n. 堆, 大堆, 大厦, 建筑群, 电池, 大量, 桥桩, 软毛, 痔疮
vi. 堆起, 堆积, 积累, 挤, 猛烈攻击
vt. 堆于, 累积, 堆叠, 打桩于, 用桩支撑"
practical,"a. 实际的, 现实的, 实用性的
[法] 事实上的, 实际上的, 接近...的"
prompt,"n. 激励, 提示, 提醒物, 提词, 付款期限
a. 迅速的, 敏捷的, 立刻的, 提词员的
vt. 激励, 鼓动, 提示
adv. 准时地
[计] 提示符; DOS内部命令:设定DOS命令行的提示符"
refer,"vt. 提交, 归诸于, 把...提交, 使求助于
vi. 提到, 涉及, 查阅, 查询, 咨询"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
righteous,"a. 公正的, 正义的, 正直的
[法] 正直的, 正当的, 正义的"
sandwich,"n. 三明治；夹心面包片；夹心蛋糕
v. 把…夹[挤]在(两层[者])中间；将…做成三明治
[网络] 三文治；桑德威奇；夹层"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
shortage,"n. 不足, 缺乏
[化] 缺额"
smart,[网络] 硬盘错误侦测；硬盘已使用时间；设定工具
spill,"n. 溢出, 溅出, 摔下, 溢出量, 木片, 小塞子
vt. 使溢出, 使散落, 洒, 使流出, 倒出, 使摔下
vi. 溢出, 涌流, 摔下"
statesman,n. 政治家
struggle,"n. 斗争, 努力, 奋斗
vi. 努力, 奋斗, 挣扎"
sway,[网络] 在…的路上；终极手段；挤出一条路
term,"n. 术语, 专有名词, 期限, 学期, 任期, 条件, 价钱, 关系, 地位, 项, 界石
vt. 称, 呼
[计] 检索词; 项"
toil,"n. 辛苦, 苦工, 网, 罗网, 圈套
vi. 苦干, 跋涉"
tune,"n. 歌曲, 主旋律, 心情, 声调, 和谐, 一致, 语调, 程度
vt. 为...调音, 调整, 调谐, 使一致
vi. 协调, 调谐"
vice,"n. 恶习, 恶行, 罪恶, 堕落, 缺陷, 恶癖, 老虎钳
vt. 钳住
prep. 代替"
weep,"n. 哭, 哭泣
vi. 哭泣, 流泪, 哀悼, 滴落
vt. 哭着使..., 悲叹, 滴下"
zone,"n. 地带, 带, 地区
vt. 环绕, 使分成地带
vi. 分成区
[计] 卡片顶部的三行区; 区; 区域"
acid,酸
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
battle,"n. 战役
v. 战斗"
bough,n. 大树枝
capable,"a. 有能力的, 能的, 能干的"
choke,"vt. 窒息, 阻塞, 噎, 抑制
vi. 窒息, 阻塞, 噎
n. 窒息, 噎, 阻气门"
comrade,"n. 同志, 伙伴"
consult,"vi. 商讨, 商量, 协商, 会诊
vt. 向...请教, 查阅, 考虑"
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
[计] 信用量"
declare,"v. 宣布, 声明, 申报, 断言"
destroy,vt. 破坏；消灭；毁坏
disturb,"vt. 扰乱, 妨碍, 使不安
[法] 滋扰, 扰乱"
effective,"a. 有效的, 有力的, 实际的
n. 有生力量"
entire,"n. 整个, 全部
a. 全体的, 完全的, 全部的"
expert,"n. 专家, 行家
a. 老练的, 内行的, 专门的
[计] 高级"
favor,"n. 好意, 喜爱
vt. 赐予, 支持, 喜欢, 证实"
flutter,"n. 摆动, 鼓翼, 烦扰
vi. 摆动, 鼓翼, 烦扰
vt. 拍(翅), 使焦急
[计] 颤动"
fur,"n. 毛皮
vt. 以毛皮制作, 使生苔, 使生水垢
vi. 生苔, 积水垢"
grateful,"a. 感谢的, 感激的, 令人快意的, 受欢迎的"
hell,"他将, 他愿意, 他必须, 他要"
immense,"a. 极广大的, 无边的, 非常好的"
instant,"n. 立即, 瞬间
a. 紧急的, 立即的, 即时的"
join,"vi. 参加, 结合, 加入
vt. 连接, 结合, 参加, 加入
n. 连接, 结合, 接合点
[计] 连接; 汇合指令"
lash,"n. 鞭子, 鞭打, 睫毛, 责骂, 讽刺
vt. 鞭打, 摆动, 扎捆, 冲击, 讽刺, 煽动
vi. 冲洗, 鞭打, 责骂"
lodge,"n. 小屋, 门房, 支部, 旅舍, 分会
vi. 临时住宿, 倒伏, 寄宿, 投宿
vt. 安顿, 容纳, 提出, 把...射入, 存放"
mast,"n. 桅, 桅杆, 杆
vt. 装桅杆于"
mirror,"n. 镜子, 写真, 典范
vt. 反映, 映出"
nail,[网络] 钉
observe,"vt. 觉察到, 遵守, 注意到, 庆祝
vi. 注意, 评论"
outlook,"n. 观点, 景色, 前途, 了望
[经] 展望"
passage,"n. 一段（文章）；走廊；通路
n. (Passage)人名；(英)帕西奇；(法)帕萨热"
perish,"vi. 毁灭, 丧生, 凋谢, 颓丧, 死亡, 腐烂
vt. 毁坏, 使麻木, 使丧生, 耗尽"
politician,"n. 政客, 政治家, 从事党派政治的人
[法] 政客, 政治家"
primary,"n. 最主要者, 原色
a. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的
[计] 初等量; 主要的; 一次的"
purple,"n. 紫色, 帝位
a. 紫色的, 帝王的, 华而不实的
v. (使)成紫色"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
require,"vt. 需要, 命令, 要求
[法] 需要, 要求, 命令"
risk,"n. 冒险, 危险, 保险额
vt. 冒...的危险, 冒险干"
sauce,[网络] -酱
seek,"vt. 寻求, 寻找, 探索, 追求, 搜索, 请求
vi. 寻找, 搜索
[计] 查找"
shriek,"n. 尖锐的响声
vi. 尖叫, 发尖声
vt. 尖声发出"
snatch,"n. 抢夺, 攫取, 片断
vt. 夺取, 攫取
vi. 想抢走, 攫取"
spine,"n. 背骨, 脊柱, 尖刺
[医] 脊柱; 棘, 刺; 马蹄嵴"
stem,"n. 茎, 干, 柄, 船首, 血统, 堵塞物
vt. 摘掉茎, 装柄于, 阻止, 堵住, 逆行
vi. 堵住, 逆行"
stumble,"n. 绊倒, 蹒跚而行, 失足
vt. 使绊倒, 使困惑
vi. 绊倒, 失足, 失策, 犯错, 蹒跚, 踌躇"
sweep,"n. 扫除, 打扫, 肃清, 视野, 范围, 全胜
vt. 扫除, 掸去, 猛拉, 扫荡, 肃清, 冲走, 刮起, 环视, 掠过, 扫射
vi. 扫, 打扫, 袭击, 席卷, 扫视, 掠过"
territory,"n. 领土, 领地, 版图, 地区, 活动范围
[经] (推销员等的)推销区域"
torture,"n. 拷问, 苦闷
vt. 拷问, 曲解, 折磨, 使弯曲"
twin,"n. 双胞胎中一人, 一对非常相像的人(或物)中的一个
a. 双胞胎的, 成对的, 孪生的
vi. 生双胞胎, 成对
vt. 怀(双胞胎), 使成对"
vine,"n. 藤本植物, 葡萄, 藤, 蔓
vi. 形成藤蔓"
whip,"n. 鞭子, 抽打, 车夫, 搅拌器
vt. 鞭打, 搅拌, 煽动, 召集, 仓促制成
vi. 拍击, 急走, 抽打"
acquire,"vt. 获得, 学到
[电] 目标锁定"
apron,"n. 围裙；[航] 停机坪；舞台口
vt. 着围裙于；围绕
n. (Apron)人名；(俄)阿普龙"
bead,"n. 珠子, 滴
vt. 用珠装饰
vi. 形成珠
[计] 珠"
boundary,"n. 边界, 分界线
[计] 边界"
career,"n. 事业, 生涯, 成功
[法] 职业, 专业, 履历"
chop,"n. 肋条肉, 排骨, 砍, 戳记, 商标
vt. 剁碎, 砍, 切击, 割断
vi. 砍, 突然转向"
conceal,"vt. 隐藏, 掩盖, 隐瞒
[法] 隐瞒, 隐匿, 保守秘密"
contact,[网络] 装饰用套子
creep,"n. 爬, 徐行, 蠕动
vi. 爬, 蔓延, 潜行"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
ditch,"n. 沟渠
vt. 在...开沟
vi. 开沟"
efficient,"comb.form 表示“效率高的”,“充分利用的”：cost-efficient,energy-efficient"
entitle,"vt. 给...权利, 取名为, 给予名称, 叫做
[法] 给...权利, 使有资格, 称呼"
experiment,"n. 实验, 试验, 实验仪器
vi. 实验, 尝试"
favorite,"n. 喜欢的事物, 幸运儿
a. 特别受喜爱的, 喜爱的, 宠爱的, 中意的"
foam,"n. 泡沫, 水沫, 泡沫材料
vi. 起泡沫, 吐白沫
vt. 使起泡沫"
furnace,"n. 火炉, 熔炉, 考验
vt. 在炉中烧"
grave,[网络] -坟
herd,"n. 兽群, 人群, 牧人
vt. 群集, 使成群, 放牧
vi. 聚在一起"
import,"n. 进口货, 进口, 输入, 含义, 重要性
vt. 输入, 引入, 进口, 含...的意思, 重要
vi. 有关系
[计] 引入"
instinct,"n. 本能, 直觉
a. 充满着的"
joint,"n. 连接处, 接合, 关节
a. 共同的, 联合的, 连接的, 合办的
vt. 连接, 接合, 使有接头
vi. 贴合, 长节"
latter,"a. 后者的, 较后的, 近来的"
lonesome,a. 寂寞的
masterpiece,杰作
miserable,a. 悲惨的；痛苦的；卑鄙的
naked,"a. 裸体的, 无装饰的, 无保护的, 赤贫的
[医] 裸露的"
obtain,"vt. 获得, 达到
vi. 流行, 得到公认"
output, [林]出材率
passionate,"a. 热情的, 热烈的, 易怒的, 热恋的"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
[计] 永久的"
populous,"a. 人口多的, 人口稠密的"
principle,"n. 原则, 原理, 主义
[化] 原理"
pursue,"vt. 追赶, 追踪, 追随, 追求, 实行, 继续, 从事
vi. 追赶, 继续"
reform,"v. 再作；改编(军队等)；(飞机在攻击后)重新编队
[网络] 扣帐"
rescue,"n. 援救, 解救, 营救
vt. 援救, 救出, 营救"
rival,"n. 对手, 竞争者
a. 竞争的"
saucy,"a. 莽撞的, 活泼的, 漂亮的"
seize,"vt. 抓住, 逮捕, 俘获, 没收, 扣押, 掌握
vi. 突然抓住, 利用"
shut,"n. 关闭
vt. 关上, 闭起, 幽禁, 合拢, 轧住
vi. 关上, 停止营业"
soak,"vt. 吸收，吸入；沉浸在（工作或学习中）；使……上下湿透
vi. 浸泡；渗透
n. 浸；湿透；大雨"
spirit,"n. 精神, 心灵, 灵魂, 态度, 志气, 人格, 情绪, 心情, 烈酒
vt. 诱拐, 鼓励, 鼓舞"
stepmother,继母
stupid,"a. 愚蠢的, 麻木的"
swell,"n. 增大, 隆起的部分, 巨浪, 肿胀
a. 优秀的, 一流的
vi. 增大, 膨胀, 肿胀, 增强, 骄傲
vt. 使膨胀, 使增大, 使上涨, 使骄傲"
theme,[计] Windows桌面主题文件
tough,"n. 恶棍
a. 强硬的, 艰苦的, 坚固的, 坚韧的, 粗暴的, 咬不动的"
twist,"n. 一扭, 扭曲, 曲折, 歪曲, 螺旋状, 新手法
vt. 拧, 扭, 捻, 编织, 使扭转, 缠绕, 盘绕, 歪曲, 使转动, 使苦恼, 使混乱, 使旋转
vi. 转向, 弯曲, 缠绕, 扭动, 呈螺旋形"
violence,n. 暴力；侵犯；激烈；歪曲
whirl,"n. 回旋, 旋转, 急走, 眩晕
vt. 使旋转, 使回旋, 卷走
vi. 回旋, 旋转, 急走, 发晕"
