cent,"n.(货币单位)分,分币"
contribute,"v.捐助,捐献,贡献,投稿"
contributor,"n.贡献者,捐助者,投稿者"
distribute,"vt.分发,分配,散布,分布,分类,分区v.分发"
attribute,"n.属性,品质,特征,加于,归结于"
tribute,"n.贡品,礼物,颂词,殷勤,贡物"
retribution,n.报偿
volume,"n.卷,册,体积,量,大量,音量"
evolution,"n.进展,发展,演变,进化"
revolution,"n.革命,旋转"
evolve,"v.(使)发展,(使)进展,(使)进化"
involve,"vt.包括,笼罩,潜心于,使陷于"
evolutionism,n.进化论adj.进化论的
revolt,"v.反抗,起义,反叛,反感,厌恶"
revolve,"v.(使)旋转,考虑,循环出现"
voluble,"adj.爱说话的,有口才的,流利的,健谈的,[罕]易旋转的,缠绕的"
accumulate,"v.积聚,堆积"
cumulate,adj.累积的v.累积
cumulative,adj.累积的
cumuli,"n.堆积,累积"
cumulus,"n.积云,堆积"
attach,"vt.缚上,系上,贴上v.配属,隶属于"
unattached,adj.独立的
attachment,"n.附件,附加装置,配属"
detach,"vt.分开,分离,分遣,派遣(军队)"
tack,"n.大头钉,粗缝,行动方针,食物vt.以大头针钉住,附加vi.抢风航行,作文字形移动"
dominate,"v.支配,占优势"
domestic,"adj.家庭的,国内的,与人共处的,驯服的"
dome,n.圆屋顶
domain,"n.领土,领地,(活动、学问等的)范围,领域"
domicile,"n.住所,住宅v.(使)定居"
satisfy,"vt.满足,使满意,说服,使相信v.满意,确保"
satisfaction,"n.满意,满足,令人满意的事物"
satisfactory,"adj.满意的,赎罪的"
saturate,"v.使饱和,浸透,使充满"
saturation,"n.饱和(状态),浸润,浸透 饱和度"
sate,"vt.使心满意足,过分的给与"
decline,"vi.下倾,下降,下垂v.拒绝,衰落n.下倾,下降,下垂,斜面,斜坡,衰败,衰落"
incline,"n.倾斜,斜坡,斜面vt.使倾向于,使倾斜vi.倾向,倾斜"
disinclined,"adj.不愿的,不想的"
recline,v.放置
inclined, 倾向...的
ornate,"adj.装饰的,华丽的,(文体)绚丽的"
ornament,"n.装饰物,教堂用品vt.装饰,修饰"
adorn,v.装饰
adornment,"n.装饰,装饰品"
suborn,v.唆使
insane,"adj.患精神病的,精神病患者的,极愚蠢的"
sanitary,"adj.(有关)卫生的,(保持)清洁的,清洁卫生的n.(有关生设备的)公共厕所"
sanitation,"n.卫生,卫生设施"
sane,adj.健全的
insanity,"n.精神错乱,疯狂,愚顽"
sanity,n.心智健全
ignite,"v.点火,点燃"
ignition,"n.点火,点燃"
ignitable,"adj.易起火的,可燃性的"
ignitability,n.可燃性
reflect,"v.反射,反映,表现,反省,细想"
flexible,"adj.柔韧性,易曲的,灵活的,柔软的,能变形的,可通融的"
deflect,"v.(使)偏斜,(使)偏转"
inflexible,"adj.不屈的,不屈挠的,顽固的"
genuflect,v.屈服
during," prep.在...的期间,在...的时候"
durable,"adj.持久的,耐用的"
duration,"n.持续时间,为期"
endure,"v.耐久,忍耐"
endurance,"n.忍耐(力),持久(力),耐久(性)"
dour,"adj.不爱讲话的,阴沉的,顽强的,严厉的"
hesitate,"v.犹豫,踌躇,不愿"
hesitation,"n.犹豫,踌躇"
adhere,"vi.粘附,胶着,坚持v.坚持"
cohere,"vi.粘着,凝结,紧凑"
coherent,"adj.粘在一起的,一致的,连贯的"
inherent,"adj.固有的,内在的,与生俱来的"
rejoin,"vt.使再结合,再加入,再回答vi.重新聚集,回答,答辩"
conjunction,"n.联合,关联,连接词"
joint,"n.接缝,接合处,接合点,关节,(牛、羊等的腿)大块肉adj.共同的,联合的,连接的,合办的vt.连接,接合,使有接头vi.贴合,生节"
adjoin,"v.邻接,毗连"
juncture,n.接合点
junction,"n.连接,接合,交叉点,汇合处"
enjoin,"vt.吩咐,命令,嘱咐,<主美>禁止"
rejoinder,n.反驳
plenty,"n.丰富,大量"
complete,"adj.全部的,完全的,完成的vt.完成,使完善"
implement,"n.[常pl.] 工具,器具vt.贯彻,实现v.执行"
supplement,"n.补遗,补充,附录,增刊v.补充"
complement,"n.补足物,[文法]补语,[数]余角vt.补助,补足"
completion,n.完成
replenish,v.补充
plentitude,n.=plenitude
dynasty,"n.朝代,王朝"
dynamo,n.发电机
dynamics,n.动力学
dynamite,"n.炸药,<俚> 能产生不凡效果的人或物vt.炸毁,使失败"
adynamic,adj.衰弱的
feminist,"n.男女平等主义者,女权扩张论者"
feminine,"adj.妇女(似)的,娇柔的,阴性的,女性的"
femininity,"n.妇女特质,柔弱性,温柔"
feminism,n.女权运动
effeminate,"adj.柔弱的,女人气的,娇气的"
virtue,"n.德行,美德,贞操,优点,功效,效力,英勇"
virgin,"n.处女,(晚近用法)处男adj.处女的,童贞的,纯洁的,洁白无瑕疵的,未被玷污的,原始的,处于原耒状态的,未采伐过的森林 美国著名游戏软件公司"
virile,"adj.男性的,男的,有男子气概的,精力充沛的"
virago,n.泼妇
virtuosity,n.艺术鉴别力
alternative,"n.二中择一,可供选择的办法,事物adj.选择性的,二中择一的"
alien,"n.外侨adj.外国的,相异的,不同,背道而驰"
alter,v.改变
alterable,"adj.可变的,可改的"
alteration,"n.变更,改造"
alternate,"adj.交替的,轮流的,预备的v.交替,轮流,改变"
alias,"n.别名,化名"
version,"n.译文,译本,翻译"
anniversary,n.周年纪念
universe,"n.宇宙,世界,万物,领域"
university,n.(综合)大学
diverse,"adj.不同的,变化多的"
diversify,"v.使多样化,作多样性的投资"
converse,"n.相反的事物,倒,逆行adj.相反的,颠倒的vi.谈话,交谈,认识"
reverse,"n.相反,背面,反面,倒退adj.相反的,倒转的,颠倒的vt.颠倒,倒转"
convert,"n.皈依者vt.使转变,转换...,使...改变信仰"
divert,"v.转移,转向,使高兴"
diversion,"n.转移,转换,牵制,解闷,娱乐"
versatile,"adj.通用的,万能的,多才多艺的,多面手的"
verse,"n.韵文,诗,诗节,诗句,诗篇"
adverse,"adj.不利的,敌对的,相反的"
averse,"adj.不愿意的,反对的"
controvert,"vt.议论,辩论vi.参加辩论"
various,"adj.不同的,各种各样的,多方面的,多样的"
variable,"n.[数]变数,可变物,变量adj.可变的,不定的,易变的,[数]变量的"
prevaricate,v.支吾搪塞
variance,"n.不一致,变化,变异,变迁,分歧,不和"
variegate,"vt.使成斑驳,使多样化"
abolish,"vt.废止,废除(法律、制度、习俗等)"
abolishment,"n.废止,革除,取消"
abolisher,n.废除者
abolitionist,"n.废除主义者,废奴主义者"
abolition,"n.废除, 废除奴隶制度"
comprehensive,"adj.全面的,广泛的,能充分理解的,包容的"
apprehend,v.领会理解
misapprehend,"vt.误会,误解"
comprehend,"vt.领会,理解,包括(包含),由...组成"
reprehensible,"adj.应斥责的,应该谴责的"
surprise,"n.惊奇,诧异,惊人之事,奇袭vt.使惊奇,奇袭adj.令人惊讶的"
enterprise,"n.企业,事业,计划,事业心,进取心,干事业"
comprise,"v.包含,由...组成"
imprison,"vt.监禁,关押v.监禁"
apprise,vt.通知
enterprising,"adj.有事业心的,有进取心的,有魄力的,有胆量的,富有进取心"
tractor,n.拖拉机
attractive,"adj.吸引人的,有魅力的"
contract,"n.合同,契约,婚约v.使缩短,感染,订约"
distract,v.转移
abstract,"n.摘要,概要,抽象;adj.抽象的,深奥的,理论的;vt.摘要,提炼,抽象化"
attract,"vt.吸引vi.有吸引力,引起注意"
subtract,"v.(～ from)减去,减"
detract,v.转移
extract,"n.精,汁,榨出物,摘录,选粹vt.拔出,榨取,开方,求根,摘录,析取,吸取"
distracted,adj.心烦意乱的
retract,"v.缩回,缩进,所卷(舌等),收回,取消,撤消"
consumer,n.消费者
consume,"vt.消耗,消费,消灭,大吃大喝,吸引vi.消灭,毁灭"
assume,"vt.假定,设想,采取,呈现"
resume,"n.摘要,概略,<美> 履历vt.再继续,重新开始,重新占用,再用,恢复"
assumption,"n.假定,设想,担任,承当,假装,作态,圣母升天"
reassume,v.再假定
presume,"vt.假定,假设,认为"
sumptuous,"adj.奢侈的,华丽的"
ascent,"n.上升,(地位,声望等的)提高,攀登,上坡路"
ascendant,"n.优势,运星,运道,支配力adj.上升的,优越的"
ascend,"v.攀登,上升"
descent,"n.降下,降落,世系,血统,侵袭"
descendant,"n.子孙,后裔,后代"
transcend,"vt.超越,胜过"
condescend,"vi.谦逊,屈尊"
casual,"adj.偶然的,不经意的,临时的"
incident,"n.事件,事变adj.附带的,易于发生的"
occasion,"n.场合,时机,机会"
decay,"vi.腐朽,腐烂,衰减,衰退n.腐朽,腐烂,衰减,衰退v.衰落"
casualty,n.伤亡
coincide,"vi.一致,符合"
deciduous,"adj.每年落叶的,非永久性的"
error,"n.错误,过失,误差"
erroneous,"adj.错误的,不正确的"
inerrancy,n.无错误
err,"vi.犯错,做错,犯罪,[废]走上歧途"
errant,"adj.周游的,不定的,错误的"
null,"adj.无效力的,无效的,无价值的,等于零的n.零,空,零迅号"
annul,"v.废除,取消,废止"
nullify,v.无效
nullification,"n.无效,废弃,取消,使无价值,使变的无用"
decent,"adj.正派的,端庄的,有分寸的,(服装)得体的,大方的adj.<口>相当好的、象样的"
decency,n.庄重
decorous,adj.有礼貌的
decorously,"adv.有礼貌地,高雅地"
voluntary,"adj.自动的,自愿的,主动的,故意的,非官办的,志愿的,自发的"
volunteer,"n.志愿者,志愿兵adj.志愿的,义务的,无偿的v.自愿"
volition,n.意志
volitive,"adj.意志的,表示意志的"
placid,adj.平静的
complacent,"adj.自满的,得意的"
complacence," n (=complacency)满足,自满,沾沾自喜的"
complacency,"n.满足,安心"
complaisant,"adj.彬彬有礼的,殷勤的,柔顺的"
placate,v.安抚
implacable,"adj.不缓和的,不安静的"
confident,"adj.自信的,确信的"
confidential,"adj.秘密的,机密的"
diffident,
fiduciary,"adj.基于信用的,信托的,受信托的n.被信托者,受托人"
confide,"v.倾诉,委托,信赖"
confidant,"n.心腹朋友,知己"
infidel,"adj.不信宗教的,异端的n.无信仰者,异教徒,异端"
agony,"n.苦恼,极大的痛苦"
agonize,"vt.使极度痛苦,折磨vi.感到极度痛苦"
antagonize,"vt.敌对,对抗"
antagonist,"n.敌手,对手"
diagnose,v.诊断
diagnosis,n.诊断
ignore,"vt.不理睬,忽视,[律](因证据不足而)驳回诉讼"
prognosis,n.预后
prognostic,adj.预兆的n.预兆
agnostic,n.[哲]不可知论者
parliament,"n.国会,议会"
parlor,"n.客厅,会客室,店营业室,业务室adj.客厅的"
parley,n.会谈
parlance,"n.谈话,说法,用法"
dominate,"v.支配,占优势"
dominant,"adj.有统治权的,占优势的,支配的adj.[生物] 显性的"
dominance,"n.优势,统治"
domineer,v.压制
dominion,"n.主权,领土,统治权,支配,控制"
domination,"n.控制,统治,支配"
democracy,"n.民主政治,民主主义"
epidemic,"adj.流行的,传染的,流行性n.时疫,疫疾流行,(风尚等的)流行,流行病"
demography,n.人口统计学
endemic,"n.地方病adj.风土的,地方的"
pandemic,adj.全国流行的
eclipse,"n.食,日蚀,月蚀,蒙蔽,衰落vt.引起日蚀,引起月蚀,超越,使黯然失色"
delinquent,"n.失职者,违法者adj.失职的,有过失的,违法的,拖欠债务的"
delinquency,"n.行为不良,错失"
relinquish,v.放弃
ellipse,"n.[数]椭圆,椭圆形"
refugee,"n.难民,流亡者"
refuge,"n.庇护,避难,避难所"
fugitive,"adj.逃亡的,无常的,易变的n.逃亡者,亡命者,难捕捉之物"
subterfuge,n.托词
lucifugous,"adj.畏光的,怕光的"
institution,"n.公共机构,协会,制度"
constitution,"n.宪法,构造,体质,体格,国体,章程,惯例"
substitute,"n.代用品,代替者,替代品v.代替,替换,替代"
superstition,n.迷信
institute,"n.学会,学院,协会vt.创立,开始,制定,开始(调查),提起(诉讼)"
constitute,"vt.制定(法律),建立(政府),组成,任命"
constituent,"n.选举者,委托人,要素adj.有选举权的,组成的"
restitution,n.归还
superstitious,adj.迷信的
description,"n.描写,记述,形容,种类,描述"
subscribe,"v.捐款,订阅,签署(文件),赞成,预订"
describe,
prescribe,"v.指示,规定,处(方),开(药)"
script,"n.手稿,手迹,剧本,考生的笔试卷,原本"
prescription,"n.指示,规定,命令,处方,药方"
manuscript,"n.手稿,原稿"
ascribe,"vt.归因于,归咎于"
subscriber,"n.订户,签署者,捐献者"
scribble,"n.潦草的写法,潦草写成的东西,杂文v.潦草地写,乱写,滥写"
delusion,n.错觉
illusion,n.幻想
ludic,adj.顽皮的 开玩笑的
allude,"vi.暗指,影射,间接提到"
delude,"vt.迷惑,蛊惑"
elude,v.躲避
elusive,"adj.难懂的,难捉摸的,易忘的"
interlude,"n.两段时期中间之时间,间隔的时间),戏剧或歌剧两幕间,圣诗等两段之间之间歇"
prelude,"n.先驱,前奏,序幕"
verify,"vt.检验,校验,查证,核实 [计] 打开或关闭文件的读写校验"
verdict,"n.[律](陪审团的)裁决,判决,判断,定论,结论"
verisimilar,adj.好象真实的
veracious,"adj.说实话的,诚实的,准确的,真实的"
amateur,"n.业余爱好者,业余艺术家"
amiable,"adj.亲切的,和蔼可亲的"
amour,"n.奸情,恋情"
amicable,"adj.友善的,和平的"
enamored,"adj.倾心的,被迷住的"
autograph,"n.亲笔签名,手稿adj.署名v.署名"
automatic,"n.自动机械adj.自动的,无意识的,机械的"
automobile,"n.<主美>汽车(=<英>motor car,car)"
autism,"n.[心]自我中心主义,孤独症"
autopilot,
autonomy,n.自治
autocrat,n.独裁者
patron,"n.(对某人,某种目标,艺术等)赞助人,资助人"
patriot,n.爱国者
paternal,"adj.父亲的,象父亲的"
paternity,"n.父权,父子关系"
patriotism,"n.爱国心,爱国精神"
patronize,v.资助
repatriate,v.遣返
arrogance,"n.傲慢态度,自大"
abrogate,"vt.废除,取消"
arrogant,"adj.傲慢的,自大的"
derogate,"v.贬损,毁损"
interrogate,"vt.审问,询问v.审问"
arrogate,v.冒称
aspect,"n.样子,外表,面貌,(问题等的)方面"
respect,"n.尊敬,敬重,注意,考虑,尊重,关系,有关,敬意vt.尊敬,尊重,不防碍"
suspect,"n.嫌疑犯adj.令人怀疑的,不可信的,可疑的v.怀疑,猜想,对...有所觉察"
expect,"vt.期待,预期,盼望,指望,<口>(料)想,认为"
inspect,"vt.检查,视察v.检查"
perspective,"n.透视画法,透视图,远景,前途,观点,看法,观点,观察"
prospect,"n.景色,前景,前途,期望vi.寻找,勘探"
spectacular,"adj.引人入胜的,壮观的"
expectation,"n.期待,预料,指望,展望,[数]期望(值)"
inspection,"n.检查,视察"
suspicion,"n.猜疑,怀疑"
speculate,"vi.推测,思索,做投机买卖"
spectacle,"n.观览物,展览物,公开展示,奇观,景象,光景,(a pair of ～s)眼镜"
retrospective,adj.回顾的
despise,vt.轻视
spectator,n.观众(指比赛或表演)
respectable,"adj.可敬的,有名望的,高尚的,值得尊敬的"
suspicious,"adj.(～ of) 可疑的,怀疑的"
respectful,"adj.恭敬的,尊敬的,尊重人的,有礼貌的"
circumspect,"adj.慎重的,周到的"
prospective,adj.预期的
retrospect,n.回顾
conspicuous,adj.显著的
perspicacious,adj.颖悟的
aware,"adj.知道的,明白的,意识到的"
unaware,"adj.不知道的,没觉察到的"
awareness,"n.知道,晓得"
beware,"v.小心,谨防"
wary,adj.机警的
mirror,"n.镜子,真实反映情况的东西,典范vt.反映,映出"
admiration,"n.钦佩,赞美,羡慕"
admire,"v.赞美,钦佩,羡慕"
marvel,"n.奇迹v.大为惊异,觉得惊奇"
miracle,"n.奇迹,奇事"
miraculous,"adj.奇迹的,不可思议的"
mirth,"n.欢笑,高兴"
vision,"n.视力,视觉,先见之明,眼力,想象力,幻想,幻影,景象vt.梦见,想象,显示"
visual,"adj.看的,视觉的,形象的,栩栩如生的"
evident,"adj.明显的,显然的"
evidence,"n.明显,显著,明白,迹象,根据,[物]证据,证物"
provide,"v.供应,供给,准备,预防,规定"
advise,"vt.劝告,忠告,警告,建议"
visible,"adj.看得见的,明显的,显著的n.可见物"
revise,"vt.修订,校订,修正,修改"
divide,"v.分,划分,分开,隔开,"
division,"n.分开,分割,区分,除法,公司,(军事)师,分配,分界线"
devise,"vt.设计,发明,图谋,作出(计划),想出(办法),遗赠给n.遗赠"
individual,"n.个人,个体adj.个别的,单独的,个人的"
visualize,"vt.形象,形象化,想象vi.显现"
revision,"n.修订,修改,修正,修订本"
dividend,"n.被除数,股息,红利,额外津贴,奖金,年息"
supervise,"v.监督,管理,指导"
visionary,"adj.幻影的,幻想的,梦想的n.空想家,梦想者,好幻想的人"
envisage,v.正视
previse,"vt.预知,预先警告"
provident,adj.有远见的
tailor,
detail,"n.细节,详情vt.详述,细说"
curtail,"vt.缩减,减少(经费等),剥夺(某人的)特权(或官衔等),简略"
retail,"n.零售adj.零售的vt.零售,转述vi.零售adv.以零售方式"
entail,"vt.使必需,使蒙受,使承担,遗传给n.[建]限定继承权"
curtailment,"n.缩减,缩短"
integrate,"vt.使成整体,使一体化,求...的积分v.结合"
integral,"adj.完整的,整体的,[数学] 积分的,构成整体所需要的n.[数学] 积分,完整,部分"
integrity,"n.正直,诚实,完整,完全,完整性"
disintegrate,"vt.(使)分解,(使)碎裂"
disintegration,n.瓦解
basis,"n.基础,基本,根据,主要成分(或要素),(认识论中的)基本原则或原理"
basement,"n.地下室,墙脚"
basic,
base,"n.底部,基础,根据地,基地,本部,基数,(运动)出发点vt.以...作基础,基于... adj.卑鄙的,低级的"
abase,v.降低
debase,"vt.贬低,降低"
baseborn,"adj.出身微贱的,庶生的"
primitive,"adj.原始的,远古的,粗糙的,简单的"
prince,n.王子
primary,"adj.第一位的,主要的,初步的,初级的,原来的,根源的"
principal,"n.负责人,首长,校长,主犯,本金adj.主要的,首要的"
principle,"n.法则,原则,原理"
prime,"n.最初,青春,精华adj.主要的,最初的,有青春活力的,最好的,第一流的,根本的,[数]素数的v.预先准备好,<口>让人吃(喝)足,灌注,填装"
prior,"adj.优先的,在前的n.预先adv.在"
priority,"n.先,前,优先,优先权"
procedure,"n.程序,手续"
exceed,"vt.超越,胜过vi.超过其他"
success,"n.成功,成就,胜利,发迹,兴旺"
access,"n.通路,访问,入门vt.存取,接近"
ancestor,"n.祖先,祖宗"
process,"n.过程,作用,方法,程序,步骤,进行,推移vt.加工,处理"
succeed,"vi.(～ in) 成功v.继...之后,继任,继承,取得成功"
recession,"n.撤回,退回,退后,工商业之衰退,不景气"
proceed,"vi.进行,继续下去,发生"
precede,"v.领先(于),在...之前,先于"
precedent,n.先例
unprecedented,adj.空前的
recede,v.后退
recess,"n.(墙壁等的)凹进处,[解]隐窝vt.使凹进vi.休假,休息"
cede,vt.放弃
intercede,v.调解
assistant,"n.助手,助教adj.辅助的,助理的"
exist,"vi.存在,生存,生活,继续存在"
persist,"vi.坚持,持续"
resist,"vt.抵抗,反抗,抗,忍得住"
assist,"v.援助,帮助"
consist,"vi.由...组成,在于,一致"
insist,"v.坚持,强调"
existence,"n.存在,实在,生活,存在物,实在物"
irresistible,"adj.不可抵抗的,不能压制的"
subsist,"v.生存,存在,供养"
desist,v.终止
station,"n.位置,岗位,地位,身份,...局,...站vt.驻扎,配置"
stable,adj.稳定的
circumstance,"n.环境,详情,境况"
instant,"adj.立即的,直接的,紧迫的,刻不容缓的,(食品)速溶的,方便的,即时的"
constant,"n.[数、物]常数,恒量adj.不变的,持续的,坚决的"
distant,"adj.远的,关系远的(亲戚),疏远的,间隔的,冷漠的"
status,"n.身份,地位,情形,状况"
substance,"n.物质,实质,主旨,物质,物"
substantial,"adj.坚固的,实质的,真实的,充实的"
obstacle,"n.障碍,妨害物"
estate,"n.状态,不动产,时期,阶层,财产"
withstand,"vt.抵挡,经受住"
stabilize,v.稳定
static,"adj.静态的,静力的 静电噪声"
stability,n.稳定性
stationery,"n.文具,信纸"
stationary, 固定的
apostasy,"n.变节,背教,脱党"
steadfast,adj.坚定的
substantiate,"vt.使实体化,证实"
adventure,"n.冒险,冒险的经历v.冒险"
eventful,"adj.变故多的,重要的,多事的,多事的,充满大事的"
eventual,"adj.<古>可能的,最后的,结局的,万一的,终于的,"
invent,"vt.发明,创造v.发明"
avenue,"n.林荫道,大街,方法,途径,路"
convenience,"n.便利,方便,有益,有用的,方便的用具、机械、安排等"
prevent,"v.防止,预防"
event,"n.事件,事变,结果,活动,精力,竞赛"
revenue,"n.收入,国家的收入,税收"
venture,"n.冒险,投机,风险v.冒险,冒昧,斗胆,胆敢(谦语)"
convention,"n.大会,协定,习俗,惯例"
intervene,"vi.干涉,干预,插入,介入,(指时间)介于其间v.干涉"
advent,"n.(尤指不寻常的人或事)出现,到来 (Advent)n. 基督降临 2降临节"
inventory,"n.详细目录,存货,财产清册,总量"
contravene,v.违反 抵触
convene,"v.召集,集合"
captain,"n.队长,首领,船长,机长,(空军,海军)上校,(陆军)上尉v.指挥,统帅"
accept,"vt.接受,认可,承担,承兑vi.同意,承认"
except,"vt.除,把...除外,反对,不计vi.反对 prep.除了...之外,若不是,除非 conj.只是,要不是"
receive,"vt.收到,接到,接收,遭到,受到,接待,接见"
occupy,"vt.占,占用,占领,占据"
occupation,"n.职业,占有,占有(房屋等)期间"
deceive,"v.欺骗,行骗"
perceive,"vt.察觉v.感知,感到,认识到"
anticipate,"vt.预期,期望,过早使用,先人一着,占先v.预订,预见,可以预料"
capacity,"n.容量,生产量,容量,智能,才能,能力,接受力,地位"
capture,"n.捕获,战利品vt.俘获,捕获,夺取"
caption,"n.标题,说明,字幕vt.加上标题,加上说明"
conception,"n.观念,概念"
conceive,"vt.构思,以为,持有vi.怀孕,考虑,设想"
deceptive,adj.欺骗性的
captious,"adj.吹毛求疵的,挑剔的"
inception,"n.起初,获得学位"
conference,"n.会议,讨论会,协商会"
ferry,"n.摆渡,渡船,渡口vt.渡运,(乘渡船)渡过,运送vi.摆渡,(船)来往行驶"
offer,"n.出价,提议,意图vt.提供,出价,贡献,使出现,企图,演出vi.(机会、时机等)出现,献祭,提议"
differ,"vi.不一致,不同"
prefer,"vt.更喜欢,宁愿"
refer,"vt.提交,谈及,归诸于,指点把...提交,使求助于vi.提到,涉及,查阅,咨询"
reference,"n.提及,涉及,参考,参考书目,证明书(人),介绍信(人)"
suffer,"vt.遭受,经历,忍受vi.受痛苦,受损害"
defer,"vi.推迟,延期,听从,服从vt.使推迟,使延期"
infer,v.推断
transfer,"n.迁移,移动,传递,转移,调任,转帐,过户,转让vt.转移,调转,调任,传递,转让,改变vi.转移,转学,换车"
confer,"vt.授予(称号、学位等),赠与,把...赠与,协议v.协商,交换意见"
referee,"n.仲裁人,调解人,[体]裁判员v.仲裁,裁判"
inferential,adj.推论性的
fertile,"adj.肥沃的,富饶的,能繁殖的"
conferment,"n.给予,商量,授予"
gesture,"n.姿态,手势,表示v.作手势,以手势表示"
registration,"n.注册,报到,登记"
digest,"n.分类,摘要vi.消化vt.消化,融会贯通"
suggest,"vt.建议,提出,使想起,暗示"
register,"n.记录,登记簿,登记,注册,寄存器vt.记录,登记,注册,提示,把...挂号vi.登记,注册,挂号"
congest,"vt.使充满,使拥塞,[医]使充血vt.充塞,充血,拥挤"
indigestion,n.消化不良
digestion,"n.消化力,领悟"
porter,"n.守门人,门房,行李搬运工"
transport,"n.传送器,运输,运输机,激动,流放犯,狂喜vt.传送,运输,流放,放逐"
portable,"adj.轻便的,手提(式)的,便携式的"
export,"vt.输出n.出口货,输出,出口,出口商品v.出口"
import,"n.进口货(常用复数),进口,输入,意思,重要性vt.输入,进口,含...的意思,重要,引入vi.有关系,有重要性"
support,"vt.支撑,扶持,支持,支援,拥护,维持,赡养,忍受n.支撑,支持,支援,维持,赡养,支持者,支柱"
deport,"vt.举止,驱逐"
portage,"n.水陆联运,搬运v.水陆联运"
attain,"vt.达到,获得v.达到"
contain,"vt.包含,容纳,容忍vi.自制v.[军]牵制(敌军)v.[数]可被...除尽"
retain,"vt.保持,保留"
sustain,"vt.支撑,撑住,维持,持续"
continue,"v.继续,连续,延伸"
maintain,"vt.维持,维修,继续,供养,主张"
pertain,"v.适合,属于"
entertain,"vt.娱乐,招待,接受,怀抱vi.款待"
container,"n.容器(箱,盆,罐,壶,桶,坛子),集装箱"
continuous,"adj.连续的,持续的"
detain,"v.拘留,留住,阻止"
discontent,n.不满
maintenance,"n.维护,保持,生活费用,扶养"
tenant,"n.承租人,房客,租客v.出租"
attainable,"adj.可到达的,可得到的"
tenable,adj.可维持的
attainment,n.达到
legal,"adj.法律的,法定的,合法"
illegal,"adj.违法的,不合规定的"
delegate,n.代表vt.委派...为代表
legality,"n.合法,墨守陈规,法律上的义务"
relegate,"v.转移,归入,提交"
legislate,vi.制定法律vt.通过立法
norm,"n.标准,规范"
normal,"n.正规,常态,[数学]法线adj.正常的,正规的,标准的"
enormous,"adj.巨大的,庞大的,<古>极恶的,凶暴的"
enormity,"n.暴行,巨大,极恶"
transnormal,"adj.超出常规的,超乎一般的"
social,"adj.社会的,爱交际的,社交的,群居的"
society,"n.社会,...会,...社,友伴,交际,社交界,上流社会"
associate,"vt.使发生联系,使联合vi.交往,结交n.合作人,同事adj.副的"
socialism,"n.社会主义,社会主义运动"
sociable,"adj.好交际的,友善的,增进友谊的,喜欢群居的"
consociate,"v.(使)结合,(使)联盟"
dissociate,"v.分离,游离,分裂"
structure,"n.结构,构造,建筑物vt.建筑,构成,组织"
construction,"n.建筑,建筑物,解释,造句"
instruct,"vt.教,教导,命令,指示,通知"
instruction,"n.指示,用法说明(书),教育,指导,指令"
construct,"vt.建造,构造,创立"
destruction,"n.破坏,毁灭"
destructive,adj.破坏(性)的
obstruct,"v.阻隔,阻塞,遮断(道路、通道等)n.阻碍物,障碍物"
instructor,"n.教师,<美>讲师"
reconstruct,"v.重建,改造,推想"
destructible,"adj.可破坏的,易毁坏的"
ban,"n.禁令vt.禁止,取缔(书刊等)"
abandon,"vt.放弃,遗弃;n.放任,狂热"
banish,"vt.流放,驱逐,消除"
banal,"adj.平凡的,陈腐的,老一套的"
banister,"n.栏杆的支柱,楼梯的扶栏"
command,"n.命令,掌握,司令部v.命令,指挥,克制,支配,博得,俯临"
demand,"n.要求,需求(量),需要v.要求,需要,要求知道,查询"
countermand,"vt.取消,撤消,下反对命令召回n.反对命令,取消"
remand,"n.送还,还押vt.归还,还押"
liberation,"n.释放,解放"
liberty,"n.自由,特权,随意,冒失,冒昧,失礼"
liberal,"n.自由主义者,(尤指英国、加拿大等国的)adj.慷慨的,不拘泥的,宽大的,自由主义的"
liberate,"v.解放,释放"
illiberal,"adj.狭碍的,偏执的,吝啬的,缺乏文化素养的,粗鄙的"
defense,
defend,"vt.防护,辩护,防卫,[律]作...的辩护律师"
offend,"v.犯罪,冒犯,违反,得罪,使...不愉快"
offender,"n.罪犯,冒犯者"
offensive,"adj.讨厌的,无礼的,攻击性的n.进攻,攻势"
defenseless,adj.无防备的
fend,"vt.保护,谋生,供养,挡开vi.<英>努力,力争,供养,照料"
level,"n.水平,水平面,水准,标准,级别adj.同高的,平坦的,齐平的,水平的vt.使...水平,夷平,使同等,瞄准,对准vi.变平,拉平"
elevator,"n.电梯,升降机,[空]升降舵"
relevant,"adj.有关的,相应的"
lever,"n.杆,杠杆,控制杆v.抬起"
elevate,"vt.举起,提拔,振奋,提升...的职位"
levy,"n.征收,征税,征兵v.征收,征集,征用"
irrelevant,"adj.不相关的adj.不相关的,不切题的"
relief,"n.(痛苦等的)减轻,(债务等的)免除,救济,调剂,安慰,浮雕,地貌"
relieve,"vt.减轻,解除,援救,救济,换班"
alleviate,"vt.使(痛苦等)易于忍受,减轻"
orient,"n.东方,东方诸国(指地中海以东各国)adj.东方的,上升的,灿烂的vi.适应形势,向东vt.使朝东,使适应,确定方向"
origin,"n.起源,由来,起因,出身,血统,[数]原点"
original,"adj.最初的,原始的,独创的,新颖的n.原物,原作"
originate,"vt.引起,发明,发起,创办vi.起源,发生"
orientation,"n.方向,方位,定位,倾向性,向东方"
