define,"vt.定义,详细说明"
greeting,"n.祝贺,问候"
grief,"n.悲痛,伤心事,不幸,忧伤"
grim,adj.严酷的
grin,"n.露齿笑,裂口笑v.露齿而笑"
grind,"v.磨(碎),碾(碎),折磨"
grocer,"n.食品商,杂货店"
grope,v.n.摸索
guest,"n.客人,来宾,旅客vt.招待,款待vi.作客,寄宿"
guild,"n.(中世纪的)行会,同业公会,协会,行业协会"
guilt,"n.罪行,内疚"
gum,"n.齿龈,树脂,橡胶,橡胶树,口香糖,香口胶,泡泡糖"
gut,"n.[复]内脏,(幽门到直肠间的)肠子,勇气,剧情,内容,肚子,内脏,海峡vt.取出内脏,摧毁(房屋等的)内部装置"
habitat,"n.(动植物的)生活环境,产地、栖息地,居留地,自生地,聚集处"
hail,"n.冰雹,致敬,招呼,一阵vt.向...欢呼,致敬,招呼,使象下雹样落下,猛发vi.招呼,下雹int.万岁,欢迎"
halt,"n.停止,暂停,中断vt.使停止,使立定vi.立定,停止,踌躇,有缺点"
ham,"n.火腿,大腿的后部,大腿及臀部,笨拙的演员adj.过火的,做作的v.演得过火"
hammer,"n.铁锤,槌,锤子v.锤击,锤打"
handbook,"n.手册,便览"
handkerchief,n.手帕
handy,"adj.手边的,就近的,唾手可得的,便利的,敏捷的,容易取得的"
hang,"n.悬挂的方式,(动作的)暂停,中止vt.悬挂,附着,装饰,绞死,踌躇,使悬而未决,垂下vi.悬着,垂下,被绞死,悬而不决"
harassment,n.折磨
harbour,n.(=harbor) 海港
hardware,"n.五金器具,(电脑的)硬件,(电子仪器的)部件"
harvest,"n.收获,收成,结果,成果v.收获,收割"
hasty,"adj.匆忙的,草率的"
hatch,"n.孵化,舱口,舱口盖,(门、墙壁、地板上的)开口vt.孵,孵出,策划,图谋vi.孵化"
hatred,"n.憎恨,乱意,仇恨"
haul,"n.用力拖拉,拖,拉,捕获物,努力得到的结果,(尤指)一网捕获的鱼量,拖运距离vi.拖,拉,改变方向,改变主意vt.拖拉,拖运"
hay,
hazard,"n.冒险,危险,冒险的事vt.冒...的危险,赌运气,使遭危险"
headmaster,"n.英国中小学校长,男舍监"
headquarters,"n.司令部,指挥部,总部"
heap,"n.堆,大量,许多vt.堆,堆起v.堆积"
heat,
heave,v.举起n.举起
heel,"n.脚后跟,踵,跟部"
heir,"n.继承人,后嗣"
hell,"n.地狱,苦境,阴间,地狱中的人,训斥vi.狂饮,飞驰int.该死!"
henceforth,"adv.自此以后,今后"
herald,"n.使者,传令官,通报者,先驱,预兆vt.预报,宣布,传达,欢呼"
herb,"n.药草,香草"
heroic,"adj.英雄的,英勇的"
heroine,"n.女英雄,女主人公"
hierarchy,n.层次 层级
highland,"n.高地,丘陵地带"
hike,"v.远足,飞起,步行n.远足,增加"
hinge,"n.(门、盖等的)铰链,枢纽,关键vt.装铰链v.装以绞链,依...而转移"
hoist,"n.提升间,升起"
hollow,"n.洞,窟窿,山谷adj.空的,虚伪的,空腹的,凹的adv.<口>彻底vi.形成空洞vt.挖空,弄凹"
homogeneous,"adj.同类的,相似的,均一的,均匀的"
honorable,"adj.可敬的,荣誉的,光荣的"
hop,"v.单脚跳,(鸟,蛙等)跳跃n.蛇麻草"
horizontal,"adj.地平线的,水平的"
horn,"n.(牛、羊等的)角,喇叭,触角v.装角"
horrible,"adj.可怕的,恐怖的,讨厌的"
horsepower,n.马力
hose,"n.软管,水龙带,长筒袜v.用软管浇水"
hostess,"n.女主人,女房东,女老板,女服务员,舞女"
hound,"n.猎犬vt.带猎犬狩猎,卑鄙的人,追捕,激励,使追逐"
hover,v.盘旋
howl,"v.嚎叫,怒吼,嚎啕大哭,喝住,号叫n.嚎叫,怒号,嚎哭"
huddle,"v.拥挤,卷缩,草率从事,挤作一团n.杂乱的一堆,拥挤"
humid,"adj.充满潮湿的,湿润的,多湿气的"
humidity,"n.湿气,潮湿,湿度<美>沼泽中的肥沃高地"
hurl,"n.<俚>[棒球]用力或猛烈的投掷vt.用力投掷,愤慨地说出,丢下,推翻vi.猛投,猛掷"
hurricane,"n.飓风,狂风"
hut,"n.小屋,棚屋"
hydrogen,n.氢
hygiene,"n.卫生,卫生学"
hysterical," a歇斯底里的,异常兴奋的"
identification, /n.身份证
idiot,"n.白痴,愚人,傻瓜"
ignite,"v.点火,点燃"
imaginary,"adj.假想的,想象的,虚构的"
impart,"vt.给予(尤指抽象事物),传授,告知,透露"
imperial,adj.皇帝的
inaugurate,"vt.举行就职典礼,创新,开辟,举行开幕(落成、成立)典礼."
indication,"n.指出,指示,迹象,暗示"
inertia,"n.惯性,惯量"
infect,"vt.[医] 传染,感染"
infectious,"adj.有传染性的,易传染的,有感染力的"
infinite,"n.无限的东西(如空间、时间),[数]无穷大adj.无穷的,无限的,无数的,极大的"
infrared,adj.红外线的n.红外线
ingenious,"adj.机灵的,有独创性的,精制的,具有创造才能"
inhabit,"vt.居住于,存在于,占据,栖息"
inhibit," 抑制,约束,[化][医]抑制"
injure,"vt.损害,伤害v.伤害"
inland,"adj.内陆的,国内的adv.在内地,向内地n.内地"
inlet,"n.进口,入口,水湾,小港,插入物"
inn,"n.(尤指乡村或公路边的) 旅馆,客栈vi.住旅馆"
innumerable,"adj.无数的,数不清的"
insert,"vt.插入,嵌入n.插入物"
inspect,"vt.检查,视察v.检查"
inspiration,n.灵感
install,"vt.安装,安置,使就职"
installation,"n.[计]安装,装置,就职"
instantaneous,"adj.瞬间的,即刻的,即时的"
insulate,"vt.使绝缘,隔离"
intact,"adj.完整无缺的,尚未被人碰过的,(女子)保持童贞的,(家畜)未经阉割的"
integral,"adj.完整的,整体的,[数学] 积分的,构成整体所需要的n.[数学] 积分,完整,部分"
intelligible,adj.可理解的
intensive,"adj.强烈的,精深的,透彻的,[语法]加强语气的n.加强器"
intercourse,"n.交往,交流"
interface,"n.[地质]分界面,接触面,[物、化]界面"
interim,"adj.中间的,临时的,间歇的n.中间时期,过渡时期,暂定"
intermediate,adj.中间的n.媒介
intermittent,"adj.间歇的,断断续续的"
interrupt,"vt.打断(正在说话或动作的人),中断,妨碍,插嘴vi.打断(别人的讲话或行动)n.(发给电脑的)中断信号"
intersection,"n.[数]交集,十字路口,交叉点"
interval,"n.间隔,距离,幕间休息n.时间间隔"
intervene,"vi.干涉,干预,插入,介入,(指时间)介于其间v.干涉"
intimidate,v.胁迫
intrigue,"n.阴谋,诡计vi.密谋,私通vt.激起...的兴趣,用诡计取得"
intuition,"n.直觉,直觉的知识"
invade,"vt.侵略,侵袭,拥挤"
invaluable,"adj.无价的,价值无法衡量的"
invariable,"n.不变的,永恒的adj.[数]不变的,不变量"
inverse,"adj.倒转的,反转的n.反面v.倒转"
inward,"adv.向内,在内adj.向内的,内在的"
irrespective,"adj.不顾的,不考虑的,无关的"
irrigate,"vt.灌溉,修水利,冲洗伤口,使潮湿vi.进行灌溉"
isle,"n.小岛,岛vt.使成为岛屿vi.住在岛屿上"
ivory,n.象牙
jail,n.监狱vt.监禁
jam,"n.果酱,拥挤,堵塞,困境vt.挤进,使塞满,混杂,压碎,使堵塞vi.堵塞,轧住,拥挤"
jar,"n.震动,刺耳声,震惊,争吵,罐,广口瓶vi.震惊,冲突,发刺耳声,不一致vt.震动,刺激"
jargon,n.行话
jet,"n.喷射,黑玉v.喷射adj.黑玉色的,墨黑的 喷气机"
jewel,n.宝石
jewelry,"n.珠宝,珠宝类"
jog,"n.轻推,轻撞,漫步v.轻推,(使)蹒跚行进,(使)慢跑"
jolly,"adj.欢乐的,高兴的,快活的"
judicial,"adj.司法的,法院的,公正的,明断的"
jug,"n.水壶,监牢,[象声]模仿夜莺的叫声vt.放入壶中,炖,关押vi.模仿夜莺叫"
junction,"n.连接,接合,交叉点,汇合处"
jungle,"n.丛林,生死关头"
kettle,"n.壶,罐,釜,鼓"
kidnap,"vt.诱拐(小孩),绑架,勒赎"
kidney,"n.肾,(动物可食用的)腰子,个性,性格"
kindergarten,"n.幼儿园adj.幼儿园的,初级的,启蒙阶段的"
kneel,vi.跪下
knob,"n.(门,抽屉等的)球形捏手,节,瘤,旋钮,球形突出物,(煤,砂糖等的)小块vt.使有球形突出物vi.鼓起"
lace,"n.饰带,花边,缎带,鞋带vt.扎带子,扎,饰以花边vi.缚带子"
lad,"n.少年,青年男子,<口>伙计,家伙(呢称)"
lamb,"n.小羊,羔羊v.生小羊"
landlady,"n.女房东,女地主,(旅馆等的)老板娘"
landlord,"n.房东,地主,(旅馆等的)老板"
lantern,"n.灯笼,提灯,幻灯,信号,天窗"
lap,"n.(坐时的)大腿前部,膝盖,舔声,(水)溅泼声,重叠的部分,(跑道的)一圈,衣兜,下摆vi.重叠,围住,轻拍,舔vt.包围,抱...在膝上,使重叠,舔食,泼溅,拍打"
lapse,"n.失误,下降,流逝,丧失,过失v.失检,背离,堕入,流逝,失效,下降"
laser,"n.激光;Light amplification by stimulated emission of radiation,激光器,应用量子效应产生相干光束的设备。"
lash,"n.鞭子,鞭打,睫毛,责骂,讽刺vt.鞭打,摆动,扎捆,冲击,煽动,讽刺vi.猛击,急速甩动"
latent,"adj.潜在的,潜伏的,隐藏的n.隐约的指印"
latitude,"n.纬度,范围,(用复数)地区,行动或言论的自由(范围)"
laundry,"n.洗衣店,要洗的衣服,洗熨"
lavatory,"n.厕所,<主英>抽水马桶,<美>洗脸盆,浴室"
lawn,"n.草地,草坪,(均匀生长于固体培养基的)菌苔"
layman,n.外行
layoff,"n.临时解雇,操作停止,活动停止期间,失业期"
leaflet,"n.小叶,传单"
lease,"n.租借,租约,租赁物,租期,延续的一段时间vt.出租,租出,租得"
leather,"n.皮革,皮革制品"
legend,"n.传说,伟人传,图例 联想集团,中国最大的国有品牌微机制造商之一"
lens,"n.透镜,镜头"
lever,"n.杆,杠杆,控制杆v.抬起"
lick,"n.舔,少许,打vt.舔,卷过,鞭打,克服,征服vi.轻轻拍打"
lid,"n.盖子,<美口>限制,眼睑vt.给...盖盖子"
lightning,"n.闪电 (""闪电"") 英国第一种超音速喷气式战斗机,英60年代的主力机种。"
limp,"adj.柔软的,易曲的vi.跛行"
linear,"adj.线的,直线的,线性的"
linen,"n.亚麻布,亚麻制品,亚麻纤维制成的优质纸adj.亚麻布制的,亚麻的"
liner,"n.<美>班机,划线者,衬垫"
linger,"v.逗留,闲荡,拖延,游移"
liquid,"n.液体,流体,流音adj.液体的,清澈的,透明的,明亮的,流动的,易变的,(财务)易变卖的"
liquor,"n.液体,汁,酒精饮料,[药]溶液vt.浸水vi.喝酒"
liter,n.公升
liver,"n.居住者,生活优裕的人,肝脏"
load,"n.负荷,重担,装载量,工作量,负载,加载vt.装载,装填,使担负vi.装货,装弹药,装料"
loaf,"n.一条面包,块,游荡v.游荡,虚度光阴"
locality,"n.位置,地点"
locker,"n.上锁的人,有锁的橱柜,锁扣装置,有锁的存物柜"
locomotive,"n.机车,火车头adj.运动的"
lodge,"n.门房,(猎人住的)山林小屋,(游览区的)旅馆,(地方社团的)集会处vi.临时住宿,寄宿(某人家)vt.容纳,寄存,把...射入,存放,(向有关当局)提出(声明)"
lofty,"adj.高高的,崇高的,高傲的,高级的"
log,"n.航行日志,原木,园形木材,园木v.把...记入航行日志,伐木,把...锯成段"
longitude,"n.经度,经线"
loop,"n.环,线(绳)圈,弯曲部分,回路,回线,(铁路)让车道,(飞机)翻圈飞行vt.使成环,以圈结,以环连结vi.打环,翻筋斗n.循环"
loose,"n.解放,放任,放纵adj.宽松的,不精确的,不牢固的,散漫的,自由的vt.释放,放枪,开船vi.变松,开火adv.松散地"
loosen,"v.解开,放松,松开"
lorry,"n.<古>卡车,铁路货车"
loudspeaker,"n.扩音器,喇叭"
lubricate,vt.润滑v.加润滑油
lung,"n.肺,呼吸器,肺脏"
lyric,"n.抒情诗,歌词adj.(供)吟唱的,抒情的"
madame,"n.<法>太太,夫人"
magistrate,"n.文职官员,地方官员"
magnet,"n.磁体,磁铁"
magnetic,"adj.磁的,有磁性的,有吸引力的"
maiden,"n.少女,处女adj.未婚的,纯洁的,处女的,无经验的"
mainland,n.大陆
majesty,"n.最高权威,王权,雄伟"
malignant,adj.恶性的
maneuver,v.机动n.机动
marathon,"n.[体]马拉松赛跑(全长42,1954米),耐力的考验"
marble,"n.大理石,(玩具)弹球.石弹子,雕刻品;adj.大理石的,冷酷无情的,坚硬的"
march,"n.行军,步伐,进行曲vi.进军,前进vt.使行军,使行进n.(March)三月(略作Mar)"
marginal,"adj.记在页边的,边缘的,边际的"
marital,adj.婚姻的
marvelous,"adj.引起惊异的,不可思议的,非凡的"
Marxist,
masculine,"adj.男性的,男子气概的,[语法] 阳性的n.男子,男孩"
mat,"n.席子,垫子v.铺席子"
mayor,n.市长
mechanic,"n.技工,机修工,机械士"
medal,"n.奖章,勋章,纪念章v.授予...奖章"
meditate,"v.想,考虑,(尤指宗教上的)沉思,冥想"
meditation,"n.沉思,冥想"
melody,n.悦耳的音调
melon,n.(各种的)瓜
melt,"v.(使)融化,(使)熔化,使软化,使感动"
memo,n.备忘录
memorandum,"n.备忘录,便笺,便函,买卖契约书"
menace,"n.威胁,危险物v.恐吓,危及,威胁"
merchandise,"n.商品,货物"
merchant,"n.商人,批发商,贸易商,店主adj.商业的,商人的"
mercury,"n.水银,汞,[罗神]墨丘利神(众神的信使)"
merry,"adj.欢乐的,愉快的"
mess,"n.混乱,脏乱v.弄乱"
metaphor,"n.[修辞]隐喻,暗喻,比喻说话"
metric,"adj.米制的,公制的"
microphone,"n.扩音器,麦克风"
mild,"adj.温和的,温柔的,淡味的,轻微的,适度的,不含有害物质的的"
militant,"adj.好战的,积极从事或支持使用武力的"
mill,"n.压榨机,磨坊,磨粉机,工厂,制造厂vt.碾磨,磨细,搅拌,使乱转,打vi.乱转,被碾磨"
millionaire,"n.百万富翁,大富豪"
mine,"n.矿,矿山,矿井,源泉,宝库,地雷,水雷vt.挖掘,开采,在...布雷,破坏vi.开矿,埋设地雷 pron.我的"
mineral,"n.矿物,矿石"
mingle,v.(使)混合
miniature,"n.缩小的模型,缩图,缩影adj.微型的,缩小的"
ministry,n.(政府的)部门
minus,"adj.负的,减的 prep.减去n.负数"
miracle,"n.奇迹,奇事"
mischief,"n.伤害,危害,故障,恶作剧,淘气,调皮的人,损害"
missile,"n.导弹,发射物"
missionary,"adj.传教的,传教士的n.传教士"
mist,n.薄雾
mistress,"n.主妇,女主人,女能人,情妇"
mob,"n.(集合词)暴徒,乌合之众,(盗贼等的)一群v.成群暴动,聚众滋扰"
module,"n.模数,模块,登月舱,指令舱"
moist,adj.潮湿的n.潮湿
moisture,"n.潮湿,湿气"
molecule,"n.[化]分子,些微"
momentum,"n.动力,要素"
monument,n.纪念碑
mortal,"n.凡人,人类adj.必死的,致命的,人类的,临终的adj.<口>极端的,非常大(长)的"
mortgage,n.抵押v.抵押
motel,n.汽车旅馆
mould,"n.[亦作mold] 肥土,壤土,[亦作mold] 霉,模具v.用土覆盖,发霉,铸造"
mourn,"v.哀悼,忧伤,服丧"
mud,
mug,
multitude,"n.多数,群众"
municipal,"adj.市政的,市立的,地方性的,地方自治的"
murder,"n.谋杀,凶杀vt.谋杀,凶杀v.谋杀"
murmur,"n.低沉连续的声音,咕哝,怨言,低语v.发低沉连续的声音,发怨言,低声说,低语"
mushroom,"n.蘑菇,<古>暴发户vi.迅速生长,迅速增加,采蘑菇adj.蘑菇形的,迅速生长的"
mute,"n.哑巴,哑音字母,[律]拒不答辩的被告,弱音器adj.哑的,无声的,沉默的vt.减弱...的声音vi.排泄"
mutter,"n.咕哝,嘀咕v.咕哝,嘀咕"
mutton,"n.羊肉,<谑>绵羊,<俚>女性生殖器,性交"
naked,"adj.裸体的,无遮盖的,无装饰的,无保护的,[律]无证据的,未证实的"
nap,"n.(白天)小睡,打盹,细毛,孤注一掷;vi.小睡,疏忽;vt.使拉毛,修整,预测...为获胜马;Nationa Attachment Point,国家附属站点"
napkin,"n.餐巾,餐巾纸,<英>尿布,<美>月经带"
nationality,"n.国籍,国家,部落,民族,民族性"
naughty,"adj.顽皮的,淘气的,不听话的,没规矩的,不适当的,下流的"
neat,"adj.整洁的,灵巧的,优雅的,(酒)纯的,未搀水的"
needle,n.针
Negro,
neighbourhood,n.邻居关系(美作:neighborhood)
nephew,"n.侄子,外甥"
neutral,"n.中立者,中立国,非彩色,齿轮的空档adj.中立的,中立国的,中性的,无确定性质的,(颜色等)不确定的"
neutron,n.中子
nickel,"n.[化]镍,镍币,(美国和加拿大的)五分镍币vt.镀镍于"
nickname,"n.诨号,绰号,昵称vt.给...取绰号,给...起浑名"
niece,"n.侄女,甥女"
nitrogen,n.[化]氮
nominal,"adj.名义上的,有名无实的,名字的,[语]名词性的n.名词性词"
nominate,"vt.提名,推荐,任命,命名"
normalization,"n.正常化,标准化"
nostalgic,"adj.乡愁的,怀旧的"
notable,"adj.值得注意的,显著的,著名的"
notify,v.通报
notwithstanding," prep.虽然,尽管adv.尽管,还是 conj.虽然,尽管"
noun,n.名词
nourish,"vt.滋养,使健壮,怀有(希望,仇恨等)"
nuisance,"n.讨厌的人或东西,麻烦事,损害"
numb,adj.麻木的v.失去知觉
nursery,n.托儿所
nylon,n.尼龙
oak,"n.[植]橡树,橡木adj.橡木制的"
oar,"n.桨,橹"
oath,"n.誓言,宣誓,诅咒"
obedience,"n.服众,顺从"
obedient,"adj.服从的,孝顺的"
obesity,"n.肥胖,肥大"
obey,"v.服从,顺从"
obsolete,"adj.荒废的,陈旧的n.废词,陈腐的人"
obstruct,"v.阻隔,阻塞,遮断(道路、通道等)n.阻碍物,障碍物"
obstruction,"n.阻塞,妨碍,障碍物"
occasional,"adj.偶然的,非经常的,特殊场合的,临时的"
odor,"n.气味,名声"
omit,"vt.省略,疏忽,遗漏"
opaque,"n.不透明物adj.不透明的,不传热的,迟钝的"
oppress,"vt.压迫,压抑"
opt,vi.选择
optical,"adj.眼的,视力的,光学的"
optimum,n.最适宜adj.最适宜的
orbit,"n.轨道,势力范围,生活常规,眼眶vt.绕...轨道而行vi.进入轨道,沿轨道飞行,盘旋"
orchard,"n.果园,果园里的全部果树,<美俚>棒球场"
ore,"n.矿石,含有金属的岩石"
orientation,"n.方向,方位,定位,倾向性,向东方"
orthodox,"adj.正统的,传统的,习惯的,保守的,东正教的"
ounce,"n.盎司,少量,[动]雪豹"
outbreak,"n.(战争的)爆发,(疾病的)发作"
outfit,"n.用具,配备,机构,全套装配,vt.配备,装备vi.得到装备"
outing,"n.外出,旅行,散步"
outset,"n.开端,开始"
outskirts,"n.边界,(尤指)市郊"
oval,"adj.卵形的,椭圆的n.卵形,椭圆形"
oven,"n.烤箱,烤炉,灶"
overcoat,n.外套大衣
overflow,"n.溢出,超值,泛滥,充满,洋溢v.(使)泛滥,(使)溢出,(使)充溢"
overhaul,v.检查
overhear,"vt.无意中听到,偷听"
overpass,"n.<美>天桥,陆桥vt.胜过,通过,忽视"
overtake,"vt.赶上,追上,(暴风雨、麻烦等)突然来袭,压倒"
overthrow,"n.推翻,打倒,扔得过远得球vt.打倒,推翻,颠覆"
overtime,"n.超时,加班,延长时间adj.超时的,加班的adv.加班地vt.使超时"
overwhelm,"vt.淹没,覆没,受打击,制服,压倒"
owing,"adj.(～ to) 由于,该付的,未付的,应归功于"
owl,"n.[动]猫头鹰,枭,惯于晚上活动的人 Object Window Library,Borland C++ 的类库"
ox,"n.牛,公牛"
oxide,n.[化]氧化物
pact,"n.合同,公约,协定"
pad,"n.垫,衬垫,便笺簿v.加上衬垫"
paddle,"n.短桨,划桨,明轮翼vi.划桨,戏水,涉水vt.用桨划,搅,拌"
pail,"n.桶,提桶"
pale,"n.栅栏,界线,范围,(围篱用的)尖板条adj.苍白的,暗淡的,无力的vi.变苍白,失色vt.使变苍白,使失色,用栅栏围"
pan,"n.平底锅,盘子,面板 Pan <希神>潘(半人半羊的山林和畜牧之神)"
pant,v.气喘n.气喘
pants,"n.裤子,短裤"
paperback,"n.平装本,纸面本"
paradise,n.天堂
paralyze,"vt.使瘫痪,使麻痹"
parameter,"n.参数,参量,<口>起限定作用的因素"
parasite,"n.寄生虫,食客"
pardon,"vt.原谅,宽恕n.原谅,宽恕"
passerby,"n.过路人,行人"
paste,"n.糊,面团,黏土团vt.用浆糊粘,张贴n.粘贴"
pasture,"n.牧地,草原,牧场v.放牧,牧(牛、羊)等,吃草"
pat,"n.轻拍,(黄油)小块v.轻拍adv.适时,正好,恰好adj.恰好的,合适的,人为的"
patch,"n.片,补缀,碎片,斑纹,斑点,小块地,眼罩,傻瓜;vt.修补,补缀,掩饰,平息"
pathetic,"adj.可怜的,悲惨的"
patriotic,"adj.爱国的,有爱国心的"
patron,"n.(对某人,某种目标,艺术等)赞助人,资助人"
pavement,"n.人行道,公路"
paw,
pea,
peanut,n.花生
peasant,"n.农夫,乡下人"
pebble,"n.小圆石,小鹅卵石"
pedal,n.踏板v.踩...的踏板
pedestrian,"n.步行者adj.徒步的,呆板的,通俗的"
peel,"v.剥,削,剥落"
peep,"n.窥看,隐约看见vi.窥视,偷看"
pendulum,"n.钟摆,摇锤"
penetrate,"vt.穿透,渗透,看穿,洞察vi.刺入,看穿,渗透,弥漫"
peninsula,n.半岛
perfume,"n.香味,芳香,香水vt.使发香,洒香水于,发香味"
permeate,"vt.弥漫,渗透,透过,充满vi.透入"
perplex,v.困惑
persecute,v.迫害
persevere,v.坚持
pest,n.有害物
petition,"n.请愿,情愿书,诉状,陈情书v.请求,恳求,请愿"
petroleum,n.石油
petty,"adj.小的,不重要的,小规模的,小型的,细微的,小器的,卑鄙的"
pharmacy,"n.药房,药剂学,配药业,制药业,一批备用药品"
physicist,"n.物理学者,唯物论者"
pickup,"n.拾起,获得"
picnic,n.野餐vi.(去)野餐
pierce,"vt.刺穿,刺破,穿透,突破,深深感动"
pigeon,n.鸽子
pill,"n.药丸,口服避孕药,弹丸"
pillar,"n.[建] 柱子,栋梁,重要的支持者"
pillow,"n.枕头,枕垫"
pilot,"n.飞行员,领航员,引水员vt.驾驶(飞机等),领航,引水v.驾驶"
pinch,"n.捏,撮,收缩,紧急关头,匮乏,压力vt.掐,夹痛,修剪,勒索,使感缺乏,使萎缩,偷vi.收缩,节省"
pine,"n.松树,树木v.消瘦,憔悴,渴望,渴慕"
pint,n.品脱
pirate,"n.海盗,盗印者,盗版者,侵犯专利权者vt.盗印,盗版,掠夺,翻印vi.做海盗"
pistol,n.手枪
piston,"n.[机]活塞,瓣"
pitch,"n.程度,斜度,树脂,投掷,定调,(船只)前后颠簸,倾斜,沥青vt.投,掷,向前倾跌,定位于,用沥青涂,扎营vi.搭帐篷,投掷,坠落,倾斜"
plaintiff,"n.[律]起诉人,原告"
plantation,"n.耕地,种植园,大农场,森林,人造林,殖民"
plentiful,"adj.许多的,大量的,丰富的,丰饶的"
plight,"n.情况,状态,困境,盟誓(婚姻)vt.保证,约定"
plow,n.v.=plough
plumber,n.水管工人
plural,adj.复数的
pneumonia,n.[医] 肺炎
poison,"n.毒药,败坏道德之事,毒害vt.毒害,败坏,使中毒vi.放毒,下毒"
polar,"adj.[天]两极的,极地的,南辕北辙的,南极的,(北极星似的)指引的,极性的,北极的n.极线,极面"
pole,"n.棒,柱,杆,竿,极,磁极,电极vt.用竿支撑,用棒推vi.撑篙 Pole 波兰人"
pond,n.池塘v.筑成池塘
pope,
porcelain,"n.瓷器,瓷adj.瓷制的,精美的,脆的"
porch,"n.门廊,走廊"
portable,"adj.轻便的,手提(式)的,便携式的"
porter,"n.守门人,门房,行李搬运工"
portfolio,n.部长职务
portrait,"n.肖像,人像"
postage,n.邮资
poster,"n.海报,招贴,(布告,标语,海报等的)张贴者"
pot,"n.罐,壶v.罐装"
poultry,n.家禽
pound,"n.磅,英镑,重击,鱼塘,兽栏,拘留所vt.强烈打击,捣烂,监禁,关入栏vi.连续重击,连续敲打,苦干"
powder,"n.粉,粉末,火药,尘土vt.搽粉于,撒粉,使成粉末vi.搽粉,变成粉末"
precaution,"n.预防,警惕,防范"
precedent,n.先例
precise,"adj.精确的,准确的n.精确"
preclude,n.排除
predominant,"adj.卓越的,支配的,主要的,突出的,有影响的"
premium,"n.额外费用,奖金,奖赏,保险费,(货币兑现的)贴水"
preposition,n.前置词
presume,"vt.假定,假设,认为"
pretend,"vt.假装,装扮,(作为藉口或理由)伪称"
pretext,"n.借口,托辞v.借口"
prisoner,adj.囚犯的n.战俘
proceeding,"n.行动,进行,[pl.] 会议录,学报"
procession,"n.行列,队伍"
projector,n.放映机
pronoun,n.代名词
pronounce,"v.发音,宣告,断言"
pronunciation,"n.发音,读法"
prophet,"n.先知,预言者,提倡者"
prospective,adj.预期的
prototype,n.原型
psychiatry,"n.精神病学,精神病治疗法"
pub,"n.酒馆,客栈"
puff,"n.一阵喷烟,肿块,蓬松,吹嘘,宣传广告v.喷出,张开,夸张,(使)膨胀,(使)骄傲,喘息,鼓吹,吹捧"
pulse,"n.脉搏,脉冲"
punctual,"adj.严守时刻的,准时的"
puppet,"n.傀儡,木偶"
purify,vt.使纯净v.净化
qualitative,"adj.性质上的,定性的"
quantify,vt.确定数量v.量化
quart,n.夸脱(容量单位)
quartz,n.石英
queer,"n.同性恋者adj.奇怪的,可疑的,不舒服的vt.搞糟n.同性恋者"
quench,"vt.结束,熄灭,淬火vi.熄灭,平息"
queue,"n.行列,长队,队列vi.排队,排队等待"
quilt,"n.棉被vt.制成棉被,摘录,编辑vi.缝被子"
quiver,"n.震动,颤抖,箭袋,箭袋中的箭vi.颤抖,振动,射中vt.使颤动adj.敏捷的"
quiz,"n.测验,提问,恶作剧v.对...进行测验,盘问,挖苦"
racial,"adj.人种的,种族的,种族间的"
rack,"n.架,行李架,拷问台,小步跑,烧酒,破坏vt.放在架上,在架上制作,折磨,加以拷问,使痛苦,榨取vi.在饲草架装满干草,变形,(云)随风飘,(马)小步跑"
racket,"n.球拍,喧闹纷乱v.过着花天酒地的生活"
radiant,"adj.发光的,辐射的,容光焕发的"
radiate,"vt.放射,辐射,传播,广播vi.发光,辐射,流露adj.有射线的,辐射状的"
radioactive,"adj.放射性的,有辐射能的"
radius,"n.半径,范围,辐射光线,有效航程,范围,界限"
rag,"n.抹布,碎屑,石板瓦,破旧衣服,少量vt.揶揄,戏弄,欺负vi.喧闹"
raid,"n.袭击,搜捕;v.奇袭,搜捕;Redundant Array of Indepnedent Disks,独立磁盘阵列"
rap,"n.叩击,轻拍,轻敲,斥责vt.敲,拍,打,厉声说出,斥责,使着迷vi.敲击,交谈 [军] Rocket Assisted Projectile,火箭助推炮弹"
rape,"n.掠夺,强奸,葡萄渣,油菜vt.掠夺,强奸"
rash,"adj.轻率的,匆忙的,卤莽的n.[医]皮疹"
rational,"adj.理性的,合理的,推理的n.[数]有理数"
ray,"n.光线,闪烁,微量vi.射出光线,浮现,放射光线vt.放射,显出"
razor,n.剃刀vt.剃
realm,n.领域
reassure,"vt.使...安心,再保证,使...恢复信心,打消...的疑虑"
rebellion,"n.谋反,叛乱,反抗,不服从"
recede,v.后退
recipe,n.处方
reciprocal,"adj.互惠的,相应的,倒数的,彼此相反的n.倒数,互相起作用的事物"
reckless,adj.不计后果的
recollect,"v.回忆,想起,记起,忆起,记得"
reconcile,"vt.使和解,使和谐,使顺从"
recreation,"n.消遣,娱乐"
rectangle,"n.长方形,矩形"
rectify,"vt.矫正,调整,[化]精馏"
redeem,"vt.赎回,挽回,恢复,补偿,兑换"
redundant,adj.多余的
reed,"n.芦苇,芦笛,簧片,管乐器"
reel,"n.(棉纱,电线等的)卷轴,(磁带等的)一盘,旋转,蹒跚vt.卷...于轴上,使旋转vi.蹒跚地走,旋转,眩晕,骚乱,退缩,摇晃"
refine,"vt.精炼,精制,使文雅高尚"
reflexion,"n.<主英>(=reflection)反射,反射光"
refrigerator,"n.电冰箱,冷藏库"
