arroyo,"n. 干涸沟壑, 旱谷, 小河"
intimidate,"vt. 威胁, 恐吓
[法] 恐吓, 威胁, 使恐惧"
intrude,"vi. 闯入, 侵入
vt. 强加于"
obligatory,"a. 义务的, 必须的, 强制性的
[法] 有拘束的, 强制的, 必须的"
obtrude,"vt. 逼使, 强迫, 伸出
vi. 打扰, 强行闯入"
commandeer,"vt. 征用, 霸占
[法] 强迫服役, 徵用"
fantasy,"n. 幻想, 想象的产物
[医] 幻想"
mirage,"n. 海市蜃楼, 幻景, 妄想"
phantom,"n. 幻影, 虚位, 幽灵, 化身, 令人恐惧的事物, 骇人的想法
a. 幻觉的, 幻影的, 幽灵的, 虚无飘渺的, 捉摸不定的, 有名无实的"
subjective,"a. 主观的, 个人的
[医] 主观的, 自觉的"
utopia,"n. 乌托邦, 理想国"
utopian,"a. 乌托邦的, 空想社会主义的
n. 理想社会主义者"
conceivable,"a. 想得到的, 可想象的, 可理解的"
foyer,"n. 门厅, 入门大堂"
interlude,"n. 幕间, 幕间时间, 插曲, 穿插, 过场
[计] 插算; 中间程序"
lobby,"n. 大厅, 休息室, 游说议员者
vi. 游说议员, 游说
vt. 游说"
mesmerize,"vt. 施催眠术, 迷住, 迷惑
[医] 催眠"
prone,"adj. 俯卧的；有…倾向的，易于…的
n. (Prone)人名；(意、法)普罗内"
recline,"vt. 使斜靠
vi. 靠, 斜倚, 依赖"
recumbent,"a. 斜靠着的, 躺着的, 不活泼的, 休息着的
[医] 斜卧的, 躺着的"
relaxation,"n. 松弛, 放松, 减轻, 缓和, 休息, 休养
[化] 松弛; 驰豫"
repose,"n. 休息；睡眠；静止
vt. 使休息；寄托于
vi. 休息；座落；长眠；依靠；静卧；建立于"
resort,vt. 使再分类
slacken,"vt. 使松弛, 放松, 放慢
vi. 变松弛, 减弱, 松劲"
slumber,"n. 睡眠, 麻木状态
vi. 微睡, 静止, 麻木
vt. 睡着度过(时间)"
somnolent,"a. 想睡的, 催眠的
[医] 瞌睡的; 嗜眠的"
compress,"vt. 压缩, 压紧
vi. 受压缩小
[计] 压缩程序"
congest,"vt. 使充满, 使拥塞, 使充血
vi. 充塞, 充血, 拥挤"
constrict,"vt. 压缩, 束紧, 使收缩
vi. 收缩"
constringe,"vt. 压缩, 使收缩, 使收敛"
encapsulate,"vt. 装入胶囊, 封进内部, 压缩
vi. 做成胶囊"
huddle,"n. 杂乱一团, 混乱, 拥挤
vt. 把...挤在一起, 乱堆, 草率了事, 蜷曲
vi. 挤作一团, 蜷缩"
press,"vt. 压；按；逼迫；紧抱
vi. 压；逼；重压
n. 压；按；新闻；出版社；[印刷] 印刷机
n. (Press)人名；(英、德、俄、西、瑞典)普雷斯"
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
tamp,"vt. 用粘土填塞, 捣固, 夯实
n. 捣棒, 夯"
formative,"a. 有助于形成的, 造型的, 形成的
n. 构词要素"
impact,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
impressionable,"a. 易感的, 敏感的, 可塑的"
interplay,[网络] 互戏；剧本
militate,vi. 产生作用(或影响)
psychosomatic,[网络] 心身；心理的
aura,"n. 气氛, 气味
[医] 先兆"
preconceive,vt. 事先认为
preordain,[网络] 预先注定；预先授与
prescient,"a. 预知的, 有先见之明的"
adumbrate,"vt. 画...的轮廓, 预示"
anticipate,"vt. 预期, 占先, 加速, 提前使用
[医] 提前出现, 先期发生"
anticipatory,"a. 期待着的, 先行的, 提早发生的
[计] 先行"
augury,"n. 预兆, 占卜"
betoken,vt. 预示
bode,"v. 预示
bide的过去式"
boding,"a. 凶兆的, 预兆的
n. 凶兆, 前兆, 预感"
divine,"a. 神的, 神圣的, 非凡的
n. 神学家"
envision,"vt. 想象, 预想"
forebode,"v. 预示, 预兆, 预感"
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
[计] 趋势预测"
foreknowledge,"n. 预知, 先见之明"
forerunner,前[驱]涌；征兆
harbinger,"n. 通告者, 预告者, 先驱, 预兆
vt. 预告, 充做...的前驱"
hunch,"n. 肉峰, 预感, 大块
vt. 弯腰驼背, 预感到, 耸肩
vi. 向前移动, 隆起"
inspiration,"n. 灵感, 鼓舞人心的人或物, 妙计, 吸气
[医] 吸[气]"
ominous,"a. 恶兆的, 不吉利的, 预兆的"
portend,(平炉)喷出口端墙
precursor,[网络] 前体；前光标；前导
prefigure,"vt. 预示, 预见, 预想"
premonition,"n. 预告, 预感, 征兆
[医] 先兆, 预兆"
presage,"n. 预感, 预兆, 预知
vt. 预示, 预言
vi. 预感, 预言"
prescience,[网络] 前科学；学前系列；科学前
presentiment,n. 预感
preview,"n. 事先查看, 预览
vt. 事先查看, 预演
[计] 预览"
prevision,"n. 先见, 预知"
prognosis,"n. 预测, 预后
[医] 预后"
prognosticate,"vt. 预兆, 预言, 预测
[医] 预测(疾病的结局)"
prophecy,"n. 预言, 预言能力"
prophetic,"a. 预言的, 先知的, 预示的"
rehearsal,"n. 预演, 排演, 练习, 叙述, 复述
[法] 详述, 列举事实, 复述"
rehearse,"vt. 预演, 排演, 使熟练掌握, 练习, 复述
vi. 排练, 练习, 演习"
foreshadow,"vt. 成为前兆, 预示"
premonitory,"a. 预先警告的, 前兆的
[医] 先兆的, 预兆的"
foreboding,"n. 预感, 先兆, 预兆"
quiescent,"a. 静止的, 不活动的, 寂静的
[医] 静息的, 静止的"
stationary,"a. 不动的, 静止的, 不变的, 固定的, 停留的
[计] 定常, 定态, 固定的"
equanimity,"n. 平静, 镇定, 沉着"
halcyon,"n. 神翠鸟, 翡翠鸟
a. 宁静的, 平稳的, 翡翠鸟的"
hush,"n. 肃静, 安静, 沉默
vt. (使)肃静, (使)安静, (使)缄默
interj. 嘘, 别作声"
mute,"n. 哑子, 哑音字母, 弱音器
a. 哑的, 无声的, 沉默的
vt. 减弱...的声音
vi. 排泄"
pastoral,"n. 牧歌, 田园诗
a. 牧人的, 田园生活的, 牧师的, 田园式的"
placid,"a. 平静的, 温和的, 沉着的, 平稳的"
reserve,[网络] 再服务
reticent,"a. 无言的, 沉默的, 不情愿的
[法] 言不尽意的, 沈默寡言的, 有保留的"
serene,"a. 宁静的, 沉着的, 安详的, 晴朗的
n. 晴朗, 平静"
taciturn,"a. 沉默寡言的, 不太说话的, 无言的"
tranquility,n. 宁静
quietude,"n. 平静, 寂静"
bawl,"n. 大叫声
v. 大叫"
bedlam,"n. 混乱, 喧闹, 疯人院
[医] 精神病院, 精神病"
blare,"n. 巨响, 吼叫声, 光泽
vi. 高声鸣叫, 大叫
vt. 大声喊出"
blustering,"a. 狂风大作的, 狂暴的"
boisterous,"a. 猛烈的, 喧闹的, 狂暴的"
chirp,"n. 喳喳声, 唧唧声
v. 吱喳而鸣"
clamor,"n. 喧闹, 叫嚷, 大声的要求
v. 喧嚷, 大声地要求"
din,"定,啶"
fracas,"n. 喧噪, 吵闹, 纷扰"
hubbub,n. 喧哗；骚动
jamboree,"n. 大喝大闹, 大集会, (童子军)欢乐的聚会"
obstreperous,"a. 吵闹的, 喧嚣的, 骚乱的, 不守秩序的"
restive,"a. 不愿向前走的, 倔强的, 难驾御的"
restless,"a. 不安静的, 慌张的, 休息不充分的
[医] 不安静的, 不宁的"
roister,"vi. 大摇大摆, 摆架子, 喧闹, 闹饮"
rollicking,a. 欢乐的；喧闹的
tumult,"n. 骚动, 吵闹, 混乱
[法] 骚乱, 骚动, 暴乱"
uproar,"n. 骚动, 喧嚣"
uproarious,"a. 喧嚣的, 热闹的, 骚动的"
vociferous,"a. 大声叫的, 喊叫的, 喧嚷的"
agape,"a. 张口发呆的, 目瞪口呆的
adv. 张口发呆地, 目瞪口呆地"
aghast,"a. 惊骇的, 吓呆的"
astound,"vt. 使惊骇, 使大惊"
appall,"vt. 使丧胆, 使惊骇"
consternation,"n. 惊愕, 恐怖, 惊惶失措"
convulse,"vt. 使震动, 使震撼, 使抽搐"
dumbfound,vt. 使...惊讶得发呆
furor,"n. 喧闹, 激怒, 感动, 狂热
[医] 狂乱, 狂暴, 狂怒"
fuss,"n. 大惊小怪, 小题大作, 忙乱
vi. 无事自扰, 焦急, 焦燥, 忙乱
vt. 使激动, 使烦燥"
ghastly,"a. 可怕的, 惨白的, 极坏的
adv. 可怖地, 惨白地"
jar,"n. 缸；坛子；（玻璃）罐子；广口瓶
v. 受震动而疼痛；（对…）产生不快的影响；使烦躁；（与…）不协调
[网络] 文件"
lurid,"a. 火烧似的, 苍白的, 华丽的, 可怕的"
marvel,"n. 奇异事物, 罕见例子
vt. 惊异于
vi. 惊异"
petrify,"vt. (非正式)使惊呆, 使吓得要死, 使发呆
vt.vi. 使石化, 使成为化石, 使变僵, 变僵硬, 使消失活力, 使僵化"
sensation,"n. 感觉, 轰动
[医] 感觉"
squeamish,"a. 过于拘谨的, 神经质的, 易呕吐的"
startle,"n. 惊愕, 惊恐
vt. 吃惊, 使惊愕
vi. 惊起"
tremendous,"a. 巨大的, 非常的, 可怕的"
marvelous,"a. 令人惊异的, 了不起的, 不平常的"
fraught,"a. 含有...的, 伴着...的, 充满...的"
replete,"a. 装满的, 充满的, 充实的, 吃饱的"
engaged,"a. 忙碌的, 使用中的"
hasty,"a. 匆匆的, 轻率的, 性怠的"
hectic,"a. 脸上发红, 发热的, 潮热的, 肺病的
n. 脸红, 潮热病人"
onerous,"a. 繁重的, 负有法律责任的
[法] 负有义务的, 艰巨的, 繁重的"
summarily,"adv. 概要地, 概略地, 立刻"
taxing,"a. 繁重的, 费力的
[法] 征税的, 评定的负担颇重的"
convenience,"n. 方便, 便利的事物, 方便的时候"
expediency,"n. 权宜, 方便, 私利"
portable,"a. 可携带的, 可搬运的, 可移动的
[计] 可移植的"
profundity,"n. 深度, 深奥, 深刻, 深厚"
abstruse,"a. 难解的, 深奥的"
conundrum,"n. 谜语, 难题"
convoluted,"a. 盘绕的, 回旋的, 旋绕的, 卷绕的, 复杂的
[医] 卷曲的, 回旋的"
elusive,"a. 难懂的, 易忘的, 难以捉摸的"
esoteric,"a. 秘教的, 奥秘的, 秘传的
[医] 体内的, 内部的, 隐的"
impalpable,"a. 不可触知的, 不能感知的, 难以理解的
[医] 不可接触的, 极细微的"
inexplicable,"a. 不能说明的, 不能解释的, 费解的"
inscrutable,"a. 难以了解的, 不能预测的
[法] 不可理解的, 不可思议的, 不可测知的"
intricacy,"n. 纷乱, 复杂, 错综"
intricate,"a. 复杂的, 错综的, 缠结的, 难懂的"
obscure,"a. 模糊的, 昏暗的, 难解的, 晦涩的, 偏僻的, 微贱的, 无名的
vt. 使变暗, 隐藏, 使变模糊, 使难解"
obscurity,"n. 阴暗, 朦胧, 晦涩, 费解, 身份低微"
opaque,"n. 不透明物
a. 不透明的, 不传热的, 不传导的, 阴暗的
[计] 白底"
rebus,"n. 谜, 画谜"
recondite,"a. 深奥的, 难解的, 隐藏的"
enigmatic,"a. 费解的, 谜一般的, 高深莫测的"
enigma,"n. 谜, 费解的事物"
zealotry,"n. 过度热心, 狂热, 狂热行为"
fanatical,"a. 狂热的, 盲信的"
frenzied,"a. 狂热的, 狂乱的, 激怒的"
rhapsodize,"vi. 狂热地说, 写狂想文, 作狂想曲
vt. 狂热地说"
delirium,"n. 精神错乱, 说谵语状态, 狂热
[医] 谵妄, 发狂, 妄想"
demented,"a. 发狂的, 精神错乱的
[医] 痴呆的"
distraught,"a. 烦恼的, 心烦意乱的, 发狂的"
fad,[网络] 养必滴
possessed,"a. 中邪魔的, 被妖魔缠住的"
queer,"n. 怪人, 同性恋者
a. 奇怪的, 不舒服的, 可疑的
vt. 搞糟"
amok,"adv. 乱砍乱杀, 杀气腾腾地横冲直撞
[医] [抑郁后暴发]杀人狂"
fanaticism,"n. 狂热, 入迷"
harmonious,"a. 和睦的, 调和的, 和谐的, 协调的"
attune,"vt. 为乐器调音, 使协调, 使合拍"
conciliatory,"a. 安抚的, 和好的, 调和的"
concord,"n. 一致, 和睦, 协定"
console,"vt. 安慰, 藉慰
n. 控制台
[计] 控制台"
consonance,"n. 一致, 调和, 辅音韵
[医] 谐和"
consonant,"n. 辅音
a. 一致的, 调和的"
dissonant,"a. 不和谐的, 刺耳的, 不一致的"
empathy,"n. 移情作用, 共鸣
[医] 移情, 神入"
incompatible,"a. 不相容的, 不能并存的, 矛盾的
[化] 不协调"
incongruent,adj. 不一致的；不协调的；不和谐的；不合适的（名词incongruence，副词incongruently）
incongruity,"n. 不协调, 不一致, 不合适
[化] 异元性; 不相容性"
mediate,"a. 居间的, 间接的
vt. 斡旋, 调停
vi. 处于中间, 调解"
mollify,"vt. 平息, 缓和, 减轻, 使变软"
pacify,"vt. 使平静, 安慰, 绥靖, 使服从"
placate,"vt. 抚慰, 平息, 使和解, 怀柔"
rapport,"n. 关系, 融洽, 一致
[医] 关系, 协调(病人与医师间), 感通(唯心的灵交术时)"
rapprochement,"n. 和解, 恢复邦交, 恢复友好关系, 重归于好"
reconcile,"vt. 使和解, 调停, 使和谐, 使一致, 使听从
[经] 对帐, 使一致"
relieved,"a. 宽慰的, 解除的, 减轻的"
reassuring,"(re-assure 的现在分词) vt. 使…安心, 使消除疑虑"
solace,"n. 安慰, 安慰之物
vt. 安慰, 抚慰, 给与安慰, 使轻松"
soothing,"a. 抚慰的, 使人宽心的
[医] 缓解的, 安抚的"
solidarity,"n. 团结, 团结一致, 共同一致
[法] 团结, 共同责任"
soothe,"vt. 缓和, 使安静, 安慰, 奉承
vi. 起安慰作用"
sop,[网络] 标准作业程序；标准作业流程；标准操作程序
camaraderie,n. 友情；同志之爱
intercession,"n. 仲裁, 调解, 说情
[法] 仲裁, 调解, 说情"
alleviate,"vt. 减轻, 使缓和"
assuage,"vt. 平息, 缓和, 减轻"
buffer,"n. 缓冲器, 缓冲区
vt. 缓冲
[计] 缓冲区, 缓冲器"
cushion,"n. 垫子, 橡皮软垫
vt. 加垫褥, 缓冲, 掩盖"
defuse,vt. 平息；去掉…的雷管；使除去危险性
disarm,"vt. 解除武装, 裁军, 缓和
vi. 放下武器"
mitigate,"vt. 温和, 缓和, 减轻
[医] 缓和, 减轻"
mitigant,a. 缓和的；减轻的
palliate,"vt. 减轻, 缓和, 掩饰(罪过等)
[医] 缓和, 减轻"
scrimmage,"n. 混战, 并列争球"
implacable,"a. 不能安抚的, 难和解的, 不变的"
amorphous,"a. 无定形的, 无组织的
[化] 非晶形的; 无定形的"
chaos,"n. 大混乱, 混沌
[化] 混沌; 浑沌"
commotion,"n. 骚动, 暴乱
[医] 震荡"
convulsion,"n. 震动, 震撼, 动乱, 惊厥, 痉挛
[医] 惊厥, 抽搐"
disarray,"vt. 弄乱, 使混乱, 使脱去衣服
n. 无秩序, 杂乱, 不整齐的衣着"
dishevel,"vt. 使蓬乱, 使头发凌乱"
disheveled,"a. 凌乱的,不整洁的"
disruptive,"a. 分裂的, 破坏(性)的
[计] 击穿的, 中断的"
havoc,"n. 大破坏, 蹂躏
vt. 严重破坏"
muddle,"vt. 混合, 使微醉, 使咬字不清晰
vi. 胡乱对付
n. 困惑, 混浊状态"
pandemonium,"n. 魔窟, 地狱, 阎王殿, 无法无天, 一片混乱, 大混乱, 大吵大闹, 乌烟瘴气"
pell-mell,无
rambunctious,"a. 粗暴的, 难控制的, 喧闹的"
shambles,"n. 肉店, 屠宰场, 混乱, 废墟"
tousle,"vt. 使蓬乱, 弄乱
n. 乱发, 杂乱, 凌乱"
turmoil,"n. 骚动, 混乱"
welter,"vi. 翻滚, 滚动, 沉溺, 浸湿, 起伏
n. 翻滚, 汹涌, 混乱, 起伏, 重量级骑手"
chaotic,"a. 混乱的, 无秩序的
[法] 混乱的, 混沌的"
disjointed,"a. 关节脱位的, 脱臼的, 脱节的, 没有条理的, 次序混乱的, 杂乱的, 支离的
[计] 不交的"
medley,"n. 混合, 混杂, 杂录
a. 混合的, 拼凑的"
assorted,"a. 各种各样的, 分类的"
commingle,v. 混合
intermingle,"vi. 混入, 渗入, 掺杂
vt. 使混合"
jumble,"vi. 搀杂, 混杂
vt. 搞乱, 使混乱
n. 混乱, 薄饼"
mingle,v. (使)混合
pastiche,"n. 模仿作品, 东拼西凑的杂烩"
potpourri,[网络] 壶；扑扑莉；百花香
alloy,"n. 合金
vt. 将...铸成合金, 减低成色
vi. 合铸"
harden,"vt. 使变硬, 使坚强, 使冷酷
vi. 变硬, 变冷酷"
indurate,"vt. 使硬化, 使无感觉, 使确立
a. 顽固的, 冷酷的"
ironclad,[电] I铁甲
rigid,"a. 坚硬的, 刚性的, 严格的, 精密的, 刻板的"
starchy,"a. 淀粉的, 浆糊的, 浆糊状的, 古板的"
static,"a. 静态的；静电的；静力的
n. 静电；静电干扰"
stiff,"a. 坚硬的, 严厉的, 呆板的, 生硬的, 刚强的, 强烈的, 粘的, 稠的, 艰难的
n. 死尸, 醉鬼, 钞票
vt. 不肯付...小费"
substantial,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
litotes,"n. 反叙法, 曲言法"
allude,"vi. 暗指, 提及"
backhanded,"adj. 间接的；反手拍击的
v. 用手背打击；反手击球（backhand的过去分词）"
cue,"n. 暗示；提示；信号；（戏剧的）提示
v. 给（某人）暗示（或提示）
[网络] 球杆；线索；凯迪拉克用户体验(Cadillac User Experience)"
depute,"vt. 指定代理人, 委以代理人, 委任
[法] 代表, 代理人"
deputize,"vt. 指定为代理
vi. 代理, 担任代表"
oblique,"a. 斜的, 倾斜的, 间接的, 不光明正大的, 躲躲闪闪的
[医] 斜的"
suggestive,"a. 提示性的, 影射的, 暗示的
[医] 暗示的"
vicarious,"a. 代理的, 代用的, 替代的
[医] 替代的, 错位的"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
[化] 紧急情况"
exigent,"a. 紧急的, 迫切的, 苛求的
[法] 催告书, 勒令, 限令"
necessitous,"a. 贫乏的, 穷困的, 紧迫的, 必需的"
urgent,"a. 紧急的, 急迫的, 催逼的
[经] 紧急的, 急迫的"
exigency,"n. 紧急, 急迫, 紧急事件"
precision,"n. 精密, 精确, 精确度, 精度
a. 精密的, 精确的
[计] 精度"
accuracy,"n. 精确, 正确
[计] 准确度"
accurate,"a. 正确的, 精确的
[经] 准确的, 精确的"
exact,"a. 精确的, 准确的, 精密的
vt. 强求, 急需"
exactitude,"n. 正确(性), 精密, 精确(性), 严格"
literal,"a. 逐字的, 字面上的, 文字的, 字母的
n. 印刷错误
[计] 文字; 直接量; 字面量; 句节"
nice,"a. 美好的, 和蔼的, 正派的, 做得好的, 精密的, 细微的, 挑剔的, 谨慎的"
nicety,"n. 美好, 准确, 精密, 拘泥细节, 纤细"
precise,"a. 精确的, 严谨的, 明确的
[机] 精密的, 正确的"
rigor,"n. 严格, 严厉, 苛刻, 严酷, 严密, 精确
[医] 寒战, 强直, 僵硬"
sophisticated,"a. 复杂的, 久经世故的
[法] 尖端的, 高级的, 非常有经验的"
misadventure,"n. 运气不佳的遭遇
[法] 意外事故, 不辛遭遇, 灾难"
bottleneck,[化] 瓶颈
dilemma,"n. 困境, (进退两难的)窘境"
disconcert,"vt. 使困惑, 使仓皇失措, 打乱(计划等)"
encounter,"vt. 遭遇, 邂逅；遇到
n. 遭遇, 偶然碰见
vi. 遭遇；偶然相遇"
famine,"n. 饥荒, 缺乏, 饥饿"
famish,"vt. 使挨饿
vi. 饥饿, 挨饿"
inferno,"n. 地狱, 地狱似的地方"
knotty,"a. 有结的, 多节的, 多瘤的, 棘手的"
labored,"a. 吃力的, 缓慢的, 不自然的, 矫揉造作的"
nonviable,adj. 不可行的，不划算的
plight,"n. 困境, 窘境
vt. 宣誓, 保证"
predicament,"n. 处境, 穷境, 困局"
purgatory,"n. 涤罪, 炼狱
a. 涤罪的"
quandary,"n. 困惑, 迷惑, 为难"
strand,"n. 线；串；海滨
vt. 使搁浅；使陷于困境；弄断；使落后
vi. 搁浅
n. (Strand)人名；(英、芬、丹、挪、瑞典)斯特兰德；(德)施特兰德"
stranded,"a. 处于困境的, 进退两难的"
arduous,"a. 费力的, 努力的, 险峻的"
discommode,"vt. 使不方便, 打扰, 给...添麻烦"
prevalent,"a. 普遍的, 流行的"
chic,"n. 漂亮, 别致的款式
a. 漂亮的, 别致的"
faddish,"a. 趋于时尚的, 风行的, 流行的"
mode,"n. 模态, 调式, 样式, 文体, 状态, 方式, 风尚
[计] 方式; DOS外部命令:设定各种设备命令"
modish,"a. 流行的, 时髦的"
pandemic,"a. 大流行的, 普遍的, 全世界的
[医] 大流行的, 大流行病"
prevail,"vi. 获胜, 流行, 盛行
[医] 流行, 盛行"
revive,"vt. 使苏醒, 使复兴, 使振奋, 回想起, 重播
vi. 苏醒, 复活, 复兴, 恢复精神"
rife,"a. 流行的, 盛传的, 充满的"
vogue,"n. 时尚, 时髦, 流行
a. 流行的, 时髦的"
mealymouthed,adj. 转弯抹角说的；不敢直说的
ambiguous,"a. 不明确的, 模棱两可的
[法] 意思含糊的, 模棱两可的, 暧昧的"
blur,"vt. 使模糊, 弄脏
vi. 弄脏, 模糊"
connotation,"n. 含蓄, 内涵"
imprecise,"a. 不严密的, 不精确的, 不明确的"
loom,abbr. Loyal Order of Mosse (美国)友爱互助会
noncommittal,"adj. 模棱两可的
[网络] 不明朗的；不承诺；不承担义务的"
oracular,"a. 神谕的, 神谕似的, 谜似的, 玄妙深奥的"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
subliminal,"adj. [生理] 阈下的；潜在意识的；微小得难以察觉的
n. 潜意识；阈下意识"
vague,"a. 含糊的, 不清楚的, 茫然的"
equivocal,"a. 意义不明确的, 模棱两可的
[医] 双关的, 两可的"
nebulous,"a. 星云的, 星云状的, 朦胧的"
subtlety,"n. 微妙, 精明"
enervate,"vt. 使衰弱
a. 衰弱的, 无力的"
exhaust,"n. 排气, 排气装置, 废气
vt. 抽完, 用尽, 耗尽, 使精疲力尽
vi. 排气"
fatigue,"n. 疲乏, 疲劳
vt. 使疲劳, 使心智衰弱
vi. 疲劳
a. 疲劳的"
grueling,"a. 折磨人的, 使人精疲力尽的
n. 痛打, 惩罚"
indefatigable,"a. 不知疲倦的, 有耐性的, 不屈不挠的"
jaded,"a. 疲倦不堪的, 厌倦的"
languid,"a. 疲倦的, 无力的, 阴沉的"
languor,"n. 怠惰, 疲倦, 无气力
[医] 疲倦, 无力"
lassitude,"n. 疲倦, 疲乏, 无精神
[医] 倦怠"
lethargic,"a. 昏睡的, 无生气的, 泠漠的, 冷淡的
[医] 昏睡的, 嗜眠的"
listless,"a. 倦怠的, 无精打采的
[经] 交易清淡的"
slouch,"n. 没精打采的样子, 耷拉, 笨人
vi. 没精打采地走, 耷拉着
vt. 使低垂"
tire,"n. 轮胎, 头饰
vt. 使疲倦, 使厌烦, 打扮
vi. 疲劳, 厌倦"
wearisome,"a. 使疲倦的, 使厌倦的, 乏味的"
weary,"a. 疲倦的, 萎靡的, 厌倦的, 厌烦的
vt. 使疲倦, 使厌烦
vi. 疲乏, 生厌, 不耐烦"
dearth,[网络] 三维地球
deficiency,"n. 缺乏, 不足
[医] 缺乏, 不足"
deficit,"n. 赤字, 不足额
[医] 短缺"
destitute,"a. 穷困的, 缺乏的"
destitution,"n. 穷困, 贫穷, 缺乏"
exiguous,"a. 稀少的, 细微的, 细小的"
impecunious,"a. 没有钱的, 身无分文的, 贫穷的"
impoverish,"vt. 使贫穷, 耗尽...的力气"
indigence,"n. 贫乏, 穷困的人们"
indigent,"a. 贫乏的, 穷困的"
insufficient,"a. 不够的, 不能胜任的, 不充足的
[法] 不足的, 不充分的, 不能胜任的"
meager,"a. 质量差的, 贫乏的, 不毛的, 瘦的"
needy,"a. 贫穷的, 贫困的, 生活艰苦的"
paucity,"n. 少数, 少量, 缺乏"
privation,"n. 缺乏, 穷困"
scant,"a. 不充分的, 不足的
vt. 减少, 吝啬, 限制, 藐视, 忽略"
scarcity,"n. 缺乏, 不足, 缺少
[经] 缺乏, 不足"
sparse,"a. 稀疏的, 稀稀落落的, 稀薄的"
want,[网络] 没有区别欲望
appreciable,"a. 可感知的, 可评估的"
clarify,"vi. 澄清, 阐明
vt. 使明晰"
clarity,"n. 清楚, 明晰
[化] 透明度; 透明性; 清晰性"
defined,"a. 清晰的, 轮廓分明的；有定义的, 确定的"
definite,"a. 明确的, 一定的
[法] 明确的, 确切的, 一定的"
definition,"n. 定义, 精确度, 清晰度
[计] 清晰度; 清晰度"
definitive,"n. 限定词
a. 限定的, 决定性的"
demystify,vt. 使非神秘化；阐明；启发
distinct,"a. 清楚的, 显著的, 不同的"
explicit,"a. 详述的, 清楚的, 直言的"
expressly,"adv. 明白地, 清楚地, 特意地"
externalize,"vt. 给...以外型, 使客观化, 使具体化
[医] 表面化"
manifest,"n. 载货单, 运货单, 旅客名单
a. 显然的, 明白的
vi. 显示, 出现
vt. 表明, 表现, 证明"
manifestation,"n. 显示, 证明, 示威运动
[医] 表现, 表示"
marked,"a. 有记号的, 显著的, 醒目的
[化] 有记号的; 显著的"
notable,"n. 著名人士, 值得注意之事物
a. 值得注意的, 显著的"
obvious,"a. 明显的, 明白的, 显然的, 平淡无奇的"
palpable,"a. 可感知的, 明显的, 触摸得到的
[医] 可触知的"
patent,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
perspicuous,"a. 表达得清楚的, 明白的, 明了的"
pronounced,"a. 发出音的, 读出来的, 显著的, 断然的, 明显的
[法] 显著的, 明显的, 明确的"
striking,"a. 醒目的, 惊人的, 打击的, 罢工的
[法] 罢工的, 罢市的, 罢课的"
univocal,"a. 单一意思的, 意义明确的"
identifiable,"a. 可辨认的
[法] 可证明为同一的, 可以办清的"
limpid,"a. 清澈的, 透明的, 平静的"
liquid,"n. 液体, 流体, 流音
a. 液体的, 透明的, 明亮的, 流动的, 易变的"
pellucid,"a. 透明的, 澄清的, 明了的
[医] 透明的"
regimen,"n. 养生法, 常规强化训练课, 体制, 情态
[医] 制度, 生活制度"
inanimate,"a. 失去知觉的, 没生命的, 无精打采的
[医] 无生命的, 无生机的"
medium,"n. 媒体, 方法, 媒介
a. 半生熟的, 中间的
[计] 媒体, 中"
subsist,"vt. 供给食物, 供养
vi. 生存, 存在"
subsistence,"n. 生存, 生活
[医] 生存"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
symbiosis,"n. 共栖, 共同生活
[化] 类聚效应"
viability,"n. 生存能力, 发育能力
[医] [生]活[能]力, 生机"
vitality,"n. 活力, 生命力
[医] 生机, 活力, 生活"
aptitude,"n. 资质, 才能, 自然倾向
[医] 资质, 才能"
befitting,"a. 适合的, 适当的, 合适的"
behoove,"vt. 理应, 应该
vi. 理所当然"
behove,"vt. 理应, 应该
vi. 理所当然"
cogency,"n. 说服力, 切题, 中肯
[法] 说服力, 令人信服的说法"
habitable,"a. 适于居住的, 可居住的"
meet,"n. 会, 集会
a. 适宜的, 合适的
vt. 遇见, 引见, 认识, 满足, 对付
vi. 相遇, 接触"
mistimed,(mis-time 的过去分词) vt. 使不合时宜
seemly,"a. 适当的, 恰当的, 合适的, 好看的"
timely,"a. 及时的, 适时的
adv. 及时地"
unbecoming,"a. 不适合的, 不合体的, 不相配的"
seasonable,"a. 适合于季节的, 合于时宜的, 应时的
[经] 及时的, 合时的, 有季节性的"
inopportune,"a. 不合时机的, 不巧的"
advisable,"a. 适当的, 明智的"
apposite,"a. 贴切的, 合适的"
apropos,"a. 适当的, 恰好的
adv. 适当地, 恰好地"
