accustom,vt. 使习惯于
cope,"vi. 处理；对付；竞争
n. 长袍
n. (Cope)人名；(英)科普；(西)科佩"
corporal,"n. 下士
a. 肉体的, 身体的, 个人的"
crawl,"n. 爬行, 匍匐而行, 养鱼池
v. 爬行"
creep,"n. 爬, 徐行, 蠕动
vi. 爬, 蔓延, 潜行"
cripple,"n. 跛者, 残废
vt. 使跛, 使成残废, 削弱
a. 跛的, 残废的"
crouch,"n. 蹲伏, 蜷缩
vi. 蹲下, 蜷着, 缩着
vt. 低头"
crucial,"a. 决定性的, 重要的, 严厉的
[医] 十字形的; 决断的, 定局的"
dash,"n. 冲撞, 破折号, 短跑
vi. 猛冲, 冲撞
vt. 泼溅, 使猛撞, 搀和, 使破灭, 使沮丧"
deal,"n. 交易, 协定, 数量, 买卖, 松木板
vi. 处理, 应付, 做生意
vt. 分配, 发牌, 给予
[计] 发牌"
define,"vt. 定义, 规定, 使明确
[计] 定义"
deflect,"vt. 转移, 使偏斜
vi. 偏斜"
denote,"vt. 指示, 表示"
derelict,"a. 被抛弃了的, 无主的, 玩忽职守的
n. 遗弃物, 被遗弃的人, 玩忽职守者"
devil,"n. 魔鬼
vt. 折磨, 戏弄"
discrepancy,"n. 不符合, 差异, 不相符之处
[化] 不符值; 偏差值"
drag,"n. 拖, 拖累
v. 拖累, 拖拉, 沉重缓慢地走, 拖动
[计] 拖动"
emphasis,"n. 强调, 加强, 重点, 强语气"
emphasize,"vt. 强调, 加强语气, 着重"
envisage,"vt. 面对, 正视, 想象"
envision,"vt. 想象, 预想"
equivalent,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
[计] 等价的"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
[计] 本质冒险"
inessential,"a. 无关紧要的
n. 无关紧要的东西"
essentially,"adv. 本质上, 本来"
eternal,"a. 永恒的, 永远的, 不灭的"
everlasting,[网络] 永恒的；永恒持续的积极态度；持久的
exceed,"vt. 超过, 超越, 胜过
vi. 超过其他"
exceeding,"a. 超越的, 非常的, 极度的"
exceedingly,"adv. 极端地, 极度地, 非常"
existence,"n. 存在, 生存
[法] 存在, 存在状态, 实体"
falter,"vt. 支吾地说
vi. 支吾, 蹒跚地走
n. 颤抖, 支吾, 踌躇"
fathom,"n. 英寻(长度单位,合6英尺)
vt. 测量深度, 看穿, 彻底了解
vi. 测深"
ferment,"n. 酵素, 发酵, 动乱
v. (使)发酵, (使)动乱"
flick,"n. 快速的轻打, 轻打声, 弹开
v. 轻弹, 轻轻拂去, 忽然摇动"
grab,"n. 抓握, 掠夺, 强占, 东方沿岸帆船
vi. 抓取, 抢去
vt. 攫取, 捕获, 霸占"
halfway,"a. 中途的, 不彻底的, 部分的
adv. 半路地, 在中途, 在半途"
haul,"n. 用力拖拉, 拖运, 强拉, 捕获量, 拖运距离
vi. 拖, 拉, 改变方向, 改变主意
vt. 拖拉, 拖运"
hush,"n. 肃静, 安静, 沉默
vt. (使)肃静, (使)安静, (使)缄默
interj. 嘘, 别作声"
incidental,"a. 附带的, 偶然的, 容易发生的
n. 附带事件"
incidentally,"adv. 伴随地, 偶然, 顺便"
kneel,[地名] 尼湖 ( 加 )
lash,"n. 鞭子, 鞭打, 睫毛, 责骂, 讽刺
vt. 鞭打, 摆动, 扎捆, 冲击, 讽刺, 煽动
vi. 冲洗, 鞭打, 责骂"
mingle,v. (使)混合
muffle,"n. 低沉的声音, 拳击手套, 唇鼻部, 围巾, 头巾
vt. 围裹, 抑制, 发低沉的声音"
nevertheless,"adv. 然而, 虽然如此
conj. 然而"
own,"n. 自己的
a. 自己的, 嫡亲的, 同胞的
vt. 拥有, 支配, 自认, 承认, 顺从于
vi. 承认, 供认"
poke,"n. 刺, 戳, 袋子
vt. 戳, 捅, 拨弄, 刺
vi. 戳, 刺, 捅, 搜索, 伸出, 行动散慢
[计] 存数"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
[法] 有关的, 相关的"
relevance,n. 有关；贴切；中肯；确切；相关(性)；相应；成比例；重大意义；实用性
irrelevant,"a. 不恰当的, 无关系的, 不相干的
[法] 无关的, 不相干的, 离题的"
revenge,"n. 报仇, 复仇, 报复
vt. 报仇, 报复"
ruin,"n. 毁灭, 推翻, 废墟
vi. 毁灭, 衰败, 破坏, 破产, 堕落
vt. 使毁灭, 毁坏, 使破产"
scratch,"n. 抓痕, 搔, 抓, 擦伤, 刮擦声, 乱写, 零分, 起跑线
vt. 搔, 抓, 挖出, 擦, 刮, 乱涂, 勾抹掉
vi. 搔, 抓, 发刮擦声, 勉强糊口
a. 碰巧的, 凑合的, 打草稿用的
[计] 擦除"
select,"a. 挑选出来的, 极好的
v. 选择, 挑选
n. 被挑选者, 精萃
[计] 选定"
selective,"a. 选择的, 选择性的
[经] 选择的, 选择性的"
selected,"a. 挑选出来的, 精选的
[计] 被选的"
selection,"n. 选择, 选文, 精选品
[医] 选择, 淘汰"
snatch,"n. 音乐片段；抓；夺；抢夺
v. 一把抓起；一下夺过；夺去；抢走
[网络] 偷拐抢骗；攫取；抓举"
spontaneous,"a. 自然的, 自发的, 未经琢磨的
[医] 自发的, 特发的, 自生的"
squeeze,"v. 挤压；挤出；捏；（使）挤入
n. 挤压；塞；捏；榨出的液体
[网络] 压榨；榨取；紧缩"
stick,"n. 棍, 棒, 刺, 枯枝, 茎, 条状物
vt. 插进, 刺入, 钉住, 伸出, 粘贴, 停止
vi. 粘住, 停留, 坚持, 陷住, 伸出"
stretch,"n. 伸展, 张开, 连绵, 一段路, 一段时间
a. 可伸缩的, 弹性的
vt. 伸展, 张开, 曲解, 使过度伸展
vi. 伸展, 延伸
[计] 伸展"
tackle,"n. 工具, 复滑车, 滑车, 装备, 扭倒
vt. 固定, 处理, 抓住
vi. 扭倒"
triple,"n. 三倍数, 三个一组
a. 三倍的
vt. 使增至三倍
vi. 增至三倍"
tuck,"v. 收藏；把（衣服、纸张等的边缘）塞进；把…塞进狭窄的空间；把…藏入
n. 打褶；去赘皮手术；减肥手术；零食（尤指儿童在学校吃的糖果等）
[网络] 塔克；卷起；达特茅斯大学塔克商学院"
twist,"n. 一扭, 扭曲, 曲折, 歪曲, 螺旋状, 新手法
vt. 拧, 扭, 捻, 编织, 使扭转, 缠绕, 盘绕, 歪曲, 使转动, 使苦恼, 使混乱, 使旋转
vi. 转向, 弯曲, 缠绕, 扭动, 呈螺旋形"
whip,"n. 鞭子；【无线】鞭状天线；投票指示；(某党)议员领袖
v. 鞭打；鞭笞；〈口〉击败；抽打
[网络] 薇普；搅打；皮鞭"
ass,"n. 屁股；驴子；蠢人
n. (Ass)人名；(俄)阿斯"
assuredly,"adv. 确实地, 无疑地, 确信地"
bastard,"n. 私生子, 劣货
a. 私生的, 杂种的, 不合标准的"
bear,"n. 熊
vt. 忍受, 支承, 产生, 怀有, 通过卖空使跌价
vi. 忍受, 结果实, 压挤, 行进, 转向"
beggar,"n. 乞丐
vt. 使贫穷, 使成乞丐"
bleat,"n. 羊的叫声
vi. 咩咩叫
vt. 以颤抖的声音说"
brim,"n. 边, 边缘, (河)边
vt. 注满, 使满溢
vi. 满溢"
clap,"n. 拍手, 拍手声, 霹雳声, 花柳病
v. 鼓掌, (使)啪地关上"
combustion,"n. 燃烧, 骚动
[化] 燃烧"
converse,"n. 相反的事物, 倒, 逆向
a. 相反的, 逆向的, 颠倒的
vi. 交谈, 谈话"
cord,"n. 绳索, 束缚
[医] 索, 带"
cosmopolitan,"a. 世界主义的, 世界性的, 全世界的, 遍生的, 不偏狭的, 卓有见识的
n. 世界主义者, 世界性"
deepen,"vi. 深化
vt. 使加深, 使强烈"
dip,"v. 浸, 降下, 把(手、勺等)伸入, 舀取
n. 浸, 涉猎
[计] 双列直插式组件, 分布式输入输出系统, 双排直插封装"
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
disappearance,"n. 看不见, 失踪, 消失"
donkey,"n. 驴子, 笨蛋, 顽固者, 辅助发动机, 辅助泵"
filling,"n. 充填物, 填料
[化] 加填; 填充"
finished,"adj. 完结的，完成的；精巧的
v. 完成；结束；毁掉（finish的过去分词形式）"
flatten,"vi. 使...不活跃, 变平
vt. 弄平, 打倒, 使失去光泽"
fore,"a. 在前的, 以前的
adv. 在前面, 在船头
prep. 在...前"
forefront,n. 最前线，最前部；最活动的中心
formalise,"vt. 使（协议、计划等）成书面文字形式; 使成为正式, 使具有一定形式"
formalize,"vt. 使正式, 使整形, 形式化
vi. 拘泥于形式"
fully,"adv. 充分地；完全地；彻底地
n. (Fully)人名；(法)菲利"
ghostly,"a. 幽灵的, 影子似的, 精神的"
gradual,"a. 逐渐的, 渐增的
n. 弥撒升阶圣歌"
gradually,adv. 逐渐地
greatly,"adv. 很, 非常"
hereabouts,adv. 在这里附近
hereabout,adv. 在这里附近
hind,abbr. Hindi；Hindu；Hindustan
hurl,"n. 用力的投掷
vt. 用力投掷, 发射, 愤慨地说出, 丢下
vi. 猛投, 猛掷"
implication,"n. 牵连, 含义, 暗示
[法] 推断, 含蓄之意, 暗示"
impossibility,"n. 不可能之事, 不可能
[法] 不可能性, 不可能的事"
improbable,"a. 不大可能的, 不象发生的, 荒谬可笑的
[法] 未必会的, 不大可能发生的, 未必确实的"
inclination,"n. 倾向, 趋向, 倾斜度, 点头
[化] 倾角"
inclusion,"n. 包含, 内含物
[计] 蕴含"
indication,"n. 指示, 象征, 暗示
[医] 指示, 指征, 适应征"
inducement,"n. 诱因, 动机, 吸引力, 刺激物
[法] 诱惑, 引诱, 诱因"
infinity,"n. 无限大, 无限
[计] 无穷"
innumerable,"a. 无数的, 数不清的"
inseparable,"a. 不能分的
[化] 不可分的"
invariable,"n. 不变的东西, 常数
a. 不变的, 常数的"
invariably,"adv. 不变化地, 恒定地, 始终如一地"
jot,"n. 少量, 稍许
vt. 略记, 摘要记载下来"
lasting,"a. 永久的, 永恒的, 持久的
n. 厚实斜纹织物"
lengthen,"vt. 加长, 使延长
vi. 变长"
likelihood,"n. 可能, 可能性"
likely,"a. 有可能的, 合适的, 前途有望的
adv. 或许, 可能"
likeliness,n. 可能
unlikely,a. 不太可能的
limitation,"n. 限制, 缺陷, 限额
[医] 限界, 限制, 限度"
midst,"n. 中间
prep. 在...中间"
in the midst of,在...之中
nearby,"a. 附近的, 近旁的
adv. 在附近, 近旁地
prep. 在...附近"
necessarily,"adv. 必然地, 必须地, 必要地"
newly,adv. 最近；重新；以新的方式
occasional,"a. 偶然的, 临时的
[法] 偶然的, 特殊场合的"
occasionally,"adv. 有时候, 偶而"
onward,"a. 向前的, 前进的
adv. 向前, 前进, 在先"
onwards,"adv. 向前, 在前面"
ought,"auxv. 应该；本应；总应该；早应该
n. 〈口〉零；〈古〉同“aught”
[网络] 应当；应然；应该怎样"
overhead,"n. 经常开支, 普通用费, 天花板
a. 在头上的, 高架的
adv. 在头顶上, 在空中, 在高处, 从头到脚全部没入地
[计] 总开销; 额外开销"
overleaf,"adv. 在背面, 在次页"
overnight,"n. 前一天晚上, 一夜的逗留
a. 通宵的, 晚上的, 前夜的
adv. 在前一夜, 整夜, 昨晚一晚上"
parting,"n. 告别, 分歧处, 分界点
a. 离别的, 逝去的, 分隔的"
pat,"n. 轻拍
v. 轻拍
adv. 适时, 正好, 恰好, 毫不迟疑, 熟记地
a. 恰好的, 合适的, 熟练的, 坚定的, 人为的"
puncture,"n. 刺痕, 穿刺
vt. 刺穿, 刺, 揭穿
vi. 被刺穿"
recurrence,"n. 再现, 再发生, 反复, 循环
[医] 复发, 再发"
regain,"vt. 恢复；重新获得；收回
vi. 上涨
n. 收复；取回"
reminder,"n. 提醒的人, 暗示
[经] 催单"
replay,"vt. 重新比赛, 重演
n. 重赛"
rip,"n. 裂痕, 破绽, 拉裂, 浪子, 巨浪
vi. 被拉开, 裂开, 猛冲
vt. 撕, 扯, 劈"
roller,"n. 滚筒, 滚轴, 压路机
[化] 滚柱; 托辊"
runaway,"n. 逃跑, 逃走的人, 逃亡, 压倒性的优胜
a. 逃亡的, 逃走的"
runner-up,"n. 亚军, 亚军队
[经] (拍卖时)高喊货价的人"
running,"n. 运转；赛跑；流出
adj. 连续的；流动的；跑着的；运转着的
v. 跑；运转（run的ing形式）；行驶
n. (Running)人名；(英)朗宁"
scapegoat,"n. 替罪羔羊, 替人顶罪者, 替身
[法] 替罪羊, 代人受过者"
segment,"n. 片段, 部分, 分节, 段
v. 分割, 分裂
[计] 段"
segmental,"a. 部分的, 断节的
[医] 节的, 段的, 分节的"
sexual,"a. 性的, 性别的
[医] 性的; 性欲的"
sexy,"a. 有性感的, 色情的"
shiny,"a. 有光泽的, 发光的, 辉煌的, 磨光的, 磨损的"
sideways,"adv. 向旁边, 向侧面地
a. 旁边的, 向侧面的"
slam,"n. 砰然声, 猛然, 猛烈的抨击
vt. 猛然关上, 砰地关上, 猛烈抨击
vi. 砰地关上, 猛攻"
slang,"n. 俚语
v. 辱骂, 用俚语说"
social,"a. 社会的, 群居的, 社交的
n. 联欢会"
spotlight,"n. 照明灯, 反光灯, 聚光灯"
stink,"n. 臭味, 臭气
vi. 发臭味, 名声臭
vt. 用臭味赶"
straighten,"vt. 弄直, 整顿, 清理, 使改正
vi. 直起来, 改正, 好转"
sufficiency,"n. 充足, 充分的数量, 自负"
surround,"vt. 包围, 环绕, 围绕
n. 围绕物"
sword,[网络] 英语常用同义词辨析；熟人就出声
temptation,"n. 诱惑, 诱惑物
[法] 诱惑, 诱惑物"
touchdown,"na. 【橄】触地得分；【航】着陆；着陆过程中的一部分；着陆时间
[网络] 降落；挽球"
trash,"n. 垃圾, 废物
vt. 丢弃"
triangular,"a. 三角形的, 三人间的
[医] 三角的, 三角形的"
underside,"n. 下面, 下侧, 底面"
upside,"n. 上侧, 上段, 上部
[机] 上侧, 上部"
very,"a. 真正的, 恰好的, 十足的, 特有的
adv. 非常, 完全"
vintage,"n. 酒, 葡萄收获(期、量), 酿酒
v. 采葡萄
a. 佳酿的, 古典的, 老式的"
whim,"n. 一时的兴致, 冲动, 怪念头, 绞盘"
wrestle,"n. 摔跤, 角力, 扭斗
vi. 摔跤, 搏斗, 斗争, 斟酌
vt. 与(对手)摔跤"
wrestling,n. 摔跤
yearly,"a. 每年的, 一年一度的
adv. 一年一次, 每年"
apart,"adv. 分开；分离；相距；不在一起
adj. (与众)不同的
[网络] 巴利文"
backwards,adv. 向后
brief,"n. 摘要, 简报
a. 简短的, 短暂的
vt. 对...作简报, 摘要, 节录"
clockwise,"a. 顺时针方向的
adv. 顺时针方向地"
anticlockwise,"a. 逆时针的
adv. 逆时针地"
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
unconcerned,"a. 漠不关心的
[法] 无关的, 不相关的, 不关心的"
concerned,"adj. 有关的；关心的
v. 关心（concern的过去时和过去分词）；与…有关"
considering,"prep. 鉴于…，考虑到；就…而论
adv. [口语]细细想来，通盘考虑起来；总而言之
conj. 考虑到，鉴于；就…而言"
contrary,"a. 相反的, 矛盾的, 对立的
n. 相反, 对立面
adv. 相反地"
contrast,"n. 差别, 对比, 对照物
vt. 使对比
vi. 成对照
[计] 反差; 对比度"
cue,"n. 暗示；提示；信号；（戏剧的）提示
v. 给（某人）暗示（或提示）
[网络] 球杆；线索；凯迪拉克用户体验(Cadillac User Experience)"
despite,"n. 轻视, 憎恨
prep. 虽然, 尽管"
even,"a. 平坦的, 相等的, 连贯的, 均等的, 公平的, 偶数的, 平均的, 平衡的, 恰好的
vt. 使平坦, 使相等
vi. 变平, 成为相等
adv. 甚至, 实际上, 完全, 十分
n. 偶数, 偶校验
[计] 偶数, 偶校验"
uneven,"a. 不平坦的, 不均等的, 奇数的"
foregoing,"a. 前面的, 先前的, 前述的"
forth,"adv. 向前；离去；外出；向某处
prep. 来自
[网络] 向外；第四；以后"
forthcoming,[网络] 北京大学出版社；社会科学类
forthgoer,n. 先行者
hence,"adv. 因此, 从此"
hint,"n. 暗示, 提示
v. 暗示, 示意"
hitherto,"adv. 迄今, 至今"
lest,"conj. 以免, 唯恐, 免得"
meantime,"un. 平均时间；平时
[网络] 平太阳时；悲伤的时刻；悲伤时刻"
mere,"n. 小湖, 池塘
a. 仅仅的, 只不过的"
merely,adv. 只
moreover,[网络] 再说；再加上
nowhere,[网络] 无处；不在其他任何地方；无何有之处
plus,"prep. 加上, 加, 外加
a. 正的, 附加的
n. 正号, 加号, 附加额, 正数, 增益
[计] 正差"
precede,"vt. 在...之前, 优于, 较...优先
vi. 在前面"
presumably,adv. 大概；推测起来；可假定
provided,conj. 以…为条件；假如(常与that连用)；除非；若是
regardless,"a. 不管, 不注意, 不顾"
sake,"n. 目的, 缘故, 理由"
save,"n. 救球
vt. 解救, 挽救, 储蓄, 保存, 节省, 保留
vi. 挽救, 节省, 救球
prep. 除...之外
[计] 保存"
scarcely,"adv. 简直不, 一定不, 仅仅"
secondary,"a. 中级的, 中等的, 次要的, 第二的, 从属的, 辅助的
[化] 仲(指CH-3...CH(CH-3)-型支链烃基或指二元胺及R-2CHOH型的醇); 第二"
somehow,[网络] 奈何；以某种方式；无论如何
somewhat,"n. 某物, 几分
adv. 多少, 几分"
summarize,"v. 概述, 总结"
summary,"n. 摘要, 概要
a. 摘要的, 简略的
[计] 摘要; 概要"
thereafter,"adv. 其后, 从那时以后"
thereby,[网络] 因此；从而
thereof,"adv. 在其中, 关于..., 由此
[法] 由是, 由此, 属于它的"
underneath,"adv. 在下面
prep. 在...的下面"
via,"prep. 取道，通过；经由
n. (Via)人名；(意、孟)维亚"
well,"adv. 好；很；大大地；对
n. 井；水井；楼梯井；电梯井道
int. 噢；啊；好啦；嗨
adj. 健康；身体好；状态良好；情况良好
v. 涌出；冒出；流出；溢出
short. we will；we shall
[网络] 好的"
accordingly,"adv. 相应地, 因此, 于是"
actually,"adv. 事实上, 竟然, 如今, 现在"
alongside,"adv. 在旁边, 靠拢着
prep. 在...旁边, 与...在一起"
afterward,"adv. 然后, 后来"
afterwards,"adv. 然后, 后来"
amid,"prep. 在…过程中；在…中；四周是
[网络] 在...中；在…当中；被…围绕"
anyhow,[口语]粗枝大叶地，胡乱地；无论如何；反正
anymore,"adv. 再也不, 不再"
anytime,adv. 任何时候；无例外地
anyway,"adv. 无论如何, 至少"
barely,adv. 几乎不
basically,"adv. 基本上, 主要地"
beforehand,[网络] 预先；事先；提前
beneath,"prep. 在...下方
adv. 在...下方"
besides,"prep. 除...之外
adv. 而且, 此外"
concerning,"prep. 关于
[法] 关于"
conjunction,"n. 连接词, 联合, 结合
[计] 合取"
downward,[网络] 向下；下行型
elsewhere,adv. 在别处
exceedingly,"adv. 极端地, 极度地, 非常"
excluding,"prep. 把...排除在外, 不包括..., 不计..."
exclusively,"adv. 排他地, 仅仅, 专门, 只, 仅, 唯一地, 专有地"
finally,"adv. 最后, 终于"
formerly,"adv. 从前, 以前"
forwards,adv. 向前；今后
fro,"adv. 向后；向那边
n. 〈美俚〉非洲发型= Afro
prep. 〈英方〉同“from”
[网络] 回；去；含绒量"
furthermore,"adv. 此外, 而且"
generally,"adv. 通常, 逐渐地, 普遍地"
given,"a. 赠予的, 沉溺的, 约定的
give的过去分词"
gosh,"interj. 唉, 天啊, 天哪"
initially,"adv. 最初, 开头"
instantly,"adv. 立即地, 即刻地"
lastly,"adv. 最后, 终于"
largely,"adv. 大量地, 很多地, 大半地"
latter,"a. 后者的, 较后的, 近来的"
likewise,"adv. 同样地, 也"
mostly,"adv. 大概, 大部分, 主要
[经] 大部份"
namely,"adv. 即, 就是, 换句话说"
needless,"a. 不需要的, 不必要的"
normally,"adv. 正规地, 合规则, 正常地"
particularly,"adv. 特别, 格外, 尤其, 详细地, 细致地"
presently,"adv. 目前, 不久"
rarely,"adv. 很少地, 罕有地"
recently,adv. 最近
repeatedly,"adv. 重复地, 再三地"
roughly,"adv. 概略地, 粗糙地, 粗暴地"
seemingly,"adv. 看来似乎, 表面上看来"
shortly,"adv. 不久, 简短, 唐突地"
simultaneously,"adv. 同时发生, 一齐, 同时, 同时存在"
slightly,"adv. 些微地, 苗条地"
specially,"adv. 特别；特意；尤其；专门地
[网络] 特别地；特地；特意地"
squarely,"adv. 干脆地, 正好, 直角地"
suddenly,"adv. 突然, 意外, 忽然, 迅速, 即席作成, 即刻, 急速"
surely,"adv. 的确地, 安全地
[经] 保证, 保证人, 保证金"
thereabouts,"adv. 在那附近, 大约, 上下, 左右"
till,"v. 耕作；犁地
prep. 直到…为止；直到…才…；在…前(不…)
conj. 直到…为止；在…之前
n. 收银台；（现金出纳机的）放钱的抽屉
[网络] 直到……为止；爱的誓言；耕种"
truly,"adv. 真实地, 不假"
unlike,"a. 不像的, 不同的
prep. 不像, 和...不同"
upon,"prep. 在...之上, 迫近, 紧接着"
usual,"a. 平常的, 通常的"
versus,"prep. 对...
[法] 诉, 对, 相形"
virtually,adv. 事实上
whereabouts,"n. 下落, 所在之处
adv. 在何处"
whereas,"conj. 然而, 鉴于
[法] 考虑到, 鉴于, 就...而论"
whereby,"adv. 靠什么, 如何, 为何, 靠那个, 因此, 由此
[法] 因此, 由是"
whichever,"pron. 任何一个；无论哪个
adj. 无论哪个；无论哪些"
whoever,[网络] 略谈大连凤鸣街的原居民；爱谁谁；资源聚合爱谁谁
wholly,"adv. 完全地, 整个, 统统, 全部
[法] 完全地, 统统地"
abuse,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待"
accomplice,"n. 共犯, 同谋
[医] 协同菌"
accord,"n. 一致, 调和, 协定
vt. 给与, 使一致
vi. 相符合"
acting president,n. 代理总统
administration party,无
aftermath,"n. 结果, 后果
[法] 后果, 结果"
agenda,"pl. 议程, 日常工作事项
[计] 待议事件"
aid,comb.form [多用以构成专有名词]表示“…的慈善机构”，“为…募捐”：Ferry-aid
air crash,"v. 〔空〕空中碰撞；空中失常
[网络] 空难；飞机失事；空中失事"
air,"n. 空气；空中；天空；神态
v. 晾；播出；播送；晾干
[网络] 大气；执行环境(Adobe Integrated Runtime)；青空"
ambassador,"n. 大使
[法] 大使, 使节, 代理"
amendment,"n. 修订, 改善, 改良, 改正
[化] 调理剂; 修正"
annul,"v. 废除；取消；宣告无效
[网络] 废止；使无效；宣布无效"
anti-corruption,n. 反腐败；反贪腐；廉政风暴
armed forces,n. 陆海空三军; 武装; 军队; 部队
armed robbery,[法] 持械抢劫
arrest,"n. 逮捕, 监禁
vt. 拘捕, 抑制, 吸引, 阻止"
arrest warrant,[法] 逮捕证:拘提状
arson,"n. 纵火, 纵火罪
[法] 纵火, 放火"
assail,"vt. 攻击, 质问
[法] 攻击, 袭击, 著手解决"
assassin,"n. 暗杀者, 刺客
[法] 暗杀者, 行刺者"
assault,"n. 攻击, 袭击
vt. 袭击, 攻击
vi. 发动攻击"
at large,"未被捕, 详尽, 普遍
[法] 未被捕的, 逍遥法外的, 详尽的"
at stake,"危如累卵, 在危险中"
authoritative information,n. 官方消息
authorities,"n. 当局, 官方（authority的复数）"
baffle,"vt. 困惑, 为难, 使挫折
vi. 徒作挣扎
n. 迷惑, 挡板"
bail,"n. 保释；【法律】保释金；保释人；(篷帐的)半圆形支撑箍托
v. 担保；舀；从(船中)戽出水；【法律】准许保释
[网络] 百利"
ballot,"n. 投票, 投票用纸, 抽签
vi. 投票, 抽签
vt. 投票选出, 拉选票"
ban,"n. 禁令
vt. 禁止, 取缔"
bar,"n. 条, 棒, 酒吧, 栅, 障碍物
vt. 禁止, 阻挡, 妨碍
[计] 棒形图"
beckon,"v. 招手示意, 召唤, 吸引
n. 表召唤的点头(或手势)"
bid,"n. （买方的）出价；投标；努力争取；叫牌
v. 出（价）；（尤指拍卖中）喊价；投标；努力争取
[网络] 一日二次；骞跺"
black market,"n. 黑市
[法] 做黑市交易, 在黑市上买"
blackmail,"n. 勒索
vt. 勒索"
blast," 表示胚(芽),胚胎,胚层,细胞,原基：idioblast, splanchnoblast(内脏原基)"
blaze,"n. 火焰, 烈火, 光辉
vi. 燃烧, 发光
vt. 使燃烧, 宣布, 在树皮上刻痕"
bleak,"a. 萧瑟的, 荒凉的, 阴冷的"
blockade,"n. 封锁；障碍物；屏障
v. 包围
[网络] 封锁线；阻滞；阻断"
bomb,"n. 炸弹
vt. 轰炸, 投弹于
vi. 失败"
bomb squad,"un. 未爆弹处理班
[网络] 爆破小组；拆弹小组；防爆小组"
boom,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
boycott,"n. 联合抵制
vt. 联合抵制"
break-in,"na. 闯入；插嘴；驯(马)；训练(人)
[网络] 打断；强行进入；插话"
bribery,"n. 贿赂行为, 行贿, 受贿
[经] 行贿, 受贿"
budget,adj. 预算的；与形容词；像'low'和'big'连用形成形容词指花费多少钱的尤指拍电影的预算；comb
bug,"n. 错误, 虫, 病菌, 缺陷, 窃听器, 癖好, 防盗报警器, 双座小汽车, 要人
vt. 装防盗报警器, 装窃听器, 激怒
vi. 捉虫, 暴突
[计] 缺点, 错误"
burglary,"n. 夜盗行为, 盗窃, 盗窃行为
[法] 夜盗行为, 夜间入屋窃盗罪, 窃盗"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
candidate,"n. 候选人, 投考者
[法] 候选, 候补者"
car burglars,无
career criminal,[网络] 职业罪犯；职业犯罪人；究极大盗贼
casualty,"n. 意外事故, 伤亡, 受害者
[化] 事故"
cease-fire,"n. （通常指永久性的）停火, 停战; 停火命令"
chief,"n. 领袖, 酋长, 长官, 主要部分
a. 主要的, 首位的"
child abuse,"na. 对儿童的虐待
[网络] 虐待儿童"
cite,"vt. 引用, 引证, 表彰
[建] 引证, 指引"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
clash,"n. 冲突, 撞击声, 抵触
vi. 冲突, 抵触
vt. 使发出撞击声
[计] 对撞"
cocaine,"n. 可卡因, 古柯碱
[化] 可卡因; 古柯碱"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
[计] 折叠"
condemn,"vt. 判刑, 责备, 谴责
[法] 定罪, 判刑, 宣告有罪"
conservative party,n. 保守党
constituency,"n. 选民, 顾客, 读者
[法] 选区, 全体选民, 选区内的选民"
convict,"n. 囚犯, 罪犯
vt. 宣告有罪, 使知罪"
corruption,"n. 腐败, 堕落, 贪污
[计] 论误"
counterfeit,"n. 赝品, 伪造品
a. 假冒的, 假装的
v. 仿造, 伪装, 假装"
credit-card fraud,信用卡诈骗
crime rate,[法] 犯罪率
criminal,"n. 罪犯
adj. 犯罪的；犯法的；涉及犯罪的；刑法的
[网络] 刑事辩护律师"
curb,"n. 抑制, 勒马绳, 边石
vt. 抑制, 束缚, 勒住"
cut,"n. 切口, 割伤, 降低, 切, 割, 砍, 削, 伤口, 削减, 缩短, 删节, 通路
a. 经切割的, 缩减的
vt. 切, 割, 减少, 刺痛, 开辟, 雕刻, 删节, 缩短, 停止, 排斥, 切断, 关, 显出
vi. 切, 割, 砍, 刺痛, 相交, 抄近路, 剪辑
[计] 剪切"
deadline,"n. 最后期限；截止日期
[网络] 死线；最终期限；截止时间"
deadlock,"n. 僵局, 停顿
v. (使)停顿, (使)相持不下
[计] 死锁"
deadly weapon,[法] 致命的凶器
deal,"n. 交易, 协定, 数量, 买卖, 松木板
vi. 处理, 应付, 做生意
vt. 分配, 发牌, 给予
[计] 发牌"
death penalty,[法] 死刑
death toll,n. 死亡人数
defendant,"n. 被告
[经] 被告方"
deficit,"n. 赤字, 不足额
[医] 短缺"
defy,"vt. 藐视, 挑衅, 使落空
n. 挑战"
diplomatic tie,无
